source_row,specimen_number,species,common_name,material,stain,plane,section_thickness_micrometers,number_of_slides,number_of_sections,collection_group,continuation_note
543,517,Rattus norwegicus,Brown rat,Brain,Altern.Weil & Tol. blue,Transverse,,28,588,MAMMALS,
544,518,Rattus norwegicus,Brown rat,Brain,Altern.Weil & Tol. blue,Transverse,,32,579,MAMMALS,
545,519,Cavia cobaya,Guinea pig,Brain,Tol. blue,Transverse,25,92,1138,MAMMALS,
546,520,Cavia cobaya,Guinea pig,Brain,Tol. blue,Transverse,,99,1970,MAMMALS,
547,521,Cavia cobaya,Guinea pig,Brain,Wei - gert,Transverse,50,92,777,MAMMALS,
548,522,Cavia cobaya,Guinea pig,Spinal cord,Tol. blue,Longitudinal,40,25,150,MAMMALS,
549,523,Cavia cobaya,Guinea pig,Spinal cord,Tol. blue,Transverse,40,40,3115,MAMMALS,
550,524,Canis familiaris,Dog,Brain,Tol. blue,Transverse,40,88,773,MAMMALS,
551,525,Canis familiaris,Dog,Brain,Tol. blue,Transverse,40,50,587,MAMMALS,
552,526,Canis familiaris,Dog,Brain,Tol. blue,Transverse,50,375,927,MAMMALS,
553,527,Canis familiaris,Dog,Brain,Tol. blue,Sagittal,50,400,539,MAMMALS,
554,528,Canis familiaris,Dog,Brain,Weil,Transverse,20,203,1493,MAMMALS,
555,529,Canis familiaris,Dog,Brain,Pyr. silver,Transverse,,117,1591,MAMMALS,(3 days old)
556,530,Canis familiaris,Dog,Brain,Pyr. silver,Transverse,,111,1178,MAMMALS,
557,531,Canis familiaris,Dog,Brain,Pyr. silver,Horizontal,,47,392,MAMMALS,( 3 days old )
558,532,Canis familiaris,Dog,Brain,Pyr. silver,Sagittal,,108,911,MAMMALS,( 3 days old )
559,533,Canis familiaris,Dog,Motor cortex,Tol. blue,Radial,10 to 25,5,15,MAMMALS,
560,534,Canis familiaris,Dog,Cerebrum,Pyr. silver,Radial,25,4,32,MAMMALS,
