"Species","Body_Mass.g"
"Gracilinanus emiliae",7.6
"Gracilinanus formosus",18.9
"Gracilinanus ignitus",18.9
"Gracilinanus marica",23.8
"Gracilinanus microtarsus",22
"Grammomys aridulus",46.77
"Grammomys buntingi",46.76
"Grammomys caniceps",46.77
"Grammomys cometes",44.6
"Grammomys dolichurus",41.18
"Grammomys dryas",47.48
"Grammomys gigas",47.05
"Grammomys ibeanus",41.2
"Grammomys kuru",46.67
"Grammomys macmillani",36
"Grammomys minnae",36
"Grammomys poensis",50.115
"Grampus griseus",404166.667
"Graomys centralis",65.28
"Graomys domorum",102
"Graomys edithae",40.4
"Graomys griseoflavus",68.45
"Graphiurus angolensis",23.96
"Graphiurus christyi",23.83
"Graphiurus crassicaudatus",38.22
"Graphiurus johnstoni",23.96
"Graphiurus kelleni",10.5
"Graphiurus lorraineus",27
"Graphiurus microtis",25.18
"Graphiurus monardi",25.05
"Graphiurus murinus",28.74
"Graphiurus nagtglasii",30
"Graphiurus ocularis",49.05
"Graphiurus platyops",46.1
"Graphiurus rupicola",24.53
"Graphiurus surdus",20.01
"Gray-necked species group",808.729
"Gulo gulo",13437.52
"Gymnobelideus leadbeateri",142.1
"Gymnuromys roberti",97.5
"Habromys chinanteco",40
"Habromys delicatulus",48.29
"Habromys ixtlani",48.29
"Habromys lepturus",85
"Habromys lophurus",40
"Habromys simulatus",40
"Hadromys humei",59
"Hadromys yunnanensis",59
"Haeromys margarettae",12.7
"Haeromys minahassae",14.7
"Haeromys pusillus",10.4
"Halichoerus grypus",164386.8
"Handleyomys fuscatus",49.5
"Handleyomys intectus",60.5
"Hapalemur alaotrensis",1333.832
"Hapalemur aureus",1504.75
"Hapalemur griseus",935
"Hapalemur occidentalis",976.355
"Hapalemur simus",1300
"Hapalomys delacouri",64.3
"Hapalomys longicaudatus",70
"Haplonycteris fischeri",17.96
"Harpiocephalus harpia",14.905
"Harpiocephalus mordax",16.31
"Harpyionycteris celebensis",104
"Harpyionycteris whiteheadi",110.5
"Heimyscus fumosus",14.25
"Helarctos malayanus",45760
"Heliophobius argenteocinereus",169.794
"Heliosciurus gambianus",295
"Heliosciurus mutabilis",390
"Heliosciurus punctatus",174
"Heliosciurus rufobrachium",337.833
"Heliosciurus ruwenzorii",291
"Heliosciurus undulatus",347.33
"Helogale hirtula",289
"Helogale parvula",283.5
"Hemibelideus lemuroides",1026
"Hemicentetes nigriceps",102.445
"Hemicentetes semispinosus",110.5
"Hemiechinus auritus",250
"Hemiechinus collaris",141
"Hemigalus derbyanus",2181.75
"Hemitragus hylocrius",75000
"Hemitragus jayakari",23000
"Hemitragus jemlahicus",52600
"Herpestes brachyurus",1853.52
"Herpestes edwardsi",1282.335
"Herpestes fuscus",1552.37
"Herpestes ichneumon",4219.99
"Herpestes javanicus",629.333
"Herpestes naso",2999.995
"Herpestes semitorquatus",1916.01
"Herpestes smithii",1493.475
"Herpestes urva",2111.6
"Herpestes vitticollis",2432.795
"Hesperoptenus blanfordi",6.915
"Hesperoptenus doriae",9.56
"Hesperoptenus gaskelli",13.07
"Hesperoptenus tickelli",16.3
"Hesperoptenus tomesi",31
"Heterocephalus glaber",43.316
"Heterohyrax brucei",2297.833
"Heteromys anomalus",69.65
"Heteromys australis",267.5
"Heteromys desmarestianus",74.317
"Heteromys gaumeri",63.6
"Heteromys nelsoni",54.2
"Heteromys oasicus",83.95
"Heteromys oresterus",74.8
"Heteromys teleus",83.95
"Heteropsomys antillensis",272.28
"Heteropsomys insulans",272.28
"Hexaprotodon liberiensis",158000.58
"Hexolobodon phenax",1350.1
"Hippocamelus antisensis",68599.35
"Hippocamelus bisulcus",70000.32
"Hippopotamus amphibius",1426200.097
"Hipposideros abae",9.31
"Hipposideros armiger",54.033
"Hipposideros ater",5.81
"Hipposideros beatus",6.65
"Hipposideros bicolor",8.01
"Hipposideros breviceps",9.31
"Hipposideros caffer",10.175
"Hipposideros calcaratus",11.35
"Hipposideros camerunensis",23.28
"Hipposideros cervinus",8.3
"Hipposideros cineraceus",4.72
"Hipposideros coronatus",10.59
"Hipposideros corynophyllus",14.5
"Hipposideros coxi",9.25
"Hipposideros crumeniferus",9.18
"Hipposideros curtus",9.31
"Hipposideros cyclops",33.5
"Hipposideros demissus",13.94
"Hipposideros diadema",41.52
"Hipposideros dinops",74.5
"Hipposideros doriae",4.24
"Hipposideros durgadasi",13.94
"Hipposideros dyacorum",6.05
"Hipposideros edwardshilli",13.94
"Hipposideros fuliginosus",9.31
"Hipposideros fulvus",7.75
"Hipposideros galeritus",9.027
"Hipposideros gigas",115.42
"Hipposideros grandis",13.94
"Hipposideros halophyllus",4
"Hipposideros hypophyllus",13.94
"Hipposideros inexpectatus",21.41
"Hipposideros inornatus",25.9
"Hipposideros jonesi",5.5
"Hipposideros lamottei",9.78
"Hipposideros lankadiva",50.45
"Hipposideros larvatus",19.85
"Hipposideros lekaguli",30.7
"Hipposideros lylei",40
"Hipposideros macrobullatus",9.31
"Hipposideros madurae",13.94
"Hipposideros maggietaylorae",19.067
"Hipposideros marisae",9.31
"Hipposideros megalotis",9.31
"Hipposideros muscinus",14.41
"Hipposideros nequam",9.31
"Hipposideros obscurus",9.5
"Hipposideros orbiculus",13.94
"Hipposideros papua",9.31
"Hipposideros pelingensis",13.94
"Hipposideros pomona",6.2
"Hipposideros pratti",31.8
"Hipposideros pygmaeus",3.5
"Hipposideros ridleyi",9.24
"Hipposideros rotalis",13.94
"Hipposideros ruber",8.705
"Hipposideros scutinares",13.94
"Hipposideros semoni",14
"Hipposideros sorenseni",13.94
"Hipposideros speoris",10.965
"Hipposideros stenotis",12
"Hipposideros sumbae",13.94
"Hipposideros thomensis",13.94
"Hipposideros turpis",34.075
"Hipposideros vittatus",13.94
"Hipposideros wollastoni",6.75
"Hippotragus equinus",254186.33
"Hippotragus leucophaeus",150000
"Hippotragus niger",196249.635
"Hirundo rustica",19
"Histiotus alienus",10.42
"Histiotus humboldti",11.1
"Histiotus laephotis",11.1
"Histiotus macrotus",11
"Histiotus magellanicus",11.1
"Histiotus montanus",10.42
"Histiotus velatus",11.2
"Histriophoca fasciata",77193.333
"Hodomys alleni",367.6
"Holochilus brasiliensis",155
"Holochilus chacarius",204
"Holochilus sciureus",141.63
"Homo erectus",69620
"Homo floresiensis",22500
"Homo georgicus",40000
"Homo habilis",30300
"Homo heidelbergensis",118500
"Homo naledi",47700
"Homo neanderthalensis",96800
"Homo rudolfensis",45600
"Homo sapiens",64097.143
"Homo sapiens (MRI)",58200
"Hoolock hoolock",6955.167
"Hoplomys gymnurus",285
"Horpyiocepalus leucogostra",10
"Hyaena brunnea",41138.965
"Hyaena hyaena",37435.037
"Hybomys badius",51.22
"Hybomys basilii",54.18
"Hybomys lunaris",54.1
"Hybomys planifrons",49.6
"Hybomys trivirgatus",57.2
"Hybomys univittatus",47.6
"Hydrictis maculicollis",4240.265
"Hydrochoeris hydrochaeris",27442.5
"Hydrochoerus hydrochaeris",46509.955
"Hydrochoerus isthmius",21267.32
"Hydromys chrysogaster",652.583
"Hydromys habbema",136.19
"Hydromys hussoni",141.87
"Hydromys neobritannicus",135.43
"Hydromys shawmayeri",141.42
"Hydropotes inermis",12650
"Hydrurga leptonyx",352750
"Hyemoschus aquaticus",10825.005
"Hyladelphys kalinowskii",16.75
"Hylobates",5400
"Hylobates agilis",5880
"Hylobates albibarbis",5692.08
"Hylobates klossii",5796.25
"Hylobates lar",5755
"Hylobates moloch",6497.333
"Hylobates muelleri",5826.656
"Hylobates pileatus",5440
"Hylobates syndactylus",10950
"Hylochoerus meinertzhageni",194250
"Hylomys megalotis",65.83
"Hylomys parvus",65.83
"Hylomys suillus",71.565
"Hylomyscus aeta",20
"Hylomyscus alleni",19.95
"Hylomyscus baeri",21.09
"Hylomyscus carillus",21.56
"Hylomyscus denniae",36
"Hylomyscus grandis",21.09
"Hylomyscus parvus",14.5
"Hylomyscus stella",20.05
"Hylonycteris underwoodi",6.65
"Hylopetes alboniger",255.38
"Hylopetes bartelsi",146.63
"Hylopetes lepidus",50
"Hylopetes nigripes",534
"Hylopetes phayrei",227
"Hylopetes platyurus",56.98
"Hylopetes sipora",89.2
"Hylopetes spadiceus",85.875
"Hylopetes winstoni",170.82
"Hyomys dammermani",932.5
"Hyomys goliath",817.5
"Hyosciurus heinrichi",296
"Hyosciurus ileile",315
"Hyperacrius fertilis",22.25
"Hyperacrius wynnei",52.6
"Hyperoodon ampullatus",5800000
"Hyperoodon planifrons",3e+06
"Hypogeomys antimena",1250
"Hypsignathus monstrosus",329.855
"Hypsiprymnodon moschatus",520
"Hypsugo alaschanicus",5.12
"Hypsugo anchietae",9.56
"Hypsugo anthonyi",12.15
"Hypsugo arabicus",3.17
"Hypsugo ariel",5.12
"Hypsugo bodenheimeri",2.73
"Hypsugo cadornae",6.69
"Hypsugo crassulus",6.095
"Hypsugo eisentrauti",6.11
"Hypsugo imbricatus",6.545
"Hypsugo joffrei",5.12
"Hypsugo kitcheneri",9.56
"Hypsugo lophurus",9.56
"Hypsugo macrotis",9.56
"Hypsugo musciculus",5.12
"Hypsugo pulveratus",5.415
"Hypsugo savii",6.3
"Hypsugo vordermanni",5.12
"Hystrix africaeaustralis",13590.673
"Hystrix brachyura",8225
"Hystrix crassispinis",5445.03
"Hystrix cristata",15625
"Hystrix indica",13542.915
"Hystrix javanica",23014.42
"Hystrix pumila",2740
"Hystrix sumatrae",3260
"Ia io",49.2
"Ichneumia albicauda",3950.01
"Ichthyomys hydrobates",66.4
"Ichthyomys pittieri",69.1
"Ichthyomys stolzmanni",84.7
"Ichthyomys tweedii",118.5
"Ictonyx libyca",1146.25
"Ictonyx striatus",1006.495
"Idionycteris phyllotis",12.03
"Idiurus macrotis",30
"Idiurus zenkeri",100
"Indopacetus pacificus",2200000
"Indri indri",6250
"Inia geoffrensis",110626.75
"Iomys horsfieldii",155.5
"Iomys sipora",154.67
"Irenomys tarsalis",43.15
"Isolobodon montanus",1350.1
"Isolobodon portoricensis",1350.1
"Isoodon auratus",435.225
"Isoodon macrourus",1513.109
"Isoodon obesulus",835.022
"Isothrix bistriata",445
"Isothrix negrensis",300.97
"Isothrix pagurus",210
"Isothrix sinnamariensis",291.73
"Isthmomys flavidus",233.68
"Isthmomys pirrensis",138
"Jaculus blanfordi",54.7
"Jaculus jaculus",65.083
"Jaculus orientalis",128.3
"Juliomys pictipes",22.9
"Juliomys rimofrons",19.8
"Juscelinomys candango",97.3
"Juscelinomys guaporensis",97.3
"Juscelinomys huanchacae",97.3
"Kadarsanomys sodyi",79.09
"Kannabateomys amblyonyx",600
"Kerivoula africana",4.9
"Kerivoula agnella",5.03
"Kerivoula argentata",10
"Kerivoula cuprosa",5.03
"Kerivoula eriophora",5.03
"Kerivoula flora",5.95
"Kerivoula hardwickii",4.55
"Kerivoula intermedia",3.55
"Kerivoula lanosa",6.5
"Kerivoula lenis",4.9
"Kerivoula minuta",2.07
"Kerivoula muscina",5.15
"Kerivoula myrella",6.5
"Kerivoula papillosa",9.95
"Kerivoula pellucida",4.115
"Kerivoula phalaena",3
"Kerivoula picta",4.5
"Kerivoula smithii",5.03
"Kerivoula whiteheadi",3.95
"Kerodon acrobata",800
"Kerodon rupestris",766.5
"KNM-ER 1470",52000
"KNM-ER 1805",32000
"KNM-ER 1813",32000
"KNM-ER 23000",46000
"KNM-ER 3733",61800
"KNM-ER 3883",61800
"KNM-WT 15000",68000
"Kobus ellipsiprymnus",175648.455
"Kobus kob",98000.03
"Kobus leche",116874.525
"Kobus megaceros",87500.39
"Kobus vardonii",71500.65
"Kogia breviceps",382750
"Kogia sima",175783.33
"Komodomys rintjanus",73.85
"Kunsia fronto",168
"Kunsia tomentosus",115.6
"La Chapelle I",76410
"La Ferrassie I",84990
"Laephotis angolensis",7.48
"Laephotis botswanae",7.2
"Laephotis namibensis",7.48
"Laephotis wintoni",6
"Lagenodelphis hosei",164000
"Lagenorhynchus acutus",213302.5
"Lagenorhynchus albirostris",123750
"Lagenorhynchus australis",120000
"Lagenorhynchus cruciger",110000
"Lagenorhynchus obliquidens",104875
"Lagenorhynchus obscurus",92986.55
"Lagenorhyncus obliquidens",86000
"Lagidium peruanum",1220
"Lagidium viscacia",2018.833
"Lagidium wolffsohni",2682.01
"Lagorchestes asomatus",1500
"Lagorchestes conspicillatus",2910
"Lagorchestes hirsutus",1265
"Lagorchestes leporides",3000
"Lagostomus crassus",4647.51
"Lagostomus maximus",5234.087
"Lagostrophus fasciatus",1725
"Lagothrix cana",5899.1
"Lagothrix lagothricha",5920
"Lagothrix lugens",6
"Lagothrix poeppigii",4555.77
"Lagurus lagurus",20.2
"Lama glama",106509.917
"Lama glama domesticus",107250
"Lamottemys okuensis",75.89
"Lampronycteris brachyotis",10.39
"Lariscus hosei",180
"Lariscus insignis",200
"Lariscus niobe",190.2
"Lariscus obscurus",241.19
"Lasionycteris noctivagans",10.46
"Lasiopodomys brandtii",71.825
"Lasiopodomys fuscus",42.5
"Lasiopodomys mandarinus",47.48
"Lasiorhinus krefftii",17374.995
"Lasiorhinus latifrons",29917
"Lasiurus atratus",14.57
"Lasiurus blossevillii",9.5
"Lasiurus borealis",10.213
"Lasiurus castaneus",13.63
"Lasiurus cinereus",23.815
"Lasiurus degelidus",14.57
"Lasiurus ebenus",14
"Lasiurus ega",13.2
"Lasiurus egregius",20
"Lasiurus insularis",14.57
"Lasiurus intermedius",22.815
"Lasiurus minor",14.57
"Lasiurus pfeifferi",14.57
"Lasiurus salinae",14.57
"Lasiurus seminolus",9.845
"Lasiurus varius",14.57
"Lasiurus xanthinus",14.57
"Latidens salimalii",44
"Lavia frons",23.715
"Leggadina forresti",20
"Leggadina lakedownensis",17.5
"Leimacomys buttneri",55
"Lemmiscus curtatus",29.285
"Lemmus amurensis",42.81
"Lemmus lemmus",59
"Lemmus portenkoi",55.76
"Lemmus sibiricus",67.207
"Lemmus trimucronatus",63.157
"Lemniscomys barbarus",33.43
"Lemniscomys bellieri",46.47
"Lemniscomys griselda",58
"Lemniscomys hoogstraali",44.92
"Lemniscomys linulus",44.45
"Lemniscomys macculus",26.5
"Lemniscomys mittendorfi",41.85
"Lemniscomys rosalia",53.725
"Lemniscomys roseveari",44.73
"Lemniscomys striatus",42.165
"Lemniscomys zebra",41.16
"Lemur catta",2173.333
"Lenomys meyeri",74.17
"Lenothrix canus",135
"Lenoxus apicalis",53.6
"Leontopithecus caissara",572
"Leontopithecus chrysomelas",655
"Leontopithecus chrysopygus",700
"Leontopithecus rosalia",607.25
"Leopardus braccatus",5157.94
"Leopardus colocolo",5157.94
"Leopardus geoffroyi",4373.97
"Leopardus guigna",5157.94
"Leopardus jacobitus",8133.78
"Leopardus pajeros",5157.94
"Leopardus pardalis",11356.395
"Leopardus tigrinus",2250
"Leopardus wiedii",3399.985
"Leopoldamys ciliatus",336.38
"Leopoldamys edwardsi",316.05
"Leopoldamys milleti",336.38
"Leopoldamys neilli",219
"Leopoldamys sabanus",335.515
"Leopoldamys siporanus",454.35
"Lepilemur ankaranensis",700.89
"Lepilemur dorsalis",746.667
"Lepilemur edwardsi",873.25
"Lepilemur leucopus",616.75
"Lepilemur microdon",946.667
"Lepilemur mustelinus",772.3
"Lepilemur ruficaudatus",915
"Lepilemur septentrionalis",750
"Leporillus apicalis",150
"Leporillus conditor",350
"Leptailurus serval",11852.492
"Leptomys elegans",84.75
"Leptomys ernstmayri",42.85
"Leptomys signatus",52.04
"Leptonychotes weddellii",385211.112
"Leptonycteris curasoae",24.14
"Leptonycteris nivalis",24.27
"Leptonycteris yerbabuenae",22.12
"Lepus alleni",3433.01
"Lepus americanus",1572.84
"Lepus arcticus",3880.013
"Lepus brachyurus",2519.45
"Lepus californicus",2293.96
"Lepus callotis",2500
"Lepus capensis",2358.057
"Lepus castroviejoi",2822.41
"Lepus comus",1460
"Lepus coreanus",2017.79
"Lepus corsicanus",3000
"Lepus europaeus",2530.5
"Lepus fagani",2048.51
"Lepus flavigularis",2999.99
"Lepus granatensis",4010
"Lepus habessinicus",2015.56
"Lepus hainanus",2000
"Lepus insularis",2658.02
"Lepus mandshuricus",1800
"Lepus microtis",1763.61
"Lepus nigricollis",2129.75
"Lepus oiostolus",3000
"Lepus othus",4805.96
"Lepus peguensis",2267.5
"Lepus saxatilis",2363.33
"Lepus sinensis",1510
"Lepus starcki",2750
"Lepus tibetanus",2451.03
"Lepus timidus",3139.5
"Lepus tolai",1589
"Lepus townsendii",1992.5
"Lepus yarkandensis",1460.41
"Lestodelphys halli",76
"Lestoros inca",21.1
"Liberiictis kuhni",2150.01
"Lichonycteris obscura",5.6
"Limnomys bryophilus",64.1
"Limnomys sibuanus",60
"Liomys adspersus",65
"Liomys irroratus",51.4
"Liomys pictus",41.675
"Liomys salvini",43.589
"Liomys spectabilis",65
"Lionycteris spurrelli",7.965
"Lipotes vexillifer",131750
"Lissodelphis borealis",93000
"Lissodelphis peronii",116000
"Lissonycteris angolensis",76.23
"Litocranius walleri",38874.845
"Lobodon carcinophaga",223624.995
"Lonchophylla bokermanni",11.8
"Lonchophylla dekeyseri",11.8
"Lonchophylla handleyi",18.5
"Lonchophylla hesperia",11.8
"Lonchophylla mordax",10.7
"Lonchophylla robusta",13
"Lonchophylla thomasi",7.025
"Lonchorhina aurita",16.85
"Lonchorhina fernandezi",14.32
"Lonchorhina inusitata",13.29
"Lonchorhina marinkellei",17
"Lonchorhina orinocensis",8.8
"Lonchothrix emiliae",138.2
"Long-tailed macaque",5700
"Lontra canadensis",7968.71
"Lontra felina",17300
"Lontra longicaudis",7277.48
"Lontra provocax",7499.98
"Lophiomys imhausi",755.01
"Lophocebus albigena",7645
"Lophocebus aterrimus",6467.592
"Lophocebus opdenboschi",7075.67
"Lophostoma brasiliense",9.76
"Lophostoma carrikeri",22.35
"Lophostoma evotis",20.58
"Lophostoma schulzi",18.02
"Lophostoma silvicolum",32.29
"Lophuromys angolensis",36.5
"Lophuromys ansorgei",36.5
"Lophuromys aquilus",36.5
"Lophuromys brevicaudus",36.5
"Lophuromys brunneus",36.5
"Lophuromys chrysopus",36.5
"Lophuromys dieterleni",36.5
"Lophuromys dudui",36.5
"Lophuromys eisentrauti",54.21
"Lophuromys flavopunctatus",60
"Lophuromys huttereri",36.5
"Lophuromys luteogaster",36.52
"Lophuromys medicaudatus",36.38
"Lophuromys melanonyx",10.2
"Lophuromys nudicaudus",32.59
"Lophuromys rahmi",38
"Lophuromys roseveari",36.5
"Lophuromys sikapusi",67.385
"Lophuromys verhageni",36.5
"Lophuromys woosnami",42.15
"Lophuromys zena",36.5
"Lorentzimys nouhuysi",14.2
"Loris lydekkerianus",265.265
"Loris tardigradus",291.667
"Loxodonta africana",3590416.316
"Loxodonta cyclotis",4750000.01
"Loxodontomys micropus",66.53
"Loxodontomys pikumche",70.76
"Lundomys molitor",238.49
"Lutra lutra",8172.88
"Lutra nippon",6951.14
"Lutra sumatrana",5500
"Lutreolina crassicaudata",617.767
"Lutrogale perspicillata",8391.665
"Lycalopex culpaeus",7624.747
"Lycalopex fulvipes",5146.58
"Lycalopex griseus",4735.29
"Lycalopex gymnocercus",4446.335
"Lycalopex sechurae",4234
"Lycalopex vetulus",4233.47
"Lycaon pictus",17616.69
"Lyncodon patagonicus",225
"Lynx canadensis",12171.125
"Lynx lynx",17575
"Lynx pardinus",9400
"Lynx rufus",8876.025
"Macaca arctoides",7832.5
"Macaca assamensis",7913.75
"Macaca cyclopis",5470
"Macaca fascicularis",3995.5
"Macaca fascicularis group",4501.761
"Macaca fuscata",9330.972
"Macaca hecki",6462.32
"Macaca irus",5000
"Macaca leonina",5458.302
"Macaca maura",9720
"Macaca mulatta",8325.952
"Macaca mulatta group",6737.793
"Macaca nemestrina",7575
"Macaca nemestrina group",8043.172
"Macaca nigra",7680
"Macaca nigrescens",5786.96
"Macaca ochreata",3950
"Macaca pagensis",4534.66
"Macaca radiata",3850
"Macaca siberu",5786.96
"Macaca silenus",7500
"Macaca sinica",3266.5
"Macaca sinica group",6468.647
"Macaca sylvanus",9625
"Macaca sylvanus group",9000
"Macaca thibetana",12400
"Macaca tonkeana",9000
"Macroderma gigas",124.677
"Macrogalidia musschenbroekii",4000
"Macroglossus minimus",16.467
"Macroglossus sobrinus",21.915
"Macronycteris commersoni",100.17
"Macrophyllum macrophyllum",8.35
"Macropus agilis",15000
"Macropus antilopinus",27250
"Macropus bernardus",17000
"Macropus dorsalis",11250
"Macropus eugenii",6354.667
"Macropus fuliginosus",41000
"Macropus giganteus",26225
"Macropus greyi",14500
"Macropus irma",8000
"Macropus parryi",13500
"Macropus robustus",29500
"Macroscelides proboscideus",38.5
"Macrotarsomys bastardi",25
"Macrotarsomys ingens",59.65
"Macrotis lagotis",1481.333
"Macrotis leucura",354.75
"Macrotus californicus",12.11
"Macrotus waterhousii",12.75
"Macruromys elegans",277.9
"Macruromys major",350
"Madoqua guentheri",7499.98
"Madoqua kirkii",4760.017
"Madoqua piacentinii",2500
"Madoqua saltiana",2624.985
"Madromys blanfordi",71.33
"Makalata didelphoides",253.33
"Makalata grandis",584
"Makalata macrura",439
"Makalata obscura",108
"Makalata occasius",322.29
"Makalata rhipidura",315
"Malacomys cansdalei",68.39
"Malacomys edwardsi",62.475
"Malacomys longipes",95.6
"Malacothrix typica",17.55
"Mallomys aroaensis",1664
"Mallomys gunung",2000
"Mallomys istapantap",1950
"Mallomys rothschildi",1157.5
"Malpaisomys insularis",71.33
"Mammelomys lanosus",117.1
"Mammelomys rattoides",209.49
"Mandrillus leucophaeus",20000
"Mandrillus sphinx",19862.5
"Manis crassicaudata",12183.665
"Manis culionensis",5982.25
"Manis gigantea",32999.7
"Manis javanica",4840
"Manis pentadactyla",18000
"Manis temminckii",7179.93
"Manis tetradactyla",2089.99
"Manis tricuspis",1943.89
"Margaretamys beccarii",70.35
"Margaretamys elegans",121
"Margaretamys parvus",32.1
"Marmosa andersoni",47.4
"Marmosa lepida",14
"Marmosa mexicana",49.475
"Marmosa murina",35.5
"Marmosa quichua",38.23
"Marmosa robinsoni",79.557
"Marmosa rubra",62
"Marmosa tyleriana",32.4
"Marmosa xerophila",46.2
"Marmoset",340
"Marmosops bishopi",19.5
"Marmosops cracens",25.5
"Marmosops dorothea",37.5
"Marmosops fuscatus",60
"Marmosops handleyi",30.7
"Marmosops impavidus",40.5
"Marmosops incanus",62.3
"Marmosops invictus",29.2
"Marmosops juninensis",31.57
"Marmosops neblina",31.57
"Marmosops noctivagus",21
"Marmosops parvidens",15
"Marmosops paulensis",38.89
"Marmosops pinheiroi",31.57
"Marmota baibacina",6437.5
"Marmota bobak",5211
"Marmota broweri",3405
"Marmota caligata",6765.015
"Marmota camtschatica",3407.25
"Marmota caudata",4296
"Marmota flaviventris",3487.228
"Marmota himalayana",5803.75
"Marmota marmota",2785.883
"Marmota menzbieri",3132.5
"Marmota monax",5300
"Marmota olympus",4889.395
"Marmota sibirica",7250
"Marmota vancouverensis",5274.995
"Martes americana",1049.333
"Martes flavigula",2176.25
"Martes foina",1495.4
"Martes gwatkinsii",2043
"Martes martes",1067.333
"Martes melampus",1000
"Martes pennanti",3125
"Martes zibellina",1130
"Massoutiera mzabi",188.3
"Mastacomys fuscus",125.72
"Mastomys awashensis",49.89
"Mastomys coucha",43.5
"Mastomys erythroleucus",56.15
"Mastomys huberti",49.89
"Mastomys kollmannspergeri",55.39
"Mastomys natalensis",47.355
"Mastomys pernanus",52.33
"Mastomys shortridgei",46.5
"Maxomys alticola",90
"Maxomys baeodon",69.8
"Maxomys bartelsii",102
"Maxomys dollmani",120
"Maxomys hellwaldii",203
"Maxomys hylomyoides",56.6
"Maxomys inas",90
"Maxomys inflatus",152
"Maxomys moi",147
"Maxomys musschenbroekii",84.8
"Maxomys ochraceiventer",97
"Maxomys pagensis",196
"Maxomys panglima",189
"Maxomys rajah",150.25
"Maxomys surifer",148.485
"Maxomys wattsi",147
"Maxomys whiteheadi",51.155
"Mazama americana",13149.875
"Mazama bororo",18809.87
"Mazama bricenii",16499.85
"Mazama chunyi",16499.85
"Mazama gouazoubira",16633.17
"Mazama nana",16499.85
"Mazama pandora",18809.87
"Mazama rufina",25999.8
"Mazama temama",18809.87
"Megadendromus nikolausi",52
"Megaderma lyra",40.42
"Megaderma spasma",24.59
"Megadontomys cryophilus",76.56
"Megadontomys nelsoni",76.55
"Megadontomys thomasi",110.933
"Megaerops ecaudatus",24.67
"Megaerops kusnotoi",35.94
"Megaerops niphanae",32.6
"Megaerops wetmorei",18.5
"Megaloglossus woermanni",14.98
"Megalomys desmarestii",47.71
"Megalomys luciae",47.71
"Megaoryzomys curioi",47.71
"Megaptera novaeangliae",30025000
"Megasorex gigas",20
"Melanomys caliginosus",41
"Melanomys robustulus",53.5
"Melanomys zunigae",53.5
"Melasmothrix naso",47.45
"Meles anakuma",13000
"Meles leucurus",13000
"Meles meles",11383.333
"Mellivora capensis",8193.333
"Melogale everetti",1500
"Melogale moschata",805.25
"Melogale orientalis",2000
"Melogale personata",7872.25
"Melomys aerosus",97.3
"Melomys arcium",86.68
"Melomys bannisteri",86.68
"Melomys bougainville",86
"Melomys burtoni",68.5
"Melomys capensis",70
"Melomys caurinus",136
"Melomys cervinipes",74
"Melomys cooperae",86.68
"Melomys dollmani",91.27
"Melomys fraterculus",47.8
"Melomys frigicola",86.68
"Melomys fulgens",97.3
"Melomys howi",86.68
"Melomys leucogaster",108.5
"Melomys lutillus",86.68
"Melomys matambuai",145
"Melomys obiensis",71
"Melomys paveli",86.68
"Melomys rubicola",100
"Melomys rufescens",62.625
"Melomys spechti",86.68
"Melomys talaudium",86.68
"Melonycteris fardoulisi",42.53
"Melonycteris melanops",49.93
"Melonycteris woodfordi",36.19
"Melursus ursinus",98722.333
"Menetes berdmorei",190
"Mephitis macroura",801.25
"Mephitis mephitis",3029.505
"Meriones arimalius",89.57
"Meriones chengi",88.96
"Meriones crassus",99.885
"Meriones dahli",90.15
"Meriones grandis",96.13
"Meriones hurrianae",71.2
"Meriones libycus",91.33
"Meriones meridianus",53.55
"Meriones persicus",100
"Meriones rex",125.25
"Meriones sacramenti",200
"Meriones shawi",90.6
"Meriones tamariscinus",120
"Meriones tristrami",108.5
"Meriones unguiculatus",56.514
"Meriones vinogradovi",150
"Meriones zarudnyi",82.44
"Mesechinus dauuricus",342
"Mesechinus hughi",315.81
"Mesembriomys gouldii",913.25
"Mesembriomys macrurus",267
"Mesocapromys angelcabrerai",470
"Mesocapromys auritus",585.55
"Mesocapromys melanurus",883.14
"Mesocapromys nanus",583.33
"Mesocapromys sanfelipensis",554.44
"Mesocricetus auratus",120.426
"Mesocricetus brandti",198
"Mesocricetus newtoni",97.5
"Mesocricetus raddei",111.73
"Mesomys hispidus",175
"Mesomys leniceps",108
"Mesomys occultus",126.85
"Mesomys stimulax",108
"Mesophylla macconnelli",7.235
"Mesoplodon bidens",3400000
"Mesoplodon bowdoini",2600000
"Mesoplodon carlhubbsi",3400000
"Mesoplodon densirostris",1535250
"Mesoplodon europaeus",3166250
"Mesoplodon ginkgodens",1500000
"Mesoplodon grayi",2900000
"Mesoplodon hectori",1e+06
"Mesoplodon layardii",1500000
"Mesoplodon mirus",1514750
"Mesoplodon perrini",2514984.32
"Mesoplodon peruvianus",2514984.32
"Mesoplodon stejnegeri",4800000
"Mesoplodon traversii",2514984.32
"Metachirus nudicaudatus",324.5
"Micaelamys granti",40
"Micaelamys namaquensis",64.612
"Mico argentatus",345
"Mico humeralifer",370
"Micoureus alstoni",132.3
"Micoureus constantiae",90
"Micoureus demerarae",75.75
"Micoureus paraguayanus",141.265
"Micoureus phaeus",103.76
"Micoureus regina",118.6
"Microakodontomys transitorius",47.71
"Microcavia australis",286.1
"Microcavia niata",255.2
"Microcavia shiptoni",185
