"species_printed","is_header","source_pdf_page","n","OBL","MES","CER","DIE","TEL","species_row"
"    Miniopterus magnater","","62","3","41.6","26.9","73.3","21.8","142.1","270"
"    Miniopterus medius","","62","3","37.2","24.3","61.1","18.3","109.5","271"
"    Miniopterus pusillus","","62","3","28.6","18.2","47.1","15.8","95.0","272"
"    M. schreibersi arenarius","","62","3","31.7","20.5","49.8","17.2","110.2","273"
"    Miniopterus s. blepotis","","62","2","41.3","26.6","73.5","20.4","129.8","274"
"    Miniopterus tristis","","62","3","44.2","30.0","71.7","23.1","144.2","275"
"  MURININAE","TRUE","62","","","","","","","276"
"    Murina cyclotis cyclotis","","62","2","28.8","21.2","39.9","18.3","127.7","277"
"    Murina c. peninsularis","","62","2","29.9","21.3","48.0","19.5","146.9","278"
"    Murina huttoni rubella","","62","3","27.0","20.4","40.8","18.9","136.0","279"
"    Murina tubinaris","","62","2","23.6","16.1","35.7","15.9","113.9","280"
"    Harpiocephalus harpia","","62","1","43.1","30.3","68.7","31.7","243.9","281"
"  KERIVOULINAE","TRUE","62","","","","","","","282"
"    Kerivoula papillosa","","62","","34.2","22.9","65.9","21.4","150.8","283"
"    Kerivoula pellucida","","62","","23.9","19.9","36.5","14.6","97.1","284"
"    Kerivoula phalaena","","62","","17.3","13.1","23.2","9.1","47.8","285"
"    Phoniscus atrox","","62","","18.3","13.3","29.5","12.1","105.6","286"
"  NYCTOPHILINAE","TRUE","62","","","","","","","287"
"    Nyctophilus geoffroyi","","62","2","21.6","15.5","29.2","12.6","78.1","288"
"    Nyctophilus timoriensis","","62","2","31.3","26.7","43.9","19.2","119.5","289"
"MOLOSSIDAE","TRUE","63","","","","","","","290"
"    Tadarida aegyptiaca","","63","3","54.0","35.1","70.3","30.4","179.9","291"
"    Tadarida condylura","","63","3","58.6","41.5","74.4","37.9","218.2","292"
"    Tadarida mops","","63","3","60.6","43.0","74.6","43.3","225.7","293"
"    Tadarida niveiventer","","63","3","60.8","42.9","79.1","35.5","188.7","294"
"    Tadarida beccarii","","63","2","34.4","23.1","41.4","18.5","101.8","295"
"    Tadarida jobensis","","63","1","44.8","32.5","71.4","27.6","163.3","296"
"    Tadarida leucostigma","","63","1","55.9","39.7","70.0","28.2","175.3","297"
"    Tadarida plicata plicata","","63","3","46.3","31.2","61.4","24.4","142.8","298"
"    Tadarida pumila","","63","3","36.3","27.1","41.8","19.9","103.8","299"
"    Otomops martiensseni","","63","3","89.6","59.9","201.6","53.4","310.4","300"
"    Molossops abrasus","","63","3","58.7","44.9","69.7","34.3","184.2","301"
"    Molossops greenhalli","","63","1","45.9","34.8","48.8","25.5","127.8","302"
"    Molossops planirostris","","63","2","26.7","19.9","29.7","15.8","82.2","303"
"    Eumops auripendulus","","63","3","80.2","60.1","136.6","46.6","252.1","304"
"    Eumops glaucinus","","63","2","82.2","64.4","148.8","46.2","276.3","305"
"    Molossus ater","","63","3","66.0","53.8","93.8","40.8","243.6","306"
"    Molossus molossus","","63","3","42.6","32.8","58.7","23.5","140.7","307"
"    Molossus trinitatis","","63","2","59.0","43.4","85.3","33.2","190.8","308"
"    Cheiromeles torquatus","","63","3","161.6","111.6","213.4","108.2","680.6","309"
