"species_printed","is_header","source_pdf_page","MOB","PAL","STR","SEP","AMY","HIP","SCH","NEO","species_row"
"    Ardops nichollsi","","142","28.0","30.4","28.5","7.39","18.6","36.1","19.8","148.6","201"
"    Sphaeronycteris toxoph.","","142","11.8","24.1","21.2","6.63","12.0","32.3","20.5","135.2","202"
"  BRACHYPHYLLINAE","TRUE","142","","","","","","","","","203"
"    Brachyphylla cavernarum","","142","42.2","68.1","82.2","17.2","33.8","78.8","36.8","322.9","204"
"DESMODONTIDAE","TRUE","143","","","","","","","","","205"
"    Desmodus rotundus","","143","33.0","42.8","60.7","10.9","30.4","42.4","31.7","312.5","206"
"    Diphylla ecaudata","","143","36.2","38.9","45.6","8.67","21.6","41.0","23.2","231.1","207"
"NATALIDAE","TRUE","143","","","","","","","","","208"
"    Natalus tumidirostris","","143","3.58","8.11","14.9","3.06","8.81","27.1","8.59","55.1","209"
"FURIPTERIDAE","TRUE","143","","","","","","","","","210"
"    Furipterus horrens","","143","1.37","3.73","6.22","1.33","4.65","9.46","3.76","23.3","211"
"VESPERTILIONIDAE","TRUE","143","","","","","","","","","212"
"VESPER TILIONIN AE","TRUE","143","","","","","","","","","213"
"    Myotis adversus","","143","5.54","10.8","14.0","3.43","12.2","13.2","7.32","46.6","214"
"    Myotis albescens","","143","2.90","5.14","6.73","1.66","6.00","7.59","3.75","20.5","215"
"    Myotis altarium","","143","4.98","9.69","11.9","3.68","9.28","21.3","8.75","36.9","216"
"    Myotis annectans","","143","5.05","9.25","10.7","3.26","10.4","17.7","8.44","37.3","217"
"    Myotis bechsteini","","143","7.81","14.1","13.0","4.73","11.0","25.5","9.18","36.3","218"
"    Myotis bocagei","","143","4.09","7.38","9.84","2.53","9.60","9.75","5.67","36.0","219"
"    Myotis dasycneme","","143","6.89","11.8","13.0","4.41","14.0","25.2","11.2","46.5","220"
"    Myotis montivagus","","143","3.55","6.69","8.58","2.16","8.39","10.3","4.67","27.8","221"
"    Myotis myotis","","143","13.3","18.3","23.6","6.69","18.8","35.6","17.2","78.3","222"
"    Myotis nattereri","","143","4.77","8.83","10.6","3.32","10.2","21.4","7.79","34.8","223"
"    Myotis nigricans","","143","2.88","7.03","7.95","2.02","7.27","9.03","4.08","23.0","224"
"    Myotis nigricans ssp.","","143","4.02","7.02","8.70","2.16","8.42","7.42","4.27","28.3","225"
"    Myotis siligorensis","","143","2.17","3.74","5.54","1.42","4.83","7.14","3.06","16.2","226"
"    Pipistrellus babu","","143","2.42","3.82","3.63","1.33","4.74","6.42","3.02","14.2","227"
"    Pipistrellus ceylonicus","","143","5.44","8.30","6.74","2.36","10.1","11.8","5.61","28.3","228"
"    Pipistrellus circumdatus","","143","4.96","8.74","9.80","3.35","10.7","20.0","9.47","35.1","229"
"    Pipistrellus crassulus","","143","3.56","5.44","5.75","1.91","7.41","8.19","3.98","21.3","230"
"    Pipistrellus imbricatus","","143","3.26","5.18","6.16","2.19","6.96","9.24","3.12","21.2","231"
"    Pipistrellus javanicus","","143","3.14","4.84","4.93","1.61","6.38","8.27","3.63","18.4","232"
"    Pipistrellus mimus","","143","2.46","3.85","3.75","1.33","4.28","6.26","2.99","14.4","233"
"    Pipistrellus nanus","","143","1.99","4.37","5.31","1.43","4.89","6.27","2.90","15.7","234"
"    Pipistrellus papuanus §)","","143","2.29","4.33","4.77","1.66","6.14","6.09","2.80","17.6","235"
"    Pipistrellus pulveratus","","143","3.76","5.86","6.37","2.11","8.00","9.97","4.87","22.6","236"
"    Pipistrellus subflavus","","143","3.53","5.72","5.32","2.31","5.27","10.9","4.55","16.6","237"
"    Scotozous dormeri","","143","3.76","6.67","5.71","1.85","7.09","7.95","3.93","21.4","238"
"    Nyctalus noctula","","143","7.74","12.2","12.4","4.55","15.6","19.2","10.5","54.9","239"
"    Nyctalus stenopterus","","143","6.09","9.36","11.2","3.10","13.6","13.9","5.90","39.4","240"
"    Glischropus tylopus","","143","2.28","4.09","4.48","1.26","5.41","6.44","2.48","14.3","241"
"    Eptesicus brasiliensis","","143","4.49","9.72","9.70","3.02","10.1","11.9","6.22","34.8","242"
"    Eptesicus br. melanopterus","","143","5.43","8.16","8.76","2.55","10.2","11.6","5.82","31.0","243"
"    Eptesicus flavescens","","143","4.77","7.88","8.07","2.41","8.59","10.7","5.24","31.5","244"
"    Eptesicus fuscus","","143","6.17","10.7","10.9","3.39","9.24","19.7","9.82","43.3","245"
"    Eptesicus pumilus","","143","2.60","4.60","5.52","1.85","5.97","9.65","3.83","18.3","246"
"    Eptesicus serotinus anders.","","143","10.0","15.6","16.1","5.01","17.0","27.6","12.3","55.7","247"
"    Ia io","","143","16.9","31.6","38.5","9.76","36.9","47.1","26.6","141.3","248"
"VESPERTILIONIDAE (cant.)","TRUE","144","","","","","","","","","249"
"  VESPERTILIONINAE (cant.)","TRUE","144","","","","","","","","","250"
"    Tylonycteris pachypus","","144","1.78","3.34","3.15","1.14","4.19","4.40","2.29","12.3","251"
"    Tylonycteris robustula","","144","2.88","4.60","4.25","1.44","5.53","6.21","3.60","16.7","252"
"    Hesperoptenus blanfordi","","144","4.30","6.23","5.86","2.11","8.66","9.34","4.10","25.7","253"
"    Glauconycteris humeralis","","144","1.48","4.60","6.49","1.39","5.61","9.79","3.95","22.9","254"
"    Glauconycteris poensis","","144","2.39","5.94","8.32","1.98","9.93","12.2","5.95","36.0","255"
"    Chalinolobus gouldi","","144","5.74","8.26","10.2","3.37","11.0","17.6","7.14","37.3","256"
"    Chalinolobus morio","","144","3.15","5.65","8.06","2.69","6.38","17.9","6.27","28.1","257"
"    Scotorepens sanborni","","144","4.09","6.86","6.56","1.99","7.57","10.2","5.03","25.7","258"
"    Rhogeessa parvula","","144","2.80","4.90","5.31","1.62","5.78","6.48","3.44","18.2","259"
"    Scotomanes ornatus","","144","8.21","15.9","18.6","5.99","18.1","27.4","13.3","65.0","260"
"    Scotomanes sp.?","","144","6.97","13.6","13.9","4.47","16.6","27.8","12.8","57.7","261"
"    Scotophilus dingani","","144","11.0","15.3","18.5","4.47","20.3","22.7","12.6","87.2","262"
"    Scotophilus heathi","","144","11.2","16.8","18.9","5.53","21.1","25.1","11.7","93.6","263"
"    Scotophilus kuhli","","144","6.76","11.4","13.5","4.11","16.5","18.6","9.76","66.8","264"
"    Lasiurus borealis","","144","3.97","5.71","6.30","2.11","6.27","9.00","4.60","27.9","265"
"MINIOPTERIN AE","TRUE","144","","","","","","","","","266"
"    Miniopterus australis","","144","4.47","7.32","11.7","2.72","9.74","15.0","6.04","37.6","267"
"    Miniopterus haradei","","144","4.83","7.81","11.1","2.79","10.9","15.9","6.15","37.7","268"
"    Miniopterus inflatus","","144","6.77","11.5","16.3","3.93","12.5","19.0","9.35","55.9","269"
"    Miniopterus magnater","","144","6.01","11.3","16.8","3.71","16.2","20.2","7.99","59.7","270"
"    Miniopterus medius","","144","4.42","9.41","13.2","2.96","12.1","15.7","5.30","46.4","271"
"    Miniopterus pusillus","","144","3.98","8.22","11.5","2.64","10.1","15.0","6.28","37.2","272"
"    M. schreibersi arenarius","","144","5.24","9.71","13.1","2.98","10.8","16.6","7.74","44.0","273"
"    Miniopterus s. blepotis","","144","5.98","12.9","16.0","3.70","12.4","19.7","9.13","49.8","274"
"    Miniopterus tristis","","144","6.12","12.5","17.7","3.68","16.5","18.4","7.03","62.2","275"
"  MURININAE","TRUE","144","","","","","","","","","276"
"    Murina cyclotis cyclotis","","144","12.8","20.1","13.1","3.33","9.60","15.9","7.91","44.4","277"
"    Murina c. peninsularis","","144","13.5","22.2","13.9","3.40","10.4","14.8","9.87","58.7","278"
"    Murina huttoni rubella","","144","13.9","20.8","13.5","3.54","10.2","17.1","7.49","49.5","279"
"    Murina tubinaris","","144","11.1","20.0","11.4","2.99","8.53","15.2","6.61","38.0","280"
"    Harpiocephalus harpia","","144","23.0","35.7","26.4","7.08","17.4","35.8","17.2","81.3","281"
"  KERIVOULINAE","TRUE","144","","","","","","","","","282"
"    Kerivoula papillosa","","144","3.80","7.90","12.2","2.82","10.4","36.3","8.29","69.0","283"
"    Kerivoula pellucida","","144","2.13","5.14","12.3","1.77","7.46","14.0","7.17","47.2","284"
"    Kerivoula phalaena","","144","1.62","3.64","7.09","1.08","4.45","6.76","3.03","20.1","285"
"    Phoniscus atrox","","144","2.59","5.54","9.35","1.92","7.08","24.7","9.39","45.1","286"
"  NYCTOPHILINAE","TRUE","144","","","","","","","","","287"
"    Nyctophilus geoffroyi","","144","4.49","6.56","8.06","2.13","7.01","12.3","5.68","31.8","288"
"    Nyctophilus timoriensis","","144","5.69","9.62","12.9","3.03","12.7","19.4","8.46","47.6","289"
"MOLOSSIDAE","TRUE","145","","","","","","","","","290"
"    Tadarida aegyptiaca","","145","10.0","16.1","15.8","5.66","18.4","22.9","13.6","77.3","291"
"    Tadarida condylura","","145","13.3","18.4","19.7","5.81","21.5","22.9","14.5","102.0","292"
"    Tadarida mops","","145","13.9","19.9","22.8","6.26","21.2","24.5","11.6","105.6","293"
"    Tadarida niveiventer","","145","10.6","15.9","16.1","5.11","19.5","20.8","13.8","86.9","294"
"    Tadarida beccarii","","145","7.20","9.51","9.38","3.28","11.0","13.0","7.10","41.4","295"
"    Tadarida jobensis","","145","9.50","14.3","15.7","4.43","15.5","14.9","10.1","78.8","296"
"    Tadarida leucostigma","","145","8.78","16.6","15.1","5.67","19.0","19.8","9.61","80.7","297"
"    Tadarida plicata plicata","","145","7.83","12.7","13.0","4.29","16.4","16.4","10.0","62.2","298"
"    Tadarida pumila","","145","6.60","9.82","9.42","3.08","11.6","12.2","6.77","44.3","299"
"    Otomops martiensseni","","145","14.3","26.2","29.0","7.07","28.8","30.6","20.7","153.6","300"
"    Molossops abrasus","","145","10.5","16.6","15.4","4.62","21.0","22.9","12.6","80.7","301"
"    Molossops greenhalli","","145","5.08","11.8","12.1","3.65","14.9","14.4","9.72","56.0","302"
"    Molossops planirostris","","145","5.20","8.23","8.46","2.97","8.91","10.3","5.93","32.2","303"
"    Eumops auripendulus","","145","12.5","22.5","22.5","6.11","27.6","25.0","18.1","117.8","304"
"    Eumops glaucinus","","145","14.2","21.9","26.0","7.91","25.0","28.9","23.2","129.0","305"
"    Molossus ater","","145","12.9","21.1","21.6","6.23","29.0","24.4","14.6","113.8","306"
"    Molossus molossus","","145","7.48","12.9","12.6","4.07","17.2","15.2","8.67","62.6","307"
"    Molossus trinitatis","","145","10.4","15.7","17.0","4.39","21.0","20.8","11.8","89.6","308"
"    Cheiromeles torquatus","","145","40.5","54.8","61.8","17.0","55.2","61.2","40.3","349.8","309"
