"species_row","Species_Baron1996","source_concept","NCBI_id","NCBI_name","candidate_name","resolution_status","merge_eligible","source_rows_same_concept","source_rows_same_candidate","within_source_mean_required","note"
204,"Pipistrellus nanus","Pipistrellus nanus","568927","Afronycteris nana","Afronycteris nana","NCBI_exact",TRUE,1,1,FALSE,""
205,"Pipistrellus papuanus §)","Pipistrellus papuanus",,,"Pipistrellus papuanus","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
206,"Pipistrellus pulveratus","Pipistrellus pulveratus",,,"Hypsugo pulveratus","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
207,"Pipistrellus subflavus","Pipistrellus subflavus","27672","Perimyotis subflavus","Perimyotis subflavus","NCBI_exact",TRUE,1,1,FALSE,""
208,"Scotozous dormeri","Scotozous dormeri","2830904","Scotozous dormeri","Scotozous dormeri","NCBI_exact",TRUE,1,1,FALSE,""
209,"Nyctalus noctula","Nyctalus noctula","51300","Nyctalus noctula","Nyctalus noctula","NCBI_exact",TRUE,1,1,FALSE,""
210,"Nyctalus stenopterus","Nyctalus stenopterus",,,"Pipistrellus stenopterus","MANUAL_REVIEW",FALSE,1,1,FALSE,"Provisional Pipistrellus stenopterus; historical placement remains uncertain."
211,"Glischropus tylopus","Glischropus tylopus","526818","Glischropus tylopus","Glischropus tylopus","NCBI_exact",TRUE,1,1,FALSE,""
212,"Eptesicus brasiliensis","Eptesicus brasiliensis","177183","Eptesicus brasiliensis","Eptesicus brasiliensis","NCBI_exact",TRUE,2,2,TRUE,""
213,"Eptesicus br. melanopterus","Eptesicus brasiliensis","177183","Eptesicus brasiliensis","Eptesicus brasiliensis","NCBI_exact",TRUE,2,2,TRUE,"Expanded abbreviated source label; species-level concept retained."
214,"Eptesicus flavescens","Eptesicus flavescens",,,"Nycticeinops grandidieri","MANUAL_REVIEW",FALSE,1,1,FALSE,"GBIF match carries multiple synonym-homonym interpretations."
215,"Eptesicus fuscus","Eptesicus fuscus","29078","Eptesicus fuscus","Eptesicus fuscus","NCBI_exact",TRUE,1,1,FALSE,""
216,"Eptesicus pumilus","Eptesicus pumilus","2720890","Vespadelus pumilus","Vespadelus pumilus","NCBI_exact",TRUE,1,1,FALSE,""
217,"Eptesicus serotinus andersoni","Eptesicus serotinus","59452","Eptesicus serotinus","Eptesicus serotinus","NCBI_exact",TRUE,1,1,FALSE,""
218,"Ia io","Ia io","360967","Ia io","Ia io","NCBI_exact",TRUE,1,1,FALSE,""
219,"Tylonycteris pachypus","Tylonycteris pachypus","258959","Tylonycteris pachypus","Tylonycteris pachypus","NCBI_exact",TRUE,1,1,FALSE,""
220,"Tylonycteris robustula","Tylonycteris robustula","526822","Tylonycteris robustula","Tylonycteris robustula","NCBI_exact",TRUE,1,1,FALSE,""
221,"Hesperoptenus blanfordi","Hesperoptenus blanfordi","867821","Hesperoptenus blanfordi","Hesperoptenus blanfordi","NCBI_exact",TRUE,1,1,FALSE,""
222,"Glauconycteris humeralis","Glauconycteris humeralis","2093331","Glauconycteris humeralis","Glauconycteris humeralis","NCBI_exact",TRUE,1,1,FALSE,""
223,"Glauconycteris poensis","Glauconycteris poensis","258909","Glauconycteris poensis","Glauconycteris poensis","NCBI_exact",TRUE,1,1,FALSE,""
224,"Chalinolobus gouldi","Chalinolobus gouldi","258889","Chalinolobus gouldii","Chalinolobus gouldii","NCBI_exact",TRUE,1,1,FALSE,""
225,"Chalinolobus morio","Chalinolobus morio","50353","Chalinolobus morio","Chalinolobus morio","NCBI_exact",TRUE,1,1,FALSE,""
226,"Scotorepens sanborni","Scotorepens sanborni",,,"Scotorepens sanborni","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
227,"Rhogeessa parvula","Rhogeessa parvula","153298","Rhogeessa parvula","Rhogeessa parvula","NCBI_exact",TRUE,1,1,FALSE,""
228,"Scotomanes ornatus","Scotomanes ornatus","258957","Scotomanes ornatus","Scotomanes ornatus","NCBI_exact",TRUE,1,1,FALSE,""
229,"Scotomanes spec?","Scotomanes sp.",,,"Scotomanes sp.","MANUAL_REVIEW",FALSE,1,1,FALSE,"The source identifies only the genus."
230,"Scotophilus dingani","Scotophilus dingani",,,"Scotophilus dinganii","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
231,"Scotophilus heathi","Scotophilus heathi","159339","Scotophilus heathii","Scotophilus heathii","NCBI_exact",TRUE,1,1,FALSE,""
232,"Scotophilus kuhli","Scotophilus kuhli",,,"Scotophilus kuhlii","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
233,"Lasiurus borealis","Lasiurus borealis","258930","Lasiurus borealis","Lasiurus borealis","NCBI_exact",TRUE,1,1,FALSE,""
234,"Miniopterus australis","Miniopterus australis","117605","Miniopterus australis","Miniopterus australis","NCBI_exact",TRUE,1,1,FALSE,""
235,"Miniopterus haradei","Miniopterus haradei",,,"Miniopterus blepotis","GBIF_frozen_legacy_map",TRUE,1,1,FALSE,""
236,"Miniopterus inflatus","Miniopterus inflatus","221087","Miniopterus inflatus","Miniopterus inflatus","NCBI_exact",TRUE,1,1,FALSE,""
237,"Miniopterus magnater","Miniopterus magnater","438766","Miniopterus magnater","Miniopterus magnater","NCBI_exact",TRUE,1,1,FALSE,""
238,"Miniopterus medius","Miniopterus medius","867841","Miniopterus medius","Miniopterus medius","NCBI_exact",TRUE,1,1,FALSE,""
239,"Miniopterus pusillus","Miniopterus pusillus","258934","Miniopterus pusillus","Miniopterus pusillus","NCBI_exact",TRUE,1,1,FALSE,""
