source_row,species,sex,catalogue_number,body_weight_g,brain_weight_fresh_mg,plane_of_sectioning,section_thickness_um,staining,distance_between_sections,collection_group
507,Saccopteryx bilineata,F,K 12,10.4,260,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
508,Saccopteryx bilineata,F,K 243,8.300000000000001,225,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
509,Saccopteryx bilineata,F,K 245,7.6,225,coronal,20,Hematoxylin,2,Chiroptera
510,Saccopteryx bilineata,F,K 247,6.9,220,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
511,Saccopteryx canescens,M,K 282,3.4,130,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
512,Saccopteryx leptura,M,K 235,5.4,160,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
513,Saccopteryx leptura,M,K 237,4,160,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
514,Saccopteryx leptura,F,4109,4.9,162,coronal,20,Gallocyanin,2,Chiroptera
515,Cormura brevirostris,M,4110,7.8,226,coronal,20,Gallocyanin,2,Chiroptera
516,Cormura brevirostris,F,4111,7.6,221,coronal,20,Gallocyanin,2,Chiroptera
517,Cormura brevirostris,F,4112,9.1,211,coronal,20,Gallocyanin,2,Chiroptera
518,Peropteryx macrotis,M,K 42,5.2,160,coronal,20,Hematoxylin,2,Chiroptera
519,Peropteryx macrotis,F,K 44,6.5,170,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
520,Peropteryx macrotis,M,K 45,5.4,170,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
521,Peropteryx trinitatis,F,4122,4.2,131,coronal,20,Gallocyanin,2,Chiroptera
522,Peropteryx trinitatis,F,4124,4.4,129,coronal,20,Gallocyanin,2,Chiroptera
523,Peropteryx trinitatis,F,4126,4.3,136,coronal,20,Gallocyanin,2,Chiroptera
524,Taphozous australis,M,1868,25,514,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
525,Taphozous australis,M,1869,21.8,514,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
526,Taphozous hildegardeae,M,2712,29.6,558,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
527,Taphozous hildegardeae,F,2713,28,511,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
528,Taphozous hildegardeae,M,2714,26.4,549,coronal,20,Gallocyanin,3,Chiroptera
529,Taphozous mauritianus,F,2709,29.5,604,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
530,Taphozous mauritianus,F,2710,28.6,497,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
531,Taphozous melanopogon,M,4521,21.6,518,coronal,20,Gallocyanin,3,Chiroptera
532,Taphozous melanopogon,M,4526,23.3,548,coronal,20,Gallocyanin,3,Chiroptera
533,Taphozous melanopogon,F,4527,23.1,556,coronal,20,Gallocyanin,3,Chiroptera
534,Taphozous theobaldi,M,4529,42.1,679,coronal,20,Gallocyanin,3,Chiroptera
535,Taphozous theobaldi,M,4530,39.9,683,coronal,20,Gallocyanin,3,Chiroptera
536,Taphozous theobaldi,F,4532,40,664,coronal,20,Gallocyanin,3,Chiroptera
537,Taphozous saccolaimus I,M,2067,40,705,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
538,Taphozous saccolaimus I,F,2068,43,650,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
539,Taphozous saccolaimus I,F,2070,42.1,670,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
540,Cyttarops alecto,M,4120,5.3,175,coronal,20,Gallocyanin,2,Chiroptera
541,Craseonycteris thonglongyai,F,4845,2.7,89,coronal,20,Gallocyanin,2,Chiroptera
542,Craseonycteris thonglongyai,M,4847,2.4,82,coronal,20,Gallocyanin,2,Chiroptera
543,Nycteris arge,M,3780,11,349,coronal,20,Cresylviolet,2,Chiroptera
544,Nycteris arge,M,3781,10.5,333,coronal,20,Cresylviolet,2,Chiroptera
545,Nycteris grandis,M,2723,29,762,coronal,20,Cresylviolet,3,Chiroptera
546,Nycteris grandis,M,3782,28.2,706,sagittal,10,Cell body Merker Cresylviolet,4 4,Chiroptera
547,Nycteris grandis,M,3785,30.7,706,coronal,20,Cresylviolet,3,Chiroptera
548,Nycteris grandis,F,3787,31.4,689,coronal,20,Cresylviolet,2,Chiroptera
549,Nycteris grandis,M,3790,28.4,750,coronal,20,Cresylviolet,2,Chiroptera
550,Nycteris hispida,F,2718,7.8,284,coronal,20,Cresylviolet,2,Chiroptera
551,Nycteris javanica,M,2075,18.4,470,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
552,Nycteris javanica,M,2076,14.9,485,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
553,Nycteris macrotis,M,2720,14.4,400,coronal,20,Gallocyanin,2,Chiroptera
554,Nycteris macrotis,F,2721,15.8,362,coronal,20,Gallocyanin,2,Chiroptera
555,Nycteris macrotis,F,2722,13.4,403,coronal,20,Gallocyanin,2,Chiroptera
556,Nycteris nana,F,2726,7.4,236,coronal,20,Gallocyanin,2,Chiroptera
557,Nycteris nana,M,2727,7,237,coronal,20,Gallocyanin,2,Chiroptera
558,Nycteris nana,M,2728,6,248,coronal,20,Gallocyanin,2,Chiroptera
559,Nycteris thebaica,M,2719,7.7,306,coronal,20,Gallocyanin,2,Chiroptera
560,Nycteris thebaica,F,2724,9.9,342,coronal,20,Gallocyanin,2,Chiroptera
561,Nycteris thebaica,F,2725,9.199999999999999,322,coronal,20,Gallocyanin,2,Chiroptera
562,Nycteris tragata,M,4848,13.8,434,coronal,20,Gallocyanin,2,Chiroptera
563,Megaderma lyra,F,1947,34,820,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
564,Megaderma lyra,M,1948,29.2,925,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
565,Megaderma lyra,F,4551,39.4,904,coronal,20,Gallocyanin,3,Chiroptera
566,Megaderma lyra,M,4557,36.3,879,coronal,20,Gallocyanin,3,Chiroptera
567,Megaderma lyra,F,4561,44,981,coronal,20,Gallocyanin,3,Chiroptera
568,Megaderma lyra,M,4562,41.6,970,coronal,20,Gallocyanin,3,Chiroptera
569,Megaderma spasma,M,2080,24.4,680,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
570,Megaderma spasma,M,2082,25.3,700,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
571,Megaderma spasma,F,2085,27,710,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
572,Macroderma gigas,F,1930,124,1800,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
573,Macroderma gigas,M,2455,115.2,1644,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
574,Macroderma gigas,M,2456,120.3,1672,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
575,Cardioderma cor,M,2729,24.5,670,sagittal,10,Cell body Merker Cresylviolet,4 4,Chiroptera
576,Cardioderma cor,F,2732,24.3,657,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
577,Cardioderma cor,M,2735,24.2,695,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
578,Cardioderma cor,F,2736,28.2,685,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
579,Lavia frons,M,2740,23,625,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
580,Lavia frons,M,2741,24.2,663,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
581,Rhinolophus cornutus,F,4587,6.8,199,coronal,20,Gallocyanin,2,Chiroptera
582,Rhinolophus cornutus,F,4588,6.4,204,coronal,20,Gallocyanin,2,Chiroptera
583,Rhinolophus eloquens,F,2756,19.6,436,coronal,20,Cresylviolet,3,Chiroptera
584,Rhinolophus eloquens,F,2757,18.5,373,coronal,20,Cresylviolet,3,Chiroptera
585,Rhinolophus hipposideros,M,810,5,135,coronal,10,Cresylviolet,3,Chiroptera
586,Rhinolophus hipposideros,M,819,4.5,,sagittal,10,Cresylviolet Heidenhain-Woelke Gomori Hematoxylin Azan Palmgren,10 incomplete incomplete incomplete incomplete incomplete,Chiroptera
587,Rhinolophus hipposideros,M,821,4.5,,coronal,10,Cresylviolet,3,Chiroptera
588,Rhinolophus landeri,F,2744,9.300000000000001,265,coronal,20,Gallocyanin,2,Chiroptera
589,Rhinolophus landeri,M,2745,10,280,coronal,20,Gallocyanin,2,Chiroptera
590,Rhinolophus landeri,F,2747,9.800000000000001,265,coronal,20,Gallocyanion,2,Chiroptera
591,Rhinolophus lepidus,M,4590,5.7,183,coronal,20,Gallocyanin,2,Chiroptera
592,Rhinolophus lepidus,F,4592,5.8,182,coronal,20,Gallocyanin,2,Chiroptera
593,Rhinolophus lepidus,M,4593,6.1,181,coronal,20,Gallocyanin,2,Chiroptera
594,Rhinolophus luctus,F,2086,36,545,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
595,Rhinolophus luctus,F,2087,33.8,575,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
596,Rhinolophus luctus,M,4861,28.7,742,coronal,20,Gallocaynin,3,Chiroptera
597,Rhinolophus macrotis,M,4601,6,210,coronal,20,Gallocyanin,2,Chiroptera
598,Rhinolophus macrotis,F,4602,6.8,209,coronal,20,Gallocyanin,2,Chiroptera
599,Rhinolophus malayanus,M,4607,6.5,203,coronal,20,Gallocyanin,2,Chiroptera
600,Rhinolophus malayanus,M,4610,6.2,201,coronal,20,Gallocyanin,2,Chiroptera
601,Rhinolophus megaphyllus,M,1870,9.5,252,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
602,Rhinolophus megaphyllus,M,1871,10.75,270,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
603,Rhinolophus megaphyllus ssp.,M,3348,7.6,234,coronal,20,Gallocyanin,2,Chiroptera
604,Rhinolophus megaphyllus ssp.,M,3349,7.4,238,coronal,20,Gallocyanin,2,Chiroptera
605,Rhinolophus megaphyllus ssp.,F,3350,5.9,219,coronal,20,Gallocyanin,2,Chiroptera
606,Rhinolophus paradoxolophus,M,4611,9.300000000000001,267,coronal,20,Gallocyanin,2,Chiroptera
607,Rhinolophus personi,M,4612,10.5,347,coronal,20,Gallocyanin,2,Chiroptera
608,Rhinolophus pusillus,F,4615,5,169,coronal,20,Gallocyanin,2,Chiroptera
609,Rhinolophus pusillus,F,4616,4.5,160,coronal,20,Gallocyanin,2,Chiroptera
610,Rhinolophus pusillus,M,4619,4.6,162,coronal,20,Gallocyanin,2,Chiroptera
611,Rhinolophus trifoliatus,M,2103,12.8,360,coronal,20,Gallocyanin,2,Chiroptera
612,Rhinolophus trifoliatus,M,2104,13.6,310,coronal,20,Gallocyanin,3,Chiroptera
613,Rhinolophus trifoliatus,F,2106,18.9,395,coronal,20,Gallocyanin,2,Chiroptera
614,Rhinolophus yunanensis,M,4641,21.4,428,coronal,20,Gallocyanin,3,Chiroptera
615,Rhinolophus yunanensis,M,4642,25.5,449,coronal,20,Gallocyanin,3,Chiroptera
616,Hipposideros armiger,M,4643,56.7,816,coronal,20,Gallocyanin,3,Chiroptera
617,Hipposideros armiger,M,4645,60.5,809,coronal,20,Gallocyanin,4,Chiroptera
618,Hipposideros armiger,F,4652,57.3,800,coronal,20,Gallocyanin,3,Chiroptera
619,Hipposideros ater saevus,F,4660,4.2,183,coronal,20,Gallocyanin,2,Chiroptera
620,Hipposideros ater saevus,M,4661,4.1,184,coronal,20,Gallocyanin,2,Chiroptera
621,Hipposideros ater saevus,M,4662,4.3,184,coronal,20,Gallocyanin,2,Chiroptera
622,Hipposideros ater,F,1872,8.199999999999999,210,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
623,Hipposideros ater,F,1873,6.8,220,coronal,20,"Gallocyanin, Heidenhain-Woelke",2 4,Chiroptera
624,Hipposideros caffer,F,2760,10.9,314,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
625,Hipposideros caffer,F,2770,11.3,294,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
626,Hipposideros caffer,M,2771,11.8,297,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
627,Hipposideros calcaratus,F,3352,15.5,466,coronal,20,Gallocyanin,3,Chiroptera
628,Hipposideros calcaratus,F,3353,15.3,434,coronal,20,Gallocyanin,3,Chiroptera
629,Hipposideros calcaratus,F,3355,16.8,446,coronal,20,Gallocyanin,3,Chiroptera
630,Hipposideros calcaratus ssp.,F,3357,12.3,385,coronal,20,Gallocyanin,3,Chiroptera
631,Hipposideros calcaratus ssp.,F,3358,13.3,396,coronal,20,Gallocyanin,3,Chiroptera
632,Hipposideros calcaratus ssp.,M,3360,13.4,413,coronal,20,Gallocyanin,3,Chiroptera
633,Hipposideros cineraceus,M,4664,3.8,189,coronal,20,Gallocyanin,2,Chiroptera
634,Hipposideros cineraceus,F,4665,3.2,162,coronal,20,Gallocyanin,2,Chiroptera
635,Hipposideros commersoni,F,2778,71.59999999999999,750,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
636,Hipposideros commersoni,M,2780,115.6,780,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
637,Hipposideros commersoni,M,2781,117,761,coronal,20,Hematoxylin Heidenhain-Woelke,4 8,Chiroptera
638,Hipposideros cupidus,F,3364,10.5,336,coronal,20,Gallocyanin,2,Chiroptera
639,Hipposideros cupidus,F,3365,9.699999999999999,350,coronal,20,Gallocyanin,2,Chiroptera
640,Hipposideros cupidus,F,3367,7.8,319,coronal,20,Gallcyanin,2,Chiroptera
641,Hipposideros diadema,M,2118,49.6,715,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
642,Hipposideros diadema,M,2119,51,830,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
643,Hipposideros diadema,F,2121,44.4,670,coronal,20,Gallocyanin Heidenhain-Woelke,3 6,Chiroptera
644,Hipposideros diadema,F,3378,39.5,692,coronal,20,Gallocyanin,3,Chiroptera
645,Hipposideros fulvus,F,4668,7.6,249,coronal,20,Gallocyanin,2,Chiroptera
646,Hipposideros fulvus,M,4673,6,232,coronal,20,Gallocyanin,2,Chiroptera
647,Hipposideros galeritus ssp.,M,3389,6.7,215,coronal,20,Gallocyanin,2,Chiroptera
648,Hipposideros galeritus ssp.,F,3393,6.6,205,coronal,20,Gallocyanin,2,Chiroptera
649,Hipposideros galeritus ssp.,F,3395,8.699999999999999,218,coronal,20,Gallocyanin,2,Chiroptera
650,Hipposideros halophyllus,F,4677,3.7,150,coronal,20,Gallocyanin,2,Chiroptera
651,Hipposideros halophyllus,F,4678,4.2,153,coronal,20,Gallocyanin,2,Chiroptera
652,Hipposideros lankadiva,M,4680,49.7,738,coronal,20,Gallocyanin,4,Chiroptera
653,Hipposideros lankadiva,F,4685,46.7,725,coronal,20,Gallocyanin,4,Chiroptera
654,Hipposideros lankadiva,F,4687,45.3,735,coronal,20,Gallocyanin,3,Chiroptera
655,Hipposideros larvatus,M,2125,19,425,coronal,20,Gallocyanin,2,Chiroptera
656,Hipposideros larvatus,M,2127,17.2,420,coronal,20,Gallocyanin,3,Chiroptera
657,Hipposideros larvatus,F,2132,20.6,445,coronal,20,Gallocyanin,3,Chiroptera
658,Hipposideros lekaguli,F,4700,30.7,596,sagittal,10,Cell body Merker Cresylviolet,4 4,Chiroptera
659,Hipposideros lekaguli,F,4703,29.1,582,coronal,20,Gallocyanin,3,Chiroptera
660,Hipposideros lekaguli,M,4704,29.2,578,coronal,20,Gallocyanin,3,Chiroptera
661,Hipposideros maggietaylorae,F,3398,24.9,634,coronal,20,Galocyanin,3,Chiroptera
662,Hipposideros muscinus,F,3399,5.4,192,coronal,20,Gallocyanin,2,Chiroptera
663,Hipposideros muscinus,F,3400,5.6,187,coronal,20,Gallocyanin,2,Chiroptera
664,Hipposideros ridleyi,M,2135,9.699999999999999,240,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
665,Hipposideros ridleyi,F,2136,9.9,285,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
666,Hipposideros ridleyi,F,2140,9.800000000000001,280,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
667,Hipposideros speoris,M,4706,12,285,coronal,20,Gallocyanin,3,Chiroptera
668,Hipposideros speoris,F,4710,10.5,283,coronal,20,Gallocyanin,2,Chiroptera
669,Hipposideros turpis,F,4713,32.7,597,coronal,20,Gallocyanin,3,Chiroptera
670,Hipposideros turpis,F,4714,35,602,coronal,20,Gallocyanin,3,Chiroptera
671,Hipposideros turpis,M,4715,30.9,613,coronal,20,Gallocyanin,3,Chiroptera
672,Hipposideros tridens,U,P 106,,,coronal,10,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
673,Hipposideros tridens,F,P 114,14,270,coronal,10,Cresylviolet Heidenhain-Woelke,4 10,Chiroptera
674,Aselliscus stoliczkanus,F,4716,4.8,157,coronal,20,Gallocyanin,2,Chiroptera
675,Aselliscus stoliczkanus,F,4717,4.8,139,coronal,20,Gallocyanin,2,Chiroptera
676,Aselliscus stoliczkanus,F,4718,5.1,155,coronal,20,Gallocyanin,2,Chiroptera
677,Aselliscus tricuspidatus,F,3401,4.6,135,coronal,20,Gallocyanin,2,Chiroptera
678,Aselliscus tricuspidatus,M,3408,4.3,136,coronal,20,Gallocyanin,2,Chiroptera
679,Aselliscus tricuspidatus,M,3409,4.3,133,coronal,20,Gallocyanin,2,Chiroptera
680,Rhinonycteris aurantius,M,2905,9,255,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
681,Rhinonycteris aurantius,M,2906,8.4,238,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
682,Rhinonycteris aurantius,F,2907,8.5,251,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
683,Triaenops persicus,M,2785,13.5,283,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
684,Triaenops persicus,M,2790,14.7,252,coronal,20,Gallocyanin Heidenhain-Woelke,2 4,Chiroptera
685,Triaenops persicus,M,2791,13.2,285,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
686,Noctilio albiventris,F,4127,28.9,614,coronal,20,Cresylviolet,2,Chiroptera
687,Noctilio albiventris,F,4130,28.4,610,coronal,20,Gallocyanin,2,Chiroptera
688,Noctilio albiventris,M,4131,26.1,631,coronal,20,Cresylviolet,2,Chiroptera
689,Noctilio leporinus,U,P 111,,,coronal,10,Cresylviolet Heidenhain-Woelke,5 10,Chiroptera
690,Noctilio leporinus,M,4137,56.8,1152,coronal,20,Gallocyanin,3,Chiroptera
691,Noctilio leporinus,F,4138,51.4,1098,sagittal,10,Cell body Merker Cresylviolet,5 5,Chiroptera
692,Noctilio leporinus,M,4139,71.5,1229,coronal,20,Cresylviolet,3,Chiroptera
693,Noctilio leporinus,F,4141,54.3,1085,coronal,20,Cresylviolet,2,Chiroptera
694,Pteronotus gymnonotus,F,4146,13.7,351,coronal,20,Gallocyanin,2,Chiroptera
695,Pteronotus gymnonotus,M,4149,13.7,345,coronal,20,Gallocyanin,2,Chiroptera
696,Pteronotus gymnonotus,F,4150,13.3,330,coronal,20,Gallocyanin,2,Chiroptera
697,Pteronotus personatus,M,K 259,7.7,240,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
698,Pteronotus personatus,M,K 261,7.6,240,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
699,Pteronotus personatus,M,K 279,7.3,250,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
700,Pteronotus parnelli,M,K 272,19.9,560,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
701,Pteronotus parnelli,M,K 273,17.7,560,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
702,Pteronotus parnelli,M,K 275,17.8,560,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
703,Pteronotus parnelli,F,4164,24.7,521,sagittal,10,Cell body Merker,5,Chiroptera
704,Mormoops megalophylla,F,K 264,16.7,395,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
705,Mormoops megalophylla,F,K 265,15.2,400,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
706,Mormoops megalophylla,F,K 267,14.7,400,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
707,Mormoops megalophylla,M,4168,18.3,369,sagittal,10,Cell body Merker Myelin Gallyas,10 10,Chiroptera
708,Micronycteris megalotis,M,4182,5.9,278,coronal,20,Gallocyanin,2,Chiroptera
709,Micronycteris megalotis,F,4187,6.4,274,coronal,20,Cresylviolet,2,Chiroptera
710,Micronycteris megalotis,F,4188,6.8,279,coronal,20,Gallocyanin,2,Chiroptera
711,Micronycteris minuta,F,4402,6.9,286,coronal,20,Gallocyanin,2,Chiroptera
712,Micronycteris schmidtorum,M,4173,7.6,311,coronal,20,Gallocyanin,2,Chiroptera
713,Micronycteris schmidtorum,F,4175,8.1,303,coronal,20,Gallocyanin,2,Chiroptera
714,Micronycteris schmidtorum,F,4177,8.1,311,coronal,20,Gallocyanin,2,Chiroptera
715,Micronycteris brachyotis,F,4189,14.7,408,coronal,20,Gallocyanin,2,Chiroptera
716,Macrophyllum macrophyllum,M,4190,8.4,320,coronal,20,Gallocyanin,2,Chiroptera
717,Macrophyllum macrophyllum,F,4194,9.4,308,coronal,20,Gallocyanin,2,Chiroptera
718,Macrophyllum macrophyllum,F,4195,9.4,328,coronal,20,Cresylviolet,2,Chiroptera
719,Tonatia bidens,M,4203,26.8,811,coronal,20,Cresylviolet,3,Chiroptera
720,Tonatia bidens,F,4204,30.2,768,coronal,20,Gallocyanin,3,Chiroptera
721,Tonatia bidens,F,4208,31.4,747,coronal,20,Cresylviolet,3,Chiroptera
722,Tonatia schulzi,F,4210,21.3,510,coronal,20,Cresylviolet,3,Chiroptera
723,Tonatia sylvicola,F,4207,32.3,756,coronal,20,Cresylviolet,3,Chiroptera
724,Mimon crenulatum,F,4211,11.6,326,coronal,20,Cresylviolet,2,Chiroptera
725,Mimon crenulatum,M,4212,11.9,325,coronal,20,Gallocyanin,2,Chiroptera
726,Phyllostomus discolor,U,P 102,,,coronal,10,Cresylviolet,5,Chiroptera
727,Phyllostomus discolor,M,K 138,36.5,1100,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
728,Phyllostomus discolor,F,K 254,40.1,1080,coronal,20,Hematoxylin Heidenhain-Woelke,3 6,Chiroptera
729,Phyllostomus discolor,F,K 256,34.7,1060,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
730,Phyllostomus discolor,M,4213,35,1084,coronal,10,Cell body Merker,8,Chiroptera
731,Phyllostomus elongatus,F,4214,46.6,872,coronal,20,Gallocyanin,3,Chiroptera
732,Phyllostomus elongatus,M,4215,47.6,905,coronal,20,Gallocyanin,3,Chiroptera
733,Phyllostomus elongatus,F,4221,45.6,897,coronal,20,Cresylviolet,3,Chiroptera
734,Phyllostomus hastatus,M,K 111,99.90000000000001,1600,coronal,20,Cresylviolet Heidenhain-Woelke,4 8,Chiroptera
735,Phyllostomus hastatus,M,K 122,78.59999999999999,1580,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
736,Phyllostomus hastatus,F,K 132,82.40000000000001,1470,sagittal,20,Cresylviolet Heidenhain-Woelke,5 10,Chiroptera
737,Phyllostomus hastatus,F,K 137,79.7,1570,coronal,20,Cresylviolet Heidenhain-Woelke,3 6,Chiroptera
738,Phylloderma stenops,M,4229,44.6,1314,coronal,20,Cresylviolet,4,Chiroptera
739,Phylloderma stenops,F,4230,47.6,1362,coronal,20,Cresylviolet,4,Chiroptera
740,Trachops cirrhosus,F,4231,34.2,1014,coronal,20,Cresylviolet,3,Chiroptera
741,Trachops cirrhosus,M,4232,39.6,991,coronal,20,Cresylviolet,3,Chiroptera
742,Vampyrum spectrum,M,4233,162,2537,coronal,20,Cresylviolet,5,Chiroptera
743,Vampyrum spectrum,F,4234,184,2637,coronal,20,Cresylviolet,5,Chiroptera
744,Glossophaga longirostris,F,K 236,10.6,400,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
745,Glossophaga soricina,M,K 71,8.800000000000001,400,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
746,Glossophaga soricina,U,P 101,,,coronal,10,Cresylviolet,3,Chiroptera
747,Glossophaga soricina,U,P 105,,,coronal,10,Cresylviolet,3,Chiroptera
748,Glossophaga soricina,F,K 194,8.6,390,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
749,Glossophaga soricina,M,K 238,9.4,420,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
750,Glossophaga soricina,F,2319,10.8,380,coronal,6,Cell body Merker,3,Chiroptera
751,Glossophaga soricina,M,4235,10,396,coronal,10,Cell body Merker,5,Chiroptera
752,Glossophaga soricina,M,4236,9.1,376,sagittal,6,Cresylviolet Cell body Merker,5 5,Chiroptera
753,Glossophaga soricina,M,4240,8.800000000000001,379,coronal,6,Cresylviolet Cell body Merker,8 8,Chiroptera
754,Monophyllus plethodon,M,4241,15.9,452,coronal,20,Gallocyanin,3,Chiroptera
755,Monophyllus plethodon,F,4242,14,438,coronal,20,Gallocyanin,3,Chiroptera
756,Leptonycteris curasoae,M,K 271,24.5,610,coronal,20,Hematoxylin Heidenhain-Woelke,3 6,Chiroptera
757,Leptonycteris nivalis,M,2349,22.8,565,sagittal,10,Cell body Merker,5,Chiroptera
758,Leptonycteris nivalis,M,2372,25.1,630,coronal,20,Gallocyanin,3,Chiroptera
759,Leptonycteris nivalis,M,2373,21.7,560,coronal,20,Gallocyanin,3,Chiroptera
760,Leptonycteris nivalis,M,2375,21.6,590,coronal,20,Gallocyanin,3,Chiroptera
761,Lonchophylla mordax,M,5015,10.7,432,coronal,20,Gallocyanin,3,Chiroptera
762,Lonchophylla thomasi,M,4243,6.9,337,coronal,20,Gallocyanin,2,Chiroptera
763,Lionycteris spurrelli,M,K 67,7.9,360,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
764,Lionycteris spurrelli,F,K 68,8.1,350,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
765,Lionycteris spurrelli,F,K 69,7.9,370,coronal,20,Hematoxylin Heidenhain-Woelke,2 4,Chiroptera
766,Anoura caudifer,F,K 186,10.4,440,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
767,Anoura caudifer,F,4245,10.9,391,coronal,20,Gallocyanin,2,Chiroptera
768,Anoura caudifer,M,4246,10.8,420,coronal,20,Gallocyanin,3,Chiroptera
769,Anoura caudifer,F,4247,9.800000000000001,387,sagittal,10,Cell body Merker Cresylviolet,3 3,Chiroptera
770,Anoura geoffroyi,M,K 27,15.4,620,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
771,Anoura geoffroyi,M,K 218,15.1,550,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
772,Anoura geoffroyi,F,K 299,12.6,590,coronal,20,Cresylviolet Heidenhain-Woelke,2 4,Chiroptera
773,Anoura geoffroyi,F,4251,16.9,596,coronal,10,Cell body Merker Cresylviolet Myelin Gallyas,6 6 6,Chiroptera
