Organism,Genus,Species,Common name,VA,MT,SUBSTRATE,METHOD DETAILS,SECONDARY SOURCE,PRIMARY SOURCE 1,PRIMARY SOURCE 2,SPECIES IN PRIMARY REFERENCE,NOTE,PROCEDURE NOTE
Plecotus auritus,Plecotus,auritus,Brown big-eared bat,1.00,B,,,Veilleaux and Kirk 2014,34,,,,
Pseudorca crassidens,Pseudorca,crossidens,False killer whale ,3.30,A,water,,Kirk and Kay 2004,"Murayama and Somiya, 1998",,,Not included in Veilleaux and Kirk 2014,
Pteropus giganteus,Pteropus,giganteus,Indian flying fox,1.70,B,,,Veilleaux and Kirk 2014,46,,,,
Pteropus poliocephalus,Pteropus,poliocephalus,Gray-headed flying fox ,5.50,A,,,Veilleaux and Kirk 2014,"Pettigrew et al., 1998",,,,
Pteropus scapulatus,Pteropus,scapulatus,Little red flying fox ,4.00,A,,,Veilleaux and Kirk 2014,"Pettigrew et al., 1998",,,,
Rattus norvegicus,Rattus,norvegicus,Pigmented laboratory rat ,1.60,B,,,Veilleaux and Kirk 2014,114,,,,
Rhinolophus rouxii,Rhinolophus,rouxii,Horseshoe bat ,0.40,A,,,Veilleaux and Kirk 2014,"Pettigrew et al., 1998",,,,
Rousettus aegyptiacus,Rousettus,aegyptiacus,Egyptian fruit bat,3.15,A,,ganglion cell density,Heffner et al 1999,Heffner et al 1999,,,From Heffner spreadsheet,
Rousettus madagascariensis,Rousettus,madagascariensis,Madagascan rousette,3.00,A,,,Veilleaux and Kirk 2014,"Pettigrew et al., 1998",,,,
Saccopteryx sp.,,,White-lined bat ,1.00,A,,,Kirk and Kay 2004,"Marks, 1980; cited in Pettigrew et al., 1988",,,Not included in Veilleaux and Kirk 2014,
Saguinus midas,Saguinus,midas,Golden-handed tamarin,24.87,A,,retinal cone cell density ,Veilleaux and Kirk 2014,"Ross and Kirk, 2007",74,,,
Saimiri sciureus,Saimiri,sciureus,Squirrel monkey ,40.50,B,,,Veilleaux and Kirk 2014,83,,,,
Sarcophilus harrisii,Sarcophilus,harrisii,Tasmanian devil,4.75,A,,,Veilleaux and Kirk 2014,"Ross and Kirk, 2007","Tancred, 1981",,,
Sciurus carolinensis,Sciurus,carolinensis,Eastern gray squirrel ,3.90,B,,,Veilleaux and Kirk 2014,115,,,,
