"accepted_name","status","matched_tip","matched_via","candidate_source","family_expected","order_expected","n_auto_candidates","n_review_candidates","note"
"Papio hamadryas","matched_direct","Papio_hamadryas","Papio hamadryas","accepted_name","Cercopithecidae","Primates",1,0,""
"Parascalops breweri","matched_direct","Parascalops_breweri","Parascalops breweri","accepted_name","Talpidae","Eulipotyphla",1,0,""
"Perodicticus potto","matched_direct","Perodicticus_potto","Perodicticus potto","accepted_name","Lorisidae","Primates",1,0,""
"Petrodromus tetradactylus","matched_direct","Petrodromus_tetradactylus","Petrodromus tetradactylus","accepted_name","Macroscelididae","Macroscelidea",1,0,""
"Piliocolobus badius","matched_synonym","Procolobus_badius","Procolobus badius","species_key_variant","Cercopithecidae","Primates",3,0,"same epithet, generic reassignment (Procolobus <-> Piliocolobus)"
"Pithecia monachus","matched_direct","Pithecia_monachus","Pithecia monachus","accepted_name","Pitheciidae","Primates",1,1,""
"Pithecia pithecia","matched_direct","Pithecia_pithecia","Pithecia pithecia","accepted_name","Pitheciidae","Primates",1,0,""
"Pongo pygmaeus","matched_direct","Pongo_pygmaeus","Pongo pygmaeus","accepted_name","Hominidae","Primates",1,0,""
"Pongo sp.","unresolvable_placeholder","","","","Hominidae","Primates",0,0,"genus-level name: no single tip can represent it"
"Potamogale velox","matched_direct","Potamogale_velox","Potamogale velox","accepted_name","Tenrecidae","Afrosoricida",1,0,""
"Potos flavus","matched_direct","Potos_flavus","Potos flavus","accepted_name","Procyonidae","Carnivora",1,0,""
"Procavia capensis","matched_direct","Procavia_capensis","Procavia capensis","accepted_name","Procaviidae","Hyracoidea",1,0,""
"Procyon lotor","matched_direct","Procyon_lotor","Procyon lotor","accepted_name","Procyonidae","Carnivora",1,0,""
"Proechimys guyannensis","matched_direct","Proechimys_guyannensis","Proechimys guyannensis","accepted_name","Echimyidae","Rodentia",1,0,""
"Propithecus verreauxi","matched_direct","Propithecus_verreauxi","Propithecus verreauxi","accepted_name","Indriidae","Primates",1,0,""
"Pygathrix nemaeus","matched_direct","Pygathrix_nemaeus","Pygathrix nemaeus","accepted_name","Cercopithecidae","Primates",1,0,""
"Rattus norvegicus","matched_direct","Rattus_norvegicus","Rattus norvegicus","accepted_name","Muridae","Rodentia",1,1,""
"Rhynchocyon cirnei","matched_direct","Rhynchocyon_cirnei","Rhynchocyon cirnei","accepted_name","Macroscelididae","Macroscelidea",2,0,""
"Rousettus aegyptiacus","matched_direct","Rousettus_aegyptiacus","Rousettus aegyptiacus","accepted_name","Pteropodidae","Chiroptera",1,0,""
"Ruwenzorisorex suncoides","matched_direct","Ruwenzorisorex_suncoides","Ruwenzorisorex suncoides","accepted_name","Soricidae","Eulipotyphla",1,0,""
"Saguinus geoffroyi","matched_direct","Saguinus_geoffroyi","Saguinus geoffroyi","accepted_name","Cebidae","Primates",1,0,""
"Saguinus midas","matched_direct","Saguinus_midas","Saguinus midas","accepted_name","Cebidae","Primates",1,1,""
"Saguinus oedipus","matched_direct","Saguinus_oedipus","Saguinus oedipus","accepted_name","Cebidae","Primates",1,0,""
"Saimiri sciureus","matched_direct","Saimiri_sciureus","Saimiri sciureus","accepted_name","Cebidae","Primates",1,0,""
"Sapajus apella","matched_direct","Sapajus_apella","Sapajus apella","accepted_name","Cebidae","Primates",2,0,""
"Sarcophilus harrisii","matched_direct","Sarcophilus_harrisii","Sarcophilus harrisii","accepted_name","Dasyuridae","Dasyuromorphia",1,0,""
"Scalopus aquaticus","matched_direct","Scalopus_aquaticus","Scalopus aquaticus","accepted_name","Talpidae","Eulipotyphla",1,0,""
"Sciurus carolinensis","matched_direct","Sciurus_carolinensis","Sciurus carolinensis","accepted_name","Sciuridae","Rodentia",1,0,""
"Scotonycteris zenkeri","matched_direct","Scotonycteris_zenkeri","Scotonycteris zenkeri","accepted_name","Pteropodidae","Chiroptera",1,0,""
"scutisorexãsomereni","matched_synonym","Scutisorex_somereni","Scutisorex somereni","mdd_accepted_name","Soricidae","Soricomorpha",2,0,"Mammal Diversity Database name; Upham 2019 tips follow MDD"
"ScutisorexÊsomereni","absent_from_tree","","","","Soricidae","Soricomorpha",1,0,"no candidate spelling occurs in the source tree"
"Semnopithecus entellus","matched_direct","Semnopithecus_entellus","Semnopithecus entellus","accepted_name","Cercopithecidae","Primates",1,0,""
"Setifer setosus","matched_direct","Setifer_setosus","Setifer setosus","accepted_name","Tenrecidae","Afrosoricida",1,0,""
"Solenodon paradoxus","matched_direct","Solenodon_paradoxus","Solenodon paradoxus","accepted_name","Solenodontidae","Eulipotyphla",1,0,""
"Sorex araneus","matched_direct","Sorex_araneus","Sorex araneus","accepted_name","Soricidae","Eulipotyphla",1,0,""
"Sorex cinereus","matched_direct","Sorex_cinereus","Sorex cinereus","accepted_name","Soricidae","Eulipotyphla",1,0,""
"Sorex fumeus","matched_direct","Sorex_fumeus","Sorex fumeus","accepted_name","Soricidae","Eulipotyphla",1,0,""
