genus_species,tip_name,o_min,o_max,o_range,invertebrate,terrestrial
Argyropelecus_aculeatus,Argyropelecus_aculeatus_440129,477,477,0,N,N
Argyropelecus_hemigymnus,Argyropelecus_hemigymnus_540466,478,478,0,N,N
Polyipnus_polli,Polyipnus_polli_796756,483,483,0,N,N
Ichthyococcus_ovatus,Ichthyococcus_ovatus_308164,489,489,0,N,N
Vinciguerria_nimbaria,Vinciguerria_nimbaria_652358,477,478,1,N,N
Stomias_boa,Stomias_boa_690691,489,489,0,N,N
Chauliodus_sloani,Chauliodus_sloani_1061468,485,488,3,N,N
Chirostomias_pliopterus,Chirostomias_pliopterus_821624,487,487,0,N,N
Photostomias_braueri,Borostomias_elucens_821631,483,483,0,N,N
Chlorophthalmus_,Chlorophthalmus_19308,483,483,0,N,N
Evermannella_balbo,Evermannella_balbo_3629298,480,480,0,N,N
Benthosema_suborbitale,Benthosema_suborbitale_785214,487,487,0,N,N
Bolinichthys_indicus,Bolinichthys_indicus_287541,489,489,0,N,N
Ceratoscopelus_warmingii,Ceratoscopelus_warmingii_866187,488,488,0,N,N
Diaphus_dumerilli,Diaphus_dumerilii_747434,485,485,0,N,N
Diaphus_holti,Diaphus_holti_3629454,489,491,2,N,N
Diaphus_rafinesqueii,Diaphus_rafinesquii_928599,490,490,0,N,N
Lampadena_speculigera,Lampadena_speculigera_155842,488,488,0,N,N
Lampanyctus_alatus,Lampanyctus_alatus_1086531,485,485,0,N,N
Lampanyctus_ater,,485,485,0,N,N
Lampanyctus_crocodilus,Lampanyctus_crocodilus_666966,487,487,0,N,N
Lobianchia_gemellarii,Lobianchia_gemellarii_815443,485,485,0,N,N
Notoscopelus_resplendens,Notoscopelus_resplendens_866168,486,486,0,N,N
Radiicephalus_elongatus,Radiicephalus_elongatus_3629585,481,481,0,N,N
Bassozetus_compressus,Bassozetus_compressus_225828,476,476,0,N,N
Porogadus_,Porogadus_3629753,474,474,0,N,N
Echinomacrurus_mollis,Echinomacrurus_mollis_3630919,478,478,0,N,N
Melanonus_zugmayeri,Melanonus_zugmayeri_887841,489,489,0,N,N
Cyttopsis_rosea,Cyttopsis_rosea_331284,478,478,0,N,N
Platyberyx_opalescens,Platyberyx_opalescens_3634817,474,474,0,N,N
Kali_macrodon,Kali_macrodon_3635176,484,484,0,N,N
Bathylagus_bericoides,Melanolagus_bericoides_3642871,464,500,36,N,N
Bathylagus_euryops,Bathylagus_euryops_934363,465,497,32,N,N
Bonapartia_pedaliota,Bonapartia_pedaliota_713651,471,514,43,N,N
Antimora_rostrata,Antimora_rostrata_288358,475,483,8,N,N
Lepidion_eques,Lepidion_eques_821808,476,484,8,N,N
Pundamilia_nyererei,Pundamilia_nyererei_7106,451.2,568.2,117,N,N
Pundamilia_azurea,Pundamilia_azurea_7109,455.3,563.6,108.3,N,N
Pundamilia_,Pundamilia_750942,455.3,566.9,111.6,N,N
Cynops_pyrrhogasater,Cynops_pyrrhogaster_515334,474,474,0,N,N
Conger_conger,Conger_conger_142596,486,487,1,N,Y
Geotria_australis,Geotria_australis_703422,439,615.3,176.3,N,N
Tursiops_truncatus,Tursiops_truncatus_124230,489,524,35,N,N
Upeneus_tragula,Upeneus_tragula_836313,495.7,530,34.3,N,N
Pollachius_pollachius,Pollachius_pollachius_1014047,498,548,50,N,N
Metriaclima_zebra,Maylandia_zebra_677719,368,482,114,N,N
Phalacrocorax_carbo,Phalacrocorax_carbo_969841,504,504,0,N,Y
Astyanax_fasciatus,Astyanax_fasciatus_66525,404,404,0,N,N
Procambarus_clarkii,Procambarus_clarkii_79864,556,575,19,Y,N
Homarus_americanus,Homarus_americanus_28247,515,522.5,7.5,Y,N
Hemigraspus_sanguineus,Hemigrapsus_sanguineus_356749,480,480,0,Y,N
Anguilla_anguilla,Anguilla_anguilla_854201,506.2,506.2,0,N,N
Puffinus_pacificus,Ardenna_pacifica_471653,406,566,160,N,N
Globicephala_melas,Globicephala_melas_124212,488,488,0,N,N
Phoca_vitulina,Phoca_vitulina_698422,501,510.2,9.2,N,N
Phoca_groenlandicus,Phoca_groenlandica_664062,498,498,0,N,N
Trichechus_manatus,Trichechus_manatus_226178,411,556,145,N,N
Mesoplodon_bidens,Mesoplodon_bidens_1003915,484,484,0,N,N
Colias_erate,Colias_erate_83645,352,577,225,Y,Y
Synodus_variegatus,Synodus_variegatus_252111,368,503,135,N,N
Myripristis_berndti,Myripristis_berndti_375898,443,514,71,N,N
Neoniphon_sammara,Neoniphon_sammara_63608,446,512,66,N,N
Sargocentron_xantherythrum,Sargocentron_xantherythrum_63628,447,516,69,N,N
Aulostomus_chinensis,,421,494,73,N,N
Kuhlia_sandvicensis,Kuhlia_sandvicensis_622696,362,518,156,N,N
Apogon_kallopterus,Pristiapogon_kallopterus_833756,441,516,75,N,N
Mulloidichthys_flavolineatus,Mulloidichthys_flavolineatus_234770,366,523,157,N,N
Parupeneus_multifasciatus,Parupeneus_multifasciatus_295485,486,518,32,N,N
Chaetodon_unimaculatus,Chaetodon_unimaculatus_1044089,487,530,43,N,N
Chaetodon_kleinii,Chaetodon_kleinii_955790,496,530,34,N,N
Forcipiger_flavissimus,Forcipiger_flavissimus_403161,488,527,39,N,N
Plectroglyphidodon_johnstonianus,,474,518,44,N,N
Abudefduf_abdominalis,,347,519,172,N,N
Stegastes_fasciolatus,,363,528,165,N,N
Chromis_ovalis,,404,518,114,N,N
Chromis_hanui,,355,514,159,N,N
Chromis_verater,,410,514,104,N,N
Chromis_vanderbilti,,462,522,60,N,N
Dascyllus_albisella,,359,510,151,N,N
Sphyraena_barracuda,,455,531,76,N,N
Bodianus_bilunulatus,Bodianus_bilunulatus_201328,526,545,19,N,N
Asteropteryx_semipunctatus,Asterropteryx_semipunctata_37552,498,538,40,N,N
Zanclus_cornutus,Zanclus_cornutus_199070,447,517,70,N,N
Naso_lituratus,Naso_lituratus_250289,412,521,109,N,N
Naso_unicornis,Naso_unicornis_47509,416,507,91,N,N
Ctenochaetus_strigosus,Ctenochaetus_strigosus_917242,449,548,99,N,N
Zebrasoma_flavescens,Zebrasoma_flavescens_467289,446,519,73,N,N
Zebrasoma_veliferum,Zebrasoma_velifer_3638940,448,523,75,N,N
Acanthurus_triostegus,Acanthurus_triostegus_467300,458,518,60,N,N
Acanthurus_nigroris,Acanthurus_nigroris_467316,439,538,99,N,N
Acanthurus_achilles,Acanthurus_achilles_347408,496,532,36,N,N
Sufflamen_bursa,Sufflamen_bursa_383036,404,503,99,N,N
Canthidermis_maculatus,Canthidermis_maculata_1090846,407,486,79,N,N
Pervagor_aspricaudus,Pervagor_aspricaudus_758997,404,516,112,N,N
Pervagor_spilosoma,Pervagor_spilosoma_366035,398,510,112,N,N
Arothron_meleagris,Arothron_meleagris_143361,439,525,86,N,N
Ostracion_meleagris,Ostracion_meleagris_314508,416,520,104,N,N
Tripedalia_cystophora,Tripedalia_cystophora_983582,467.5,467.5,0,N,N
Propithecus_verreauxi coquereli,Propithecus_coquereli_402626,430,558,128,N,Y
Micrometrus_aurora,,464.8,541.5,76.7,N,N
Cymatogaster_aggregata,,456.1,529,72.9,N,N
Micrometrus_minimus,,469.5,545.9,76.4,N,N
Damalichthys_vacca,,465.8,545,79.2,N,N
Embiotoca_lateralis,,482.5,536.4,53.9,N,N
Brachyistius_frenatus,,530.8,530.8,0,N,N
Hypsurus_caryi,,456.4,531.8,75.4,N,N
Zalembius_rosaceus,,470.1,525.5,55.4,N,N
Petromyzon_marinus,Petromyzon_marinus_227494,501,501,0,N,N
Chlamydera_nuchalis,Chlamydera_nuchalis_202353,403,574.5,171.5,N,Y
Bombus_terrestris,Bombus_terrestris_-species_in_domain_Eukaryota-_161197,346.86,538.23,191.37,Y,Y
Toxotes_chatareus,,453.3,621.7,168.4,N,N
Ptilonorhynchus_violaceus,Ptilonorhynchus_violaceus_187409,410.4,563.7,153.3,N,Y
Ailuroedus_crassirostris,Ailuroedus_crassirostris_776470,504.6,559.8,55.2,N,Y
Sericulus_chrysocephalus,Sericulus_chrysocephalus_107065,506,561.8,55.8,N,Y
Scenopoetes_dentirostris,Scenopoeetes_dentirostris_776465,506.3,557.8,51.5,N,Y
Chlamydera_maculata,Chlamydera_maculata_107081,505.2,505.2,0,N,Y
Dasyatis_kuhlii,Neotrygon_kuhlii_688899,475,551.1,76.1,N,N
Platycercus_elegans,Platycercus_elegans_224308,363,567,204,N,Y
Dolichonyx_oryzivorous,,372.2,564.6,192.4,N,Y
Acanthopagrus_schlegelii,Acanthopagrus_schlegelii_380194,471,563,92,N,N
Acanthopagrus_berda,Acanthopagrus_berda_889379,472,566,94,N,N
Acanthopagrus_major,Acanthopagrus_latus_760733,460,525,65,N,N
Oreochromis_niloticus,Oreochromis_niloticus_288063,359,614.2,255.2,N,N
Gasterosteus_,Gasterosteus_401070,504.3,504.3,0,N,N
Alligator_mississippiensis,Alligator_mississippiensis_335590,500,500,0,N,Y
Ctenomys_magellanicus,Ctenomys_magellanicus_270426,370,510,140,N,Y
Ctenomys_talarum,Ctenomys_talarum_672624,370,510,140,N,Y
Limenitis_weidermeyerii,Limenitis_weidermeyerii_3121270,530,530,0,Y,Y
Euphydryas_chalcedona,Euphydryas_chalcedona_927485,370,370,0,Y,Y
Speyeria_leto,Speyeria_leto_3110787,551,552,1,Y,Y
Heliconius_melpomene,Heliconius_melpomene_896444,557,557,0,Y,Y
Cebus_,Cebus_217260,538,563,25,N,Y
Saguinus_midas,Saguinus_midas_532397,546,546,0,N,Y
Rangifer_tarandus,Rangifer_tarandus_410153,439,439,0,N,Y
Typhlonectes_natans,Typhlonectes_natans_639644,488,488,0,N,N
Orconectes_virilis,Orconectes_virilis_876593,510,562,52,Y,N
Pagothenia_borchgrevinki,Pagothenia_borchgrevinki_781792,488.7,498.5,9.8,N,N
Trematomus_loennbergii,Trematomus_loennbergii_985377,426.4,500,73.6,N,N
Trematomus_hansoni,Trematomus_hansoni_708983,426.4,501,74.6,N,N
Trematomus_bernacchii,Trematomus_bernacchii_985361,416.1,502.3,86.2,N,N
