Species,measure_class,Measure,Team,role,Value
Aotus trivirgatus,research_effort,Zoological_record_article_count,Reader,primary,58
Aotus trivirgatus,hand_morphology,log10_ip2_mm,Baker,primary,0.9571932842523539
Aotus trivirgatus,hand_morphology,log10_ip3_mm,Baker,primary,1.03342375548695
Aotus trivirgatus,hand_morphology,log10_ip4_mm,Baker,primary,1.04342426355766
Aotus trivirgatus,hand_morphology,log10_mc1_mm,Baker,primary,1.07766298919408
Aotus trivirgatus,hand_morphology,log10_mc2_mm,Baker,primary,1.21276002023605
Aotus trivirgatus,hand_morphology,log10_mc3_mm,Baker,primary,1.23044892137827
Aotus trivirgatus,hand_morphology,log10_mc4_mm,Baker,primary,1.22276059369364
Aotus trivirgatus,hand_morphology,log10_mc5_mm,Baker,primary,1.10226355721697
Aotus trivirgatus,hand_morphology,log10_pp1_mm,Baker,primary,1.0097956280686
Aotus trivirgatus,hand_morphology,log10_pp2_mm,Baker,primary,1.149619634858
Aotus trivirgatus,hand_morphology,log10_pp3_mm,Baker,primary,1.19033169817029
Aotus trivirgatus,hand_morphology,log10_pp4_mm,Baker,primary,1.18740746429153
Aotus vociferans,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Aotus vociferans,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Aotus vociferans,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,1
Aotus vociferans,behavioural_flexibility,Innovation_report_count,Reader,primary,1
Aotus vociferans,research_effort,Journal_search_article_count,Reader,primary,2
Aotus vociferans,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Aotus vociferans,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Aotus vociferans,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Aotus vociferans,research_effort,Zoological_record_article_count,Reader,primary,12
Apodemus agrarius,gait,Duty_Factor,Wimberly,primary,74.01000000000001
Apodemus agrarius,gait,Foot_Posture,Wimberly,primary,plantigrade
Apodemus agrarius,gait,Gait,Wimberly,primary,LSDC
Apodemus agrarius,gait,Phase,Wimberly,primary,35.52
Apodemus flavicollis,gait,Duty_Factor,Wimberly,primary,72.51000000000001
Apodemus flavicollis,gait,Foot_Posture,Wimberly,primary,plantigrade
Apodemus flavicollis,gait,Gait,Wimberly,primary,LSDC
Apodemus flavicollis,gait,Phase,Wimberly,primary,28.77
Archaeolemur edwardsi,manipulation,Tool_use,Baker,secondary,0
Archaeolemur edwardsi,hand_morphology,log10_mc1_mm,Baker,primary,1.22010808804006
Archaeolemur edwardsi,hand_morphology,log10_mc2_mm,Baker,primary,1.53360261067211
Archaeolemur edwardsi,hand_morphology,log10_mc3_mm,Baker,primary,1.55347846724629
Archaeolemur edwardsi,hand_morphology,log10_mc4_mm,Baker,primary,1.55730665030574
Archaeolemur edwardsi,hand_morphology,log10_mc5_mm,Baker,primary,1.55910828936663
Archaeolemur majori,manipulation,Tool_use,Baker,secondary,0
Archaeolemur majori,hand_morphology,log10_mc2_mm,Baker,primary,1.5854607295085
Archaeolemur majori,hand_morphology,log10_mc4_mm,Baker,primary,1.52762990087134
