Species,Duty_Factor,Foot_Posture,Gait,Phase,Locomotor_diversity_index,Tool_use,log10_dp3_mm,log10_ip3_mm,log10_mc1_mm,log10_mc2_mm,log10_mc3_mm,log10_mc4_mm,log10_mc5_mm,log10_pp3_mm,log10_pp1_mm,Extractive_foraging_reduced_report_count,Extractive_foraging_report_count,Innovation_reduced_report_count,Innovation_report_count,Social_learning_report_count,Tool_use_reduced_report_count,Tool_use_report_count,Zoological_record_article_count,Journal_search_article_count,log10_dp1_mm,log10_ip2_mm,log10_ip4_mm,log10_pp2_mm,log10_pp4_mm,Arboreal_terrestrial,Intermembral_index,VocalRepertoire,Tool_Manufacture,True_Tool_Use,log10_dp2_mm,peak_workspace,real_size,relative_size,Dexterity,Extractive_foraging,Handedness_index_mean,Handedness_strength_mean,Manipulation_complexity,log10_ip5_mm,log10_pp5_mm,log10_dp4_mm,log10_dp5_mm,CM_connection_inference,CST_termination_grade
Lepilemur dorsalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepilemur edwardsi,NA,NA,NA,NA,1.15243525834186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,A,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepilemur leucopus,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.12057393120585,NA,1.08451669984494,1.11058971029925,NA,0,0,0,0,0,0,0,2,2,NA,NA,0.998695158311656,NA,NA,NA,NA,NA,NA,NA,NA,-1.53760200210104,0.602059991327962,-1.09691001300806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepilemur microdon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepilemur mustelinus,NA,NA,NA,NA,NA,0,NA,0.999130541287371,NA,NA,1.2405492482826,NA,NA,1.2148438480477,NA,0,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepilemur ruficaudatus,NA,NA,NA,NA,NA,0,NA,0.887054378050957,NA,NA,1.0899051114394,NA,NA,1.11727129565576,NA,0,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepilemur septentrionalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptadapis magnus,NA,NA,NA,NA,NA,0,NA,NA,NA,1.44607093570101,1.48862121312943,1.53243586450671,1.45803319249651,1.43616264704076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49596039488171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42045085910607,NA,NA,NA,NA
Leptailurus serval,58.31083859,digitigrade,LSLC,23.49302641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophocebus albigena,NA,NA,NA,NA,1.15397234190199,0,NA,1.30549467731194,1.34056308333337,1.55345822938045,1.57001726564152,1.55108386518578,1.56295866865462,1.45712462630341,NA,0,0,0,0,0,0,0,34,7,NA,NA,NA,NA,NA,A,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophocebus aterrimus,NA,NA,NA,NA,NA,0,NA,1.3174364965351,1.36735592102602,1.52943035436699,1.54381980514266,1.5398285583779,1.58804749698608,1.50188049375506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loris tardigradus,51.88678685,plantigrade,DSDC,55.85018746,1.40106786758068,0,NA,NA,NA,NA,0.894316062684438,NA,0.807341707575163,0.925827574624742,NA,0,0,1,1,0,0,0,14,6,NA,NA,0.758587509600443,NA,NA,A,90,NA,NA,NA,NA,-1.53760200210104,0.462397997898956,-1.04575749056068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loxodonta africana,74,plantigrade,LSLC,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lynx rufus,71,digitigrade,LSLC,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca arctoides,NA,NA,NA,NA,NA,0,NA,NA,NA,1.48401496266756,1.5092025223311,1.47538059314336,NA,NA,NA,0,1,0,1,1,0,1,48,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca assamensis,NA,NA,NA,NA,NA,0,NA,NA,NA,1.55557807277295,1.54592532935584,1.51982799377572,NA,NA,NA,0,0,0,0,0,0,0,17,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca cyclopis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca fascicularis,60.20866946,plantigrade,DSDC,63.07784027,1.23184052217936,1,NA,1.19303179047252,1.24427712080184,1.46336300263226,1.44947430844554,1.43079658987897,1.39317728332193,1.35679046035172,1.05269394192497,0,2,6,7,7,1,3,174,149,0.757396028793024,1.04463197707858,1.17801718009172,1.2670336159891,1.32973677479916,A,93,17,1,1,0.813698699500449,-1.55284196865778,1,-1,NA,1,-0.036,0.6840000000000001,4.11,NA,NA,NA,NA,NA,NA
Macaca fuscata,NA,NA,NA,NA,0.80440397625966,1,NA,NA,1.36735592102602,1.54777470538782,1.5556988947189,1.51798720302508,NA,NA,1.14144977340047,3,16,12,26,45,0,5,253,124,0.939519252618618,NA,1.21879799811174,NA,1.41413736218448,T,NA,34,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca irus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca maura,NA,NA,NA,NA,NA,0,NA,1.26078666865498,1.3883676671573,1.57495677576451,1.58342550040651,1.56359972888153,1.58489634413745,1.48000694295715,1.10720996964787,0,0,0,0,0,0,0,22,8,0.806179973983887,NA,1.20411998265592,NA,1.37839790094814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca mulatta,62.76238395,plantigrade,DSDC,63.03289724,1.02674163828187,1,NA,1.2102314913981,1.33959012683406,1.55894633235553,1.56457271327583,1.55511583827528,1.52128937079521,1.40084186397473,1.09066229185432,1,4,3,5,15,0,2,296,365,0.796376070489843,1.09492270027881,1.19626238378042,1.32305681092499,1.38497505207774,T,93,18,0,1,0.906181063969085,-1.55284196865778,1.05690485133647,-1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca nemestrina,NA,NA,NA,NA,NA,1,NA,1.28209317651458,1.41780372263988,1.60238559010511,1.60086403630984,1.60112058978166,1.5887757562041,1.45089032278975,1.18752072083646,1,2,1,1,3,0,1,51,81,0.884228769632604,NA,1.26892882243261,NA,1.4483197649335,NA,NA,16,0,1,NA,NA,NA,NA,NA,NA,0.035,0.527,NA,NA,NA,NA,NA,NA,NA
Macaca nigra,NA,NA,NA,NA,NA,1,NA,1.29666519026153,1.39451004981789,1.580468783951,1.56241183294973,1.54195347445824,1.58927922123597,1.46568021159828,1.15228834438306,0,1,0,0,0,0,1,27,15,0.869231719730976,NA,1.23552844690755,NA,1.41329976408125,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca ochreata,NA,NA,NA,NA,NA,0,NA,NA,NA,1.58058287681437,1.56264967221192,NA,NA,NA,NA,0,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca radiata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,0,0,1,34,25,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca silenus,NA,NA,NA,NA,NA,1,NA,NA,1.33545790068938,NA,NA,1.52955867302116,NA,NA,1.11226976841727,0,1,0,1,1,0,1,48,21,0.812913356642856,NA,1.26481782300954,NA,1.42488163663107,NA,NA,15,1,1,NA,NA,NA,NA,NA,NA,-0.051,0.467,NA,NA,NA,NA,NA,NA,NA
Macaca sinica,NA,NA,NA,NA,NA,0,NA,NA,1.34044411484012,NA,NA,1.50242711998443,NA,NA,1.04532297878666,0,0,0,0,0,0,0,12,3,0.755874855672491,NA,1.22788670461367,NA,1.38738982633873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca sylvanus,NA,NA,NA,NA,NA,0,NA,NA,1.44922119190599,1.58591171031943,1.60010125569139,1.5856862784525,NA,NA,1.20502382165417,1,1,0,0,0,0,0,67,38,0.8731267636145,NA,1.31104711642151,NA,1.46736141743051,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,1,-0.025,0.67,3.76,NA,NA,NA,NA,NA,NA
Macaca thibetana,NA,NA,NA,NA,NA,0,NA,NA,1.33679316532894,1.57588031568065,1.57042617835897,1.56976393611805,1.55071742346928,NA,NA,0,0,0,0,1,0,0,42,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca tonkeana,NA,NA,NA,NA,NA,0,NA,NA,NA,1.60465797204787,1.60195140413352,NA,NA,NA,NA,0,2,0,1,2,0,2,26,21,NA,NA,NA,NA,NA,NA,NA,20,0,1,NA,NA,NA,NA,NA,0,-0.057,0.543,3,NA,NA,NA,NA,NA,NA
Mandrillus leucophaeus,NA,NA,NA,NA,NA,1,NA,1.36436335461573,1.54011039494813,1.72892164637286,1.73423960443546,1.71583627516499,1.7260476681558,1.54402668100133,1.24551266781415,0,0,0,0,0,0,0,18,3,0.944482672150169,NA,1.25285303097989,NA,1.44247976906445,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mandrillus sphinx,63.9957265,plantigrade,DSDC,56.08974,NA,0,NA,1.35633186001142,1.52706448422355,1.70346334188329,1.70397882500839,1.68336228286028,1.7257037861643,1.52986648319192,1.23426412437879,0,0,0,0,3,0,0,30,4,0.989004615698537,NA,1.27415784926368,NA,1.47055748521727,NA,NA,10,0,1,NA,NA,NA,NA,NA,0,0.034,0.389,2.21,NA,NA,NA,NA,NA,NA
Manis pentadactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mellivora capensis,62.05,plantigrade,LSDC,26.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mephitis mephitis,74.17,digitigrade,LSLC,25.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesocricetus auratus,70,plantigrade,LSDC,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesopithecus pentelicus,NA,NA,NA,NA,NA,0,NA,NA,1.25927524755698,1.48925516836926,1.51054501020661,1.48036630953281,1.43695733066945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcebus coquereli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcebus murinus,NA,NA,NA,NA,1.37713994283633,0,NA,NA,NA,NA,0.738780558484369,NA,0.619946654847815,0.702430536445525,NA,0,0,0,0,0,0,0,66,44,NA,NA,0.608526033577194,NA,NA,A,72,NA,NA,NA,NA,-1.56863623584101,0.301029995663981,-1.04575749056068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcebus myoxinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcebus ravelobensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcebus rufus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcolobus tugenensis,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1.48287358360875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromys minutus,65.63,plantigrade,LSDC,34.05,1.36527966118353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microsciurus flaviventer,NA,NA,NA,NA,1.39151305970536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microsorex hoyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miopithecus talapoin,NA,NA,NA,NA,NA,0,NA,1.00913206954047,1.05403821068487,1.24328614608345,1.23552844690755,NA,1.20803804935318,1.17890503828035,NA,0,0,0,0,0,0,0,4,2,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mirza coquereli,NA,NA,NA,NA,1.55871076469281,0,NA,0.75966784468963,NA,NA,1.02118929906994,NA,NA,0.987219229908005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monodelphis domestica,68.60473333,plantigrade,LSDC,46.31073333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moschiola meminna,68.17528736,unguligrade,LSLC,20.76149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moschus leucogaster,72.02,unguligrade,LSDC,30.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mungos mungo,60,digitigrade,LSLC,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muntiacus muntjak,67.63833992000001,unguligrade,LSLC,23.41897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mus musculus,86,plantigrade,LSDC,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muscardinus avellanarius,64.25,plantigrade,LSDC,36.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela putorius furo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myocastor coypus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myodes glareolus,68.34999999999999,plantigrade,LSLC,25.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myotis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myrmecobius fasciatus,55,digitigrade,LSDC,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myrmecophaga jubata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myrmecophaga tridactyla,70,plantigrade,LSDC,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mystacina tuberculata,60.77757143,NA,LSDC,40.67614286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nandinia binotata,58.93,NA,LSLC,21.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nanger granti,67.38351254,unguligrade,LSLC,21.0492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nannodectes gidleyi,NA,NA,NA,NA,NA,0,NA,NA,0.840106094456758,NA,1.07990446766672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nannodectes intermedius,NA,NA,NA,NA,NA,0,0.717670503002262,0.81690383937566,0.8221680793680179,NA,1.06107532362979,NA,0.939519252618618,0.889861721258188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nasalis concolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nasalis larvatus,NA,NA,NA,NA,NA,0,NA,1.44538622303216,1.46202344463563,1.68824179597771,1.68506962939115,1.69964504863165,1.67369935497777,1.61240235746753,1.22115332195471,0,0,0,0,0,0,0,17,11,0.90687353472207,NA,1.45359628852494,NA,1.61345740540317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nasua nasua,70.51411278,plantigrade,LSLC,22.5366778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nomascus concolor,NA,NA,NA,NA,NA,0,NA,1.5532760461371,1.55493312076001,NA,NA,1.74723049029375,1.70225816316209,1.66984354227009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nomascus gabriellae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.173,0.618,NA,NA,NA,NA,NA,NA,NA
Nomascus leucogenys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,-0.031,0.555,NA,NA,NA,NA,NA,NA,NA
Nomascus nasutus,NA,NA,NA,NA,1.12300989482099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notharctus tenebrosus,NA,NA,NA,NA,NA,0,0.972202838379065,NA,1.09621458534641,1.22141423784234,1.37657695705651,1.33081946649584,1.28012289630231,1.44185217577329,1.2145789535705,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.953276336667304,1.20628604441243,NA,1.37984917876283,1.45499721730946,NA,NA,NA,NA,NA,0.910624404889201,NA,NA,NA,NA,NA,NA,NA,NA,1.14426277376199,1.40602894496362,1.01870049866624,0.952308009662125,NA,NA
Nycticebus coucang,NA,NA,NA,NA,1.49154515081169,0,NA,NA,NA,NA,1.07554696139253,NA,1.02448566769917,1.10380372095596,NA,0,0,0,0,0,0,0,37,7,NA,NA,0.949947330406868,NA,NA,A,88,NA,NA,NA,NA,-1.52287874528034,0.602059991327962,-1.04575749056068,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nycticebus pygmaeus,53.51858708,plantigrade,DSDC,55.66518816,NA,0,NA,0.830588668685144,NA,NA,0.998259338423699,NA,NA,1.05690485133647,NA,0,0,0,0,0,0,0,19,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odocoileus virginianus,69,unguligrade,LSDC,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
