"Species","resolution_status","merge_eligible","in_current_volume_merge"
"Pteropus temminckii","NCBI_exact",TRUE,FALSE
"Pteropus tonganus","NCBI_exact",TRUE,FALSE
"Pteropus vampyrus","NCBI_exact",TRUE,FALSE
"Rhinolophus cornutus","NCBI_exact",TRUE,FALSE
"Rhinolophus eloquens","NCBI_exact",TRUE,FALSE
"Rhinolophus hipposideros","NCBI_exact",TRUE,FALSE
"Rhinolophus landeri","NCBI_exact",TRUE,FALSE
"Rhinolophus lepidus","NCBI_exact",TRUE,FALSE
"Rhinolophus luctus","NCBI_exact",TRUE,FALSE
"Rhinolophus macrotis","NCBI_exact",TRUE,FALSE
"Rhinolophus malayanus","NCBI_exact",TRUE,FALSE
"Rhinolophus megaphyllus","NCBI_exact",TRUE,FALSE
"Rhinolophus paradoxolophus","NCBI_exact",TRUE,FALSE
"Rhinolophus pearsonii","NCBI_exact",TRUE,FALSE
"Rhinolophus pusillus","NCBI_exact",TRUE,FALSE
"Rhinolophus trifoliatus","NCBI_exact",TRUE,FALSE
"Rhinolophus yunanensis","GBIF_frozen_legacy_map",TRUE,FALSE
"Rhinonicteris aurantia","NCBI_exact",TRUE,FALSE
"Rhinophylla pumilio","NCBI_exact",TRUE,FALSE
"Rhinopoma hardwickii","GBIF_frozen_legacy_map",TRUE,FALSE
"Rhinopoma microphyllum","NCBI_exact",TRUE,FALSE
"Rhogeessa parvula","NCBI_exact",TRUE,FALSE
"Rhynchonycteris naso","NCBI_exact",TRUE,FALSE
"Rousettus aegyptiacus","NCBI_exact",TRUE,FALSE
"Rousettus amplexicaudatus","NCBI_exact",TRUE,FALSE
"Saccolaimus saccolaimus","NCBI_exact",TRUE,FALSE
"Saccopteryx bilineata","NCBI_exact",TRUE,FALSE
"Saccopteryx canescens","NCBI_exact",TRUE,FALSE
"Saccopteryx leptura","NCBI_exact",TRUE,FALSE
"Scotomanes ornatus","NCBI_exact",TRUE,FALSE
"Scotomanes sp.","MANUAL_REVIEW",FALSE,FALSE
"Scotonycteris zenkeri","NCBI_exact",TRUE,FALSE
"Scotophilus dinganii","GBIF_frozen_legacy_map",TRUE,FALSE
"Scotophilus heathii","NCBI_exact",TRUE,FALSE
"Scotophilus kuhlii","GBIF_frozen_legacy_map",TRUE,FALSE
"Scotorepens sanborni","GBIF_frozen_legacy_map",TRUE,FALSE
"Scotozous dormeri","NCBI_exact",TRUE,FALSE
"Sphaerias blanfordi","NCBI_exact",TRUE,FALSE
"Sphaeronycteris toxophyllum","NCBI_exact",TRUE,FALSE
"Sturnira lilium","NCBI_exact",TRUE,FALSE
"Sturnira ludovici","NCBI_exact",TRUE,FALSE
"Sturnira tildae","NCBI_exact",TRUE,FALSE
"Syconycteris australis","NCBI_exact",TRUE,FALSE
"Tadarida aegyptiaca","NCBI_exact",TRUE,FALSE
"Tadarida beccarii","MANUAL_REVIEW",FALSE,FALSE
"Taphozous australis","NCBI_exact",TRUE,FALSE
"Taphozous hildegardeae","NCBI_exact",TRUE,FALSE
"Taphozous mauritianus","NCBI_exact",TRUE,FALSE
"Taphozous melanopogon","NCBI_exact",TRUE,FALSE
"Taphozous theobaldi","NCBI_exact",TRUE,FALSE
"Tonatia bidens","NCBI_exact",TRUE,FALSE
"Trachops cirrhosus","NCBI_exact",TRUE,FALSE
"Triaenops persicus","NCBI_exact",TRUE,FALSE
"Tylonycteris pachypus","NCBI_exact",TRUE,FALSE
"Tylonycteris robustula","NCBI_exact",TRUE,FALSE
"Uroderma bilobatum","NCBI_exact",TRUE,FALSE
"Vampyressa pusilla","NCBI_exact",TRUE,FALSE
"Vampyrodes caraccioli","GBIF_frozen_legacy_map",TRUE,FALSE
"Vampyrum spectrum","NCBI_exact",TRUE,FALSE
"Vespadelus pumilus","NCBI_exact",TRUE,FALSE
