Genus;Species;Location;Subject;Sex;Age;#insertions;Notes on insertions;#bouts;HI;AbsHI;z-score;Category;References;General notes;Clade
Ateles;hybridus;Erfurt;Inka;f;adult;36;NA;6;1;1;6;right;this study;;Platyrrhini
Ateles;hybridus;Frankfurt;Speedy;f;adult;51;NA;30;1;1;7.141428429;right;this study;;Platyrrhini
Ateles;hybridus;Frankfurt;Shakira;f;adult;47;NA;14;-1;1;-6.8556546;left;this study;;Platyrrhini
Ateles;hybridus;Frankfurt;Zac;m;adult;32;NA;9;-0.625;0.63;-3.535533906;left;this study;;Platyrrhini
Ateles;hybridus;Frankfurt;Ocana;f;adult;48;NA;19;1;1;6.92820323;right;this study;;Platyrrhini
Ateles;hybridus;Frankfurt;Benico;m;juvenile;53;NA;24;-1;1;-7.280109889;left;this study;;Platyrrhini
Ateles;hybridus;Stuttgart;Siesta;f;adult;60;NA;26;-1;1;-7.745966692;left;this study;;Platyrrhini
Ateles;hybridus;Stuttgart;Beppo;m;adult;30;NA;24;-0.933;0.93;-5.112077203;left;this study;;Platyrrhini
Ateles;hybridus;Stuttgart;Fudge;f;adult;55;NA;48;-0.818;0.82;-6.067798762;left;this study;;Platyrrhini
Ateles;hybridus;Neuwied;Ivo;m;adult;42;NA;8;0.857;0.86;5.554920599;right;this study;;Platyrrhini
Ateles;hybridus;Neuwied;Oro;m;adult;38;NA;11;-1;1;-6.164414003;left;this study;;Platyrrhini
Ateles;hybridus;Neuwied;Sola;m;adult;97;NA;8;1;1;9.848857802;right;this study;;Platyrrhini
Cercocebus;torquatus;Université de Rennes, Paimpont;Chipse;f;adult;NA;NA;64;0.97;0.97;NA;right;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Julie;f;adult;NA;NA;30;-0.67;0.67;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Bell;f;adult;NA;NA;67;0.19;0.19;NA;ambipreferent;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Joly;f;adult;NA;NA;38;1;1;NA;right;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Goffrette;f;adult;NA;NA;31;1;1;NA;right;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Chipie;f;adult;NA;NA;64;-0.25;0.25;NA;ambipreferent;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Carillon;m;adult;NA;NA;32;-0.75;0.75;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Isba;m;adult;NA;NA;50;0.28;0.28;NA;ambipreferent;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Marti;m;adult;NA;NA;57;0.02;0.02;NA;ambipreferent;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Filou;m;adult;NA;NA;74;-0.35;0.35;NA;left;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Pirate;m;adult;NA;NA;87;0.08;0.08;NA;ambipreferent;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Bandit;m;adult;NA;NA;54;0.81;0.81;NA;right;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Université de Rennes, Paimpont;Rapide;m;adult;NA;NA;69;-0.01;0.01;NA;ambipreferent;Maille et al. 2013;"Data refer to ""bimanual tube task""";Cercopithecoidea
Cercocebus;torquatus;Apeldoorn;Buta;m;adult;38;NA;21;1;1;6.164414003;right;this study;;Cercopithecoidea
Cercocebus;torquatus;Apeldoorn;Michelle;f;adult;63;NA;42;0.841;0.84;6.677372356;right;this study;;Cercopithecoidea
Cercocebus;torquatus;Apeldoorn;Morris;f;adult;38;NA;24;-1;1;-6.164414003;left;this study;;Cercopithecoidea
Cercocebus;torquatus;Apeldoorn;Matilda;f;adult;30;NA;18;0.467;0.47;2.556038602;right;this study;;Cercopithecoidea
Cercocebus;torquatus;Münster;Günther;m;adult;41;NA;13;-1;1;-6.403124237;left;this study;;Cercopithecoidea
Cercocebus;torquatus;Münster;Gustav;m;juvenile;38;NA;16;0.474;0.47;2.91998558;right;this study;;Cercopithecoidea
Cercocebus;torquatus;Münster;Gerd;m;juvenile;34;NA;13;-0.824;0.82;-4.801960384;left;this study;;Cercopithecoidea
Cercocebus;torquatus;Münster;Muvo;m;adult;34;NA;15;-1;1;-5.830951895;left;this study;;Cercopithecoidea
Cercocebus;torquatus;Münster;Clark;m;adult;44;NA;9;-0.773;0.77;-5.125692858;left;this study;;Cercopithecoidea
Cercocebus;torquatus;Münster;Rolanda;f;adult;37;NA;13;0.568;0.57;3.452378733;right;this study;;Cercopithecoidea
Cercocebus;torquatus;Münster;Luala;f;adult;38;NA;15;-0.895;0.89;-5.515528318;left;this study;;Cercopithecoidea
Cercocebus;torquatus;Münster;Solei;f;adult;75;NA;8;-1;1;-8.660254038;left;this study;;Cercopithecoidea
Cercocebus;torquatus;Karlsruhe;Kano;f;adult;48;NA;17;-0.667;0.67;-4.618802154;left;this study;;Cercopithecoidea
Cercocebus;torquatus;Karlsruhe;Alf;m;adult;49;NA;19;1;1;7;right;this study;;Cercopithecoidea
Cercocebus;torquatus;Karlsruhe;Elani;f;juvenile;30;NA;21;0.2;0.2;1.095445115;ambipreferent;this study;;Cercopithecoidea
Cercocebus;torquatus;Berlin (Tierpark);Valerius;m;adult;91;NA;47;0.956;0.96;9.120078079;right;this study;;Cercopithecoidea
