Species,measure_class,Measure,Units,Value,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,sex_scope,value_min,value_max
Hapalemur alaotrensis,endocranial_volume,Endocranial_volume,mL,13.8,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,13.8,14.5
Hapalemur griseus,endocranial_volume,Endocranial_volume,mL,14.09,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,13.775,14.09
Hapalemur occidentalis,endocranial_volume,Endocranial_volume,mL,14.2,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,13.75,14.2
Hemibelideus lemuroides,endocranial_volume,Endocranial_volume,mL,3.35,1,1,0,False,Seymour,secondary,unknown,3.35,3.35
Homo sapiens,endocranial_volume,Endocranial_volume,mL,1186.0,1,1,0,False,Seymour,secondary,unknown,1186.0,1186.0
Homo sapiens,endocranial_volume,Endocranial_volume_female,mL,1253.3,2,2,1,True,Caspar; Heldstab,primary; secondary,female,1212.7,1253.3
Hoolock hoolock,endocranial_volume,Endocranial_volume,mL,108.316,1,1,0,False,Powell,secondary,both,108.316,108.316
Hylobates agilis,endocranial_volume,Endocranial_volume,mL,91.16,3,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,91.16,115.0
Hylobates albibarbis,endocranial_volume,Endocranial_volume,mL,84.35,1,1,0,False,Powell,secondary,both,84.35,84.35
Hylobates klossii,endocranial_volume,Endocranial_volume,mL,87.99,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,87.553,87.99
Hylobates lar,endocranial_volume,Endocranial_volume,mL,102.353,5,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,101.378,103.32
Hylobates moloch,endocranial_volume,Endocranial_volume,mL,93.469,1,1,0,False,Powell,secondary,both,93.469,93.469
Hylobates muelleri,endocranial_volume,Endocranial_volume,mL,85.13,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,85.13,95.357
Hylobates pileatus,endocranial_volume,Endocranial_volume,mL,84.69,1,1,1,True,Isler,primary,unknown,84.69,84.69
Hylobates syndactylus,endocranial_volume,Endocranial_volume,mL,120.0,1,1,0,False,Seymour,secondary,unknown,120.0,120.0
Indri indri,endocranial_volume,Endocranial_volume,mL,34.81,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,34.81,35.009
Lagothrix cana,endocranial_volume,Endocranial_volume,mL,99.34,1,1,1,True,Isler,primary,unknown,99.34,99.34
Lagothrix cana,endocranial_volume,Endocranial_volume_female,mL,96.228,1,1,0,False,Powell,secondary,female,96.228,96.228
Lagothrix lagothricha,endocranial_volume,Endocranial_volume,mL,96.5,2,2,1,True,Isler; Seymour,primary; secondary,unknown,96.5,110.0
Lagothrix lagothricha,endocranial_volume,Endocranial_volume_female,mL,88.218,1,1,0,False,Powell,secondary,female,88.218,88.218
Lagothrix lugens,endocranial_volume,Endocranial_volume_female,mL,94.8,1,1,0,False,Powell,secondary,female,94.8,94.8
Lagothrix poeppigii,endocranial_volume,Endocranial_volume_female,mL,86.1,1,1,0,False,Powell,secondary,female,86.1,86.1
Lasiorhinus latifrons,endocranial_volume,Endocranial_volume,mL,56.0,1,1,0,False,Seymour,secondary,unknown,56.0,56.0
Lemur catta,endocranial_volume,Endocranial_volume,mL,22.9,3,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,22.102,23.0
Leontopithecus chrysomelas,endocranial_volume,Endocranial_volume,mL,11.84,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,11.836,11.84
Leontopithecus chrysopygus,endocranial_volume,Endocranial_volume_female,mL,13.04,1,1,1,True,Caspar,primary,female,13.04,13.04
Leontopithecus rosalia,endocranial_volume,Endocranial_volume,mL,12.83,3,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,12.0,12.83
Leontopithecus rosalia,endocranial_volume,Endocranial_volume_female,mL,13.04,1,1,1,True,Caspar,primary,female,13.04,13.04
Lepilemur dorsalis,endocranial_volume,Endocranial_volume,mL,6.7,1,1,1,True,Isler,primary,unknown,6.7,6.7
Lepilemur edwardsi,endocranial_volume,Endocranial_volume,mL,7.25,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,7.25,7.25
Lepilemur leucopus,endocranial_volume,Endocranial_volume,mL,6.87,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,6.711,6.87
Lepilemur microdon,endocranial_volume,Endocranial_volume,mL,9.75,1,1,1,True,Isler,primary,unknown,9.75,9.75
Lepilemur mustelinus,endocranial_volume,Endocranial_volume,mL,9.56,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,7.906,9.56
Lepilemur ruficaudatus,endocranial_volume,Endocranial_volume,mL,8.25,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,7.573,8.25
Lophocebus albigena,endocranial_volume,Endocranial_volume,mL,93.09,3,2,1,True,Isler; Seymour,primary; secondary,unknown,92.21,98.0
Lophocebus albigena,endocranial_volume,Endocranial_volume_female,mL,90.643,1,1,0,False,Powell,secondary,female,90.643,90.643
Lophocebus aterrimus,endocranial_volume,Endocranial_volume,mL,101.59,1,1,1,True,Isler,primary,unknown,101.59,101.59
Lophocebus aterrimus,endocranial_volume,Endocranial_volume_female,mL,87.601,1,1,0,False,Powell,secondary,female,87.601,87.601
Loris lydekkerianus,endocranial_volume,Endocranial_volume,mL,6.34,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,6.34,6.365
Loris tardigradus,endocranial_volume,Endocranial_volume,mL,5.87,3,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,4.0,5.87
Macaca arctoides,endocranial_volume,Endocranial_volume,mL,100.7,1,1,1,True,Isler,primary,unknown,100.7,100.7
Macaca assamensis,endocranial_volume,Endocranial_volume,mL,90.46,1,1,1,True,Isler,primary,unknown,90.46,90.46
