Species,Species_printed,Measure,Units,Value,Source,first_author,Year,Team,role,source_of_value,upstream_team,reprint_of,sex_scope
Hylobates pileatus,Hylobates_pileatus,Endocranial_volume,mL,84.6851851851852,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,both
Hylobates syndactylus,Hylobates syndactylus,Endocranial_volume,mL,120.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Indri indri,Indri indri,Endocranial_volume,mL,34.81,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Indri indri,Indri_indri,Endocranial_volume,mL,35.0086457446808,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Lagothrix cana,Lagothrix cana,Endocranial_volume,mL,99.34,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Lagothrix cana,Lagothrix_cana,Endocranial_volume,mL,96.227615,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Lagothrix lagothricha,Lagothrix lagotricha,Endocranial_volume,mL,96.5,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Hershkovitz 1970,,,unknown
Lagothrix lagothricha,Lagothrix_lagotricha,Endocranial_volume,mL,88.2181818181818,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Lagothrix lagothricha,Lagothrix lagotricha,Endocranial_volume,mL,110.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Lagothrix lugens,Lagothrix_lugens,Endocranial_volume,mL,94.8,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Lagothrix poeppigii,Lagothrix_poeppigii,Endocranial_volume,mL,86.1,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Lasiorhinus latifrons,Lasiorhinus latifrons,Endocranial_volume,mL,56.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Lemur catta,Lemur catta,Endocranial_volume,mL,23.4,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Lemur catta,Lemur catta,Endocranial_volume,mL,22.9,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Lemur catta,Lemur_catta,Endocranial_volume,mL,22.1015616666667,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Lemur catta,Lemur catta,Endocranial_volume,mL,23.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Leontopithecus chrysomelas,Leontopithecus chrysomelas,Endocranial_volume,mL,11.836,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Leontopithecus chrysomelas,Leontopithecus chrysomelas,Endocranial_volume,mL,11.8,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Leontopithecus chrysomelas,Leontopithecus chrysomelas,Endocranial_volume,mL,11.84,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Leontopithecus chrysomelas,Leontopithecus_chrysomelas,Endocranial_volume,mL,11.8357707538939,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Leontopithecus chrysopygus,Leontopithecus chrysopygus,Endocranial_volume,mL,13.04,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Kirk, E. C. (2006). Visual influences on primate encephalization. Journal of Human Evolution, 51(1), 76-90.",,,female
Leontopithecus rosalia,Leontopithecus rosalia,Endocranial_volume,mL,13.04,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Kirk, E. C. (2006). Visual influences on primate encephalization. Journal of Human Evolution, 51(1), 76-90.",,,female
Leontopithecus rosalia,Leontopithecus rosalia,Endocranial_volume,mL,12.6,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Leontopithecus rosalia,Leontopithecus rosalia,Endocranial_volume,mL,12.83,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Leontopithecus rosalia,Leontopithecus_rosalia,Endocranial_volume,mL,12.6044863258894,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Leontopithecus rosalia,Leontopithecus rosalia,Endocranial_volume,mL,12.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Lepilemur dorsalis,Lepilemur dorsalis,Endocranial_volume,mL,6.7,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Lepilemur edwardsi,Lepilemur edwardsi,Endocranial_volume,mL,7.25,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Lepilemur edwardsi,Lepilemur_edwardsi,Endocranial_volume,mL,7.25,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Lepilemur leucopus,Lepilemur leucopus,Endocranial_volume,mL,6.87,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Lepilemur leucopus,Lepilemur_leucopus,Endocranial_volume,mL,6.71081666666667,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Lepilemur microdon,Lepilemur microdon,Endocranial_volume,mL,9.75,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Lepilemur mustelinus,Lepilemur mustelinus,Endocranial_volume,mL,9.56,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Lepilemur mustelinus,Lepilemur_mustelinus,Endocranial_volume,mL,7.90625,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Lepilemur ruficaudatus,Lepilemur ruficaudatus,Endocranial_volume,mL,8.25,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Lepilemur ruficaudatus,Lepilemur_ruficaudatus,Endocranial_volume,mL,7.57333333333333,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Lophocebus albigena,Lophocebus albigena,Endocranial_volume,mL,93.97,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Lophocebus albigena,Lophocebus albigena,Endocranial_volume,mL,92.21,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Lophocebus albigena,Lophocebus_albigena,Endocranial_volume,mL,90.6426757158101,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Lophocebus albigena,Lophocebus albigena,Endocranial_volume,mL,98.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Lophocebus aterrimus,Lophocebus aterrimus,Endocranial_volume,mL,101.59,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Lophocebus aterrimus,Lophocebus_aterrimus,Endocranial_volume,mL,87.600676,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Loris lydekkerianus,Loris lydekkerianus,Endocranial_volume,mL,6.34,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Loris lydekkerianus,Loris_lydekkerianus,Endocranial_volume,mL,6.36504723258506,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Loris tardigradus,Loris tardigradus,Endocranial_volume,mL,5.87,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Loris tardigradus,Loris_tardigradus,Endocranial_volume,mL,5.383692,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Loris tardigradus,Loris tardigradus,Endocranial_volume,mL,4.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Macaca arctoides,Macaca arctoides,Endocranial_volume,mL,100.7,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Bronson 1981 (fresh brain mass),,,unknown
Macaca arctoides,Macaca_arctoides,Endocranial_volume,mL,99.5093531048971,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Macaca assamensis,Macaca assamensis,Endocranial_volume,mL,90.46,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca assamensis,Macaca_assamensis,Endocranial_volume,mL,89.0996045930404,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca cyclopis,Macaca cyclopis,Endocranial_volume,mL,82.0,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca cyclopis,Macaca_cyclopis,Endocranial_volume,mL,76.1,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca fascicularis,Macaca fascicularis,Endocranial_volume,mL,60.934,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Macaca fascicularis,Macaca fascicularis,Endocranial_volume,mL,61.0,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Macaca fascicularis,Macaca fascicularis,Endocranial_volume,mL,63.98,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca fascicularis,Macaca fascicularis,Endocranial_volume,mL,73.5,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca fascicularis,Macaca fascicularis,Endocranial_volume,mL,62.06,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca fascicularis,Macaca fascicularis,Endocranial_volume,mL,65.77,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca fascicularis,Macaca fascicularis,Endocranial_volume,mL,69.53,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca fascicularis,Macaca_fascicularis,Endocranial_volume,mL,60.933949232039,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca fascicularis,Macaca fascicularis,Endocranial_volume,mL,53.8,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Macaca fuscata,Macaca fuscata,Endocranial_volume,mL,102.92,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Ikeda and Watanabe 1966,,,unknown
Macaca fuscata,Macaca_fuscata,Endocranial_volume,mL,97.9,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Macaca hecki,Macaca_hecki,Endocranial_volume,mL,94.58,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca leonina,Macaca leonina,Endocranial_volume,mL,85.6,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca leonina,Macaca_leonina,Endocranial_volume,mL,82.1245876742054,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Macaca maura,Macaca_maura,Endocranial_volume,mL,87.3666666666667,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca maura,Macaca maura,Endocranial_volume,mL,105.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Macaca mulatta,Macaca mulatta,Endocranial_volume,mL,88.98,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca mulatta,Macaca mulatta,Endocranial_volume,mL,83.18,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca mulatta,Macaca mulatta,Endocranial_volume,mL,93.5,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca mulatta,Macaca_mulatta,Endocranial_volume,mL,84.1717842844468,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Macaca mulatta,Macaca mulatta,Endocranial_volume,mL,78.2,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Macaca nemestrina,Macaca nemestrina,Endocranial_volume,mL,97.854,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Macaca nemestrina,Macaca nemestrina,Endocranial_volume,mL,105.59,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca nemestrina,Macaca_nemestrina,Endocranial_volume,mL,97.8542482814216,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca nemestrina,Macaca nemestrina,Endocranial_volume,mL,111.5,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Macaca nigra,Macaca nigra,Endocranial_volume,mL,94.9,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Male and female: this study; species mean: Harvey and Clutton-Brock 1985,,,unknown
Macaca nigra,Macaca_nigra,Endocranial_volume,mL,80.975,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca nigra,Macaca nigra,Endocranial_volume,mL,150.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Macaca ochreata,Macaca ochreata,Endocranial_volume,mL,98.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Macaca radiata,Macaca radiata,Endocranial_volume,mL,74.87,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca radiata,Macaca_radiata,Endocranial_volume,mL,70.5072099883008,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca radiata,Macaca radiata,Endocranial_volume,mL,67.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Macaca silenus,Macaca silenus,Endocranial_volume,mL,78.0,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Macaca silenus,Macaca silenus,Endocranial_volume,mL,85.0,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Female: this study; species mean: Harvey and Clutton-Brock 1985,,,unknown
Macaca silenus,Macaca_silenus,Endocranial_volume,mL,78.0,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca silenus,Macaca silenus,Endocranial_volume,mL,88.7,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Macaca sinica,Macaca sinica,Endocranial_volume,mL,69.7,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Macaca sinica,Macaca_sinica,Endocranial_volume,mL,60.4,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca sylvanus,Macaca sylvanus,Endocranial_volume,mL,92.913,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Macaca sylvanus,Macaca sylvanus,Endocranial_volume,mL,94.8,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Macaca sylvanus,Macaca sylvanus,Endocranial_volume,mL,93.2,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Male and female: this study; species mean: Harvey and Clutton-Brock 1985,,,unknown
Macaca sylvanus,Macaca_sylvanus,Endocranial_volume,mL,92.9134573735683,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca thibetana,Macaca_thibetana,Endocranial_volume,mL,108.9,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macaca tonkeana,Macaca tonkeana,Endocranial_volume,mL,93.791,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Macaca tonkeana,Macaca tonkeana,Endocranial_volume,mL,93.7,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Powell,Isler; Powell,female
Macaca tonkeana,Macaca_tonkeana,Endocranial_volume,mL,93.7909090909091,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Macropus dorsalis,Macropus dorsalis,Endocranial_volume,mL,26.6,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Macropus fuliginosus,Macropus fuliginosus,Endocranial_volume,mL,66.75,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Macropus robustus,Macropus robustus,Endocranial_volume,mL,58.24,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Mandrillus leucophaeus,Mandrillus leucophaeus,Endocranial_volume,mL,148.0,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Elton et al. 2001,,,unknown
Mandrillus leucophaeus,Mandrillus_leucophaeus,Endocranial_volume,mL,133.17647,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Mandrillus leucophaeus,Mandrillus leucophaeus,Endocranial_volume,mL,160.0,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Mandrillus sphinx,Mandrillus sphinx,Endocranial_volume,mL,136.422,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Mandrillus sphinx,Mandrillus sphinx,Endocranial_volume,mL,137.3,10.1038%2Fsrep24528_TableS1.tsv,Heldstab,2016,Heldstab,secondary,,Isler,Isler; Powell,female
Mandrillus sphinx,Mandrillus sphinx,Endocranial_volume,mL,153.88,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Mandrillus sphinx,Mandrillus_sphinx,Endocranial_volume,mL,136.42175,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Mandrillus sphinx,Mandrillus sphinx,Endocranial_volume,mL,161.2,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Mico argentatus,Mico_argentatus,Endocranial_volume,mL,7.7551583,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Mico humeralifer,Mico_humeralifer,Endocranial_volume,mL,8.37571428571428,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Microcebus murinus,Microcebus murinus,Endocranial_volume,mL,1.63,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Microcebus murinus,Microcebus_murinus,Endocranial_volume,mL,1.60463191666667,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Microcebus rufus,Microcebus rufus,Endocranial_volume,mL,1.72,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Microcebus rufus,Microcebus_rufus,Endocranial_volume,mL,1.62527196428571,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Miopithecus ogouensis,Miopithecus ogouensis,Endocranial_volume,mL,37.35,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Miopithecus ogouensis,Miopithecus_ogouensis,Endocranial_volume,mL,34.7595142424242,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Mirza coquereli,Mirza coquereli,Endocranial_volume,mL,5.8,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Mirza coquereli,Mirza_coquereli,Endocranial_volume,mL,5.7867002,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Nasalis larvatus,Nasalis larvatus,Endocranial_volume,mL,92.3,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Nasalis larvatus,Nasalis_larvatus,Endocranial_volume,mL,84.847022848406,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Nasalis larvatus,Nasalis larvatus,Endocranial_volume,mL,78.5,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Nomascus concolor,Nomascus_concolor,Endocranial_volume,mL,125.671428571429,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Nomascus gabriellae,Nomascus gabriellae,Endocranial_volume,mL,117.044,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Nomascus gabriellae,Nomascus gabriellae,Endocranial_volume,mL,119.38,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Nomascus gabriellae,Nomascus_gabriellae,Endocranial_volume,mL,117.044444444444,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Nomascus leucogenys,Nomascus_leucogenys,Endocranial_volume,mL,121.966666666667,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Nomascus leucogenys /siki,Nomascus leucogenys /siki,Endocranial_volume,mL,121.967,10.7554%2FeLife.77875_Supplementaryfile3.tsv,Caspar,2022,Caspar,primary,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",Isler,,female
Nycticebus bengalensis,Nycticebus bengalensis,Endocranial_volume,mL,13.49,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Nycticebus bengalensis,Nycticebus_bengalensis,Endocranial_volume,mL,12.8721774631272,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Nycticebus coucang,Nycticebus coucang,Endocranial_volume,mL,10.13,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Nycticebus coucang,Nycticebus coucang,Endocranial_volume,mL,10.38,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Nycticebus coucang,Nycticebus coucang,Endocranial_volume,mL,9.67,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Nycticebus coucang,Nycticebus_coucang,Endocranial_volume,mL,9.97419143285283,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Nycticebus coucang,Nycticebus coucang,Endocranial_volume,mL,8.8,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Nycticebus javanicus,Nycticebus_javanicus,Endocranial_volume,mL,10.3799193221141,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Nycticebus pygmaeus,Nycticebus pygmaeus,Endocranial_volume,mL,7.23,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Nycticebus pygmaeus,Nycticebus_pygmaeus,Endocranial_volume,mL,7.22901183333333,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Osphranter rufus,Macropus rufus,Endocranial_volume,mL,51.575,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Otolemur crassicaudatus,Otolemur crassicaudatus,Endocranial_volume,mL,11.78,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Otolemur crassicaudatus,Otolemur_crassicaudatus,Endocranial_volume,mL,11.7519564896826,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
