Species,Brain_Mass_excl_olfactory_bulb.g,Brain_Mass_mass_or_volume.g,Brain_Mass_measured.g,Brain_size_sum_of_structures.g
Cercartetus nanus,,0.43,,
Cercocebus agilis,,95.3,95.3,
Cercocebus atys,,94.424,,
Cercocebus galeritus,,99.0704,,
Cercocebus torquatus,,105.9883,,
Cercopithecus albogularis,,66.0499,,
Cercopithecus ascanius,,60.95,66.0,
Cercopithecus campbelli,,54.4,,
Cercopithecus cephus,,76.0,,
Cercopithecus diana,,55.2,,
Cercopithecus doggetti,,65.3565,,
Cercopithecus erythrotis,,65.4,,
Cercopithecus hamlyni,,65.9,,
Cercopithecus lhoesti,,74.2,,
Cercopithecus lowei,,51.2,,
Cercopithecus mitis,,75.0,74.4,
Cercopithecus mona,,67.0,,
Cercopithecus neglectus,,60.9,,
Cercopithecus nictitans,,68.5875,,
Cercopithecus petaurista,,55.0766,,
Cercopithecus pogonias,,59.5648,,
Cercopithecus sp.,,54.394,106.0,
Cercopithecus wolfi,,61.45,,
Cerdocyon thous,,49.5,,
Ceropithecus sp.,,52.4,,
Cervus canadensis,,,435.0,
Cervus elaphus,,409.3,,
Cervus nippon,,200.0,,
Chaerephon jobensis,,0.36,,
Chaerephon plicatus,,0.385,,
Chaerephon pumila,,0.29,,
Chaeropus ecaudatus,,2.4,,
Chaetodipus baileyi,,0.7017,,
Chaetodipus californicus,,0.6216,,
Chaetodipus fallax,,0.5387,,
Chaetodipus formosus,,0.4927,,
Chaetodipus hispidus,,0.6819,,
Chaetodipus penicillatus,,0.4629,,
Chaetodipus spinatus,,0.4766,,
Chaetophractus villosus,,16.4,,
Chalinolobus gouldi,,,0.2455,
Chalinolobus gouldii,,0.24,,
Chalinolobus morio,,0.1845,0.1825,
Cheirogaleus adipicaudatus,,3.0374,,
Cheirogaleus major,,6.8,6.8,
Cheirogaleus medius,,3.3433,3.14,
Cheirogaleus sibreei,,4.4,,
Cheirogaleus sp.,,,5.3,
Cheiromeles torquatus,,1.366,1.385,
Chinchilla lanigera,,6.8,,
Chiroderma salvini,,0.787,0.8138,
Chiroderma trinitatum,,0.537,0.537,
Chiroderma villosum,,0.706,0.7057,
Chiroderma villosum ssp.,,,0.835,
Chironax melanocephalus,,0.612,0.612,
Chironectes minimus,,5.54,,
Chiropodomys gliroides,,0.7,,
Chiropotes chiropotes,,57.043,,
Chiropotes israelita,,55.1348,,
Chiropotes satanas,,44.5152,,
Chlorocebus aethiops,,64.1333,36.54,
Chlorocebus cynosuros,,71.125,,
Chlorocebus pygerythrus,,62.5774,71.8,
Chlorocebus sabaeus,,65.0393,,
