Species,Brain_Mass_excl_olfactory_bulb.g,Brain_Mass_mass_or_volume.g,Brain_Mass_measured.g,Brain_size_sum_of_structures.g
Rhinopoma hardwickei I,,,0.2795,
Rhinopoma hardwickei II,,,0.283,
Rhinopoma hardwickii,,0.275,,
Rhinopoma microphyllum,,0.4035,,
Rhinopoma microphyllum I,,,0.4325,
Rhinopoma microphyllum II,,,0.3843,
Rhinosciurus laticaudatus,,4.28,,
Rhogeessa parvula,,0.111,0.1173,
Rhogeessa tumida,,0.1055,,
Rhynchocyon cirnei,,5.9,6.1,
Rhynchocyon petersi,,5.4,,
Rhynchogale melleri,,16.95,,
Rhyncholestes raphanurus,,0.6734,,
Rhynchomeles prattorum,,4.9,,
Rhynchonycteris naso,,0.11,0.121,
Rouserrus leschenaulti,,,1.742,
Rousettus aegyptiacus,,2.2608,2.246,
Rousettus amplexicaudatus,,1.6273,1.3583,
Rousettus egyptiacus,,2.6,,
Rousettus leschenaulti,,,1.6625,
Rupicapra rupicapra,,117.8,,
Ruwenzorisorex suncoides,,,0.37,
Saccolaimus saccolaimus,,0.6705,,
Saccopteryx bilineata,,0.22,0.2325,
Saccopteryx canescens,,0.13,0.13,
Saccopteryx leptura,,0.1605,0.1607,
Saccostomus campestris,,0.82,,
Saguinus fuscicollis,,7.9,,
Saguinus geoffroyi,,14.2733,10.5,
Saguinus labiatus,,10.0117,,
Saguinus leucopus,,9.702,,
Saguinus midas,,10.042,10.3,
Saguinus mystax,,11.1,10.1,
Saguinus niger,,12.8406,,
Saguinus nigricollis,,8.9,,
Saguinus oedipus,,9.6429,9.7463,
Saguinus pileatus,,9.5552,,
Saimiri boliviensis,,24.06,25.5,
Saimiri oerstedii,,22.45,,
Saimiri sciureus,30.216,26.7812,22.2173,
Salanoia concolor,,11.02,,
Sapajus apella,52.208,61.9034,,
Sarcophilus harrisii,,16.09,15.29,
Scalopus aquaticus,0.999,1.2395,0.57,
Scapanus townsendii,,2.02,,
Schoinobates volans,,,4.91,
Sciurus aberti,,7.44,,
Sciurus aureogaster,,7.81,,
Sciurus carolinensis,5.548,7.41,5.817,
Sciurus granatensis,,5.91,,
Sciurus niger,,7.9117,,
Sciurus vulgaris,,5.925,5.65,
Scotomanes ornatus,,0.384,0.384,
Scotonycteris zenkeri,,0.71,0.721,
Scotophilus dinganii,,0.4385,0.4407,
Scotophilus heathi,,,0.4743,
Scotophilus heathii,,0.476,,
Scotophilus kuhli,,,0.3325,
Scotophilus kuhlii,,0.3423,,
Scotophilus nigrita,,1.046,,
Scotorepens sanborni,,0.158,,
Scotozous dormeri,,0.143,0.145,
ScutisorexÃsomereni,,,0.6353,
Semnopithecus ajax,,132.0574,,
Semnopithecus dussumieri,,90.0925,,
Semnopithecus entellus,,111.5,,
Semnopithecus hypoleucos,,88.3,,
Semnopithecus priam,,83.0685,,
Semnopithecus schistaceus,,129.2495,,
Semopithecus sp.,,61.5,,
Setifer setosus,,1.51,1.51,
Setonix brachyurus,,13.9,14.6525,
Sigmodon hispidus,,1.14,,
Simias concolor,,218.6,,
Sminthopsis bindi,,0.35,,
Sminthopsis crassicaudata,,0.373,,
Sminthopsis douglasi,,0.35,,
Sminthopsis griseoventer,,0.5076,,
Sminthopsis hirtipes,,0.41,,
Sminthopsis laniger,,0.4869,,
Sminthopsis leucopus,,0.41,,
Sminthopsis macroura,,0.4144,,
Sminthopsis murina,,0.44,0.44,
Sminthopsis virginiae,,0.34,,
Solenodon paradoxus,,4.67,4.67,
Sorex alpinus,,,0.2548,
Sorex araneus,,0.225,0.2,
Sorex arcticus,,0.27,,
Sorex cinereus,,0.17,0.17,
Sorex fumeus,0.176,0.21,0.241,
Sorex hoyi,,0.0935,,
Sorex minutus,,0.13,0.11,
Sorex monticolus,,0.23,,
Sorex ornatus,,0.12,,
Sorex palustris,,0.31,0.28,
Sorex sp.,,,0.25,
Sorex trowbridgii,,0.21,,
Sorex vagrans,,0.17,,
Soricidae sp.,,,0.218,
Sotalia fluviatilis,,688.0,688.0,
Spalacopus cyanus,,1.58,,
Spalax ehrenbergi,,1.88,,
Spalax leucodon,,3.0,,
Speothos venaticus,,40.5,,
Spermophilopsis leptodactylus,,6.18,,
Spermophilus adocetus,,3.01,,
Spermophilus alashanicus,,2.89,,
Spermophilus armatus,,3.09,,
Spermophilus atricapillus,,5.24,,
Spermophilus beecheyi,,5.12,,
Spermophilus beldingi,,3.28,,
Spermophilus brunneus,,2.11,,
Spermophilus canus,,1.6,,
Spermophilus citellus,,2.89,,
Spermophilus columbianus,,3.7394,,
Spermophilus dauricus,,2.75,,
Spermophilus elegans,,2.76,,
Spermophilus erythrogenys,,3.44,,
Spermophilus franklinii,,3.82,,
Spermophilus fulvus,,4.55,,
Spermophilus lateralis,,3.2066,,
Spermophilus madrensis,,2.715,,
Spermophilus major,,4.12,,
Spermophilus mexicanus,,3.5,,
Spermophilus mohavensis,,2.03,,
Spermophilus mollis,,1.67,,
Spermophilus musicus,,2.62,,
Spermophilus parryii,,5.2455,,
Spermophilus perotensis,,2.79,,
Spermophilus pygmaeus,,2.44,,
Spermophilus relictus,,3.49,,
Spermophilus richardsonii,,3.3739,,
Spermophilus saturatus,,3.38,,
Spermophilus spilosoma,,2.37,,
Spermophilus suslicus,,2.55,,
Spermophilus tereticaudus,,1.82,,
Spermophilus townsendii,,2.06,,
Spermophilus tridecemlineatus,,2.3757,1.53,
Spermophilus undulatus,,4.84,,
Spermophilus variegatus,,7.01,,
Spermophilus washingtoni,,1.8,,
Spermophilus xanthoprymnus,,3.04,,
Sphaerias blanfordi,,0.832,0.8403,
Sphaeronycteris toxophyllum,,0.537,0.55,
Sphiggurus vestitus,,11.71,,
Spilocuscus kraemeri,,11.5,,
Spilocuscus maculatus,,13.8824,,
Spilocuscus rufoniger,,16.8,,
Spilogale gracilis,,6.81,,
Spilogale putorius,,5.0,,
Stenella attenuata,,779.83,,
Stenella coeruleoalba,,883.75,820.0,
Stenella longirostris,,450.0,,
Steno bredanensis,,1541.9,,
Stenomys niobe,,1.1,,
Stenomys verecundus,,1.48,,
Strigocuscus pelengensis,,6.22,,
Sturnira lilium,,0.52,0.5967,
Sturnira ludovici,,0.676,0.6625,
Sturnira tildae,,0.7255,0.733,
Sturnus vulgaris,,,1.8553,
Suncus etruscus,,0.071,0.061,
Suncus megalura,,,0.1893,
Suncus murinus,,0.39,0.38,
Sundamys muelleri,,3.5,,
Surdisorex polulus,,0.4,,
Suricata suricatta,,10.3,,
Sus scrofa,,116.99,112.0,
Sus scrofa domesticus,62.5745,,137.65,
Syconycteris australis,,0.592,0.57,
Syconycteris crassa,,,0.616,
Sylvia atricapilla,,,0.7743,
Sylvicapra grimmia,,77.2,,
Sylvilagus audubonii,,6.07,,
Sylvilagus bachmani,,6.58,,
Sylvilagus brasiliensis,,4.5,,
Sylvilagus floridanus,,7.56,,
Sylvisorex granti,,,0.162,
Symphalangus syndactylus,,131.72,138.7,
Synaptomys cooperi,,0.59,,
Syncerus caffer,,647.5,,
Tachyglossus aculeatus,,20.7344,11.0,
Tachyoryctes splendens,,1.88,,
Tadarida aegyptiaca,,0.393,0.3917,
Tadarida beccarii,,,0.25,
Tadarida condylura,,,0.461,
Tadarida jobensis,,,0.36,
Tadarida leucostigma,,,0.38,
Tadarida mops,,,0.4733,
Tadarida niveiventer,,,0.4343,
Tadarida plicata plicata,,,0.325,
Tadarida pumila,,,0.247,
Taenipygia guttata,,,0.4935,
Talpa europaea,,1.4033,1.41,
Talpa micrura,,,0.7815,
Tamandua tetradactyla,,27.5,,
Tamias amoenus,,1.39,,
Tamias cinereicollis,,1.8,,
Tamias dorsalis,,1.98,,
Tamias minimus,,1.6,,
Tamias palmeri,,1.99,,
Tamias panamintinus,,1.83,,
Tamias quadrimaculatus,,2.16,,
Tamias quadrivittatus,,1.7,,
Tamias speciosus,,1.86,,
Tamias striatus,,2.17,,
Tamias townsendii,,2.44,,
Tamiasciurus hudsonicus,,3.83,,
Tamiops macclellandi,,1.95,,
Tamiops mcclellandii,,1.95,,
Taphozous australis,,0.5035,0.514,
Taphozous hildegardeae,,0.5425,0.5393,
Taphozous longimanus,,0.47,,
Taphozous mauritianus,,0.5505,0.5505,
Taphozous melanopogon,,0.536,0.5407,
Taphozous saccolaimus I,,,0.675,
Taphozous theobaldi,,0.681,0.6753,
Tapirus bairdii,,85.0,,
Tapirus indicus,,265.0,,
Tapirus terrestris,,180.5,,
Tarsipes rostratus,,0.36,,
Tarsius bancanus,,2.7,2.411,
Tarsius dentatus,,2.9954,,
Tarsius sp.,,,3.6,
Tarsius syrichta,,3.3587,3.63,
Tarsius tarsier,,3.5,,
Tatera afra,,1.56,,
Tatera brantsii,,1.56,,
Tatera indica,,1.84,,
Taurotragus derbianus,,534.0,,
Taurotragus oryx,,440.0,,
Taxidea taxus,,48.9,,
Tayassu pecari,,145.8,,
Tenrec ecaudatus,,2.835,2.585,
Thainycteris aureocallaris,,,0.3377,
Theropithecus gelada,,130.0,,
Thomomys bottae,,1.4716,,
Thomomys bulbivorus,,2.2,,
Thomomys talpoides,,1.2441,,
Thryonomys swinderianus,,13.28,,
Thylacinus cynocephalus,,51.19,,
Thylamys elegans,,0.7356,,
Thylamys pallidior,,0.72,,
Thylogale billardieri,,,25.72,
Thylogale billardierii,,22.8956,,
Thylogale browni,,18.3,,
Thylogale brunii,,17.5,,
Thylogale stigmatica,,17.8,,
Thylogale thetis,,19.8912,,
Thyroptera tricolor,,0.23,,
Thyroptera tricolor (THY),,,0.23,
Tolypeutes matacus,,8.86,,
Tonatia bidens,,0.788,0.7753,
Tonatia schulzi,,,0.51,
Tonatia sylvicola,,,0.756,
Trachops cirrhosus,,0.9115,1.0025,
Trachypithecus auratus,,63.6,,
Trachypithecus cristatus,,55.0,,
Trachypithecus francoisi,,94.4,102.1,
Trachypithecus geei,,81.3,,
Trachypithecus germaini,,76.0,,
Trachypithecus johnii,,84.6,,
Trachypithecus obscurus,,60.0,,
Trachypithecus phayrei,,72.8401,,
Trachypithecus pileatus,,103.6408,,
Trachypithecus vetulus,,60.4,,
Tragelaphus angasii,,230.0,,
Tragelaphus buxtoni,,330.0,,
Tragelaphus eurycerus,,389.0,,
Tragelaphus imberbis,,219.0,,
Tragelaphus scriptus,,165.0,,
Tragelaphus spekii,,145.0,,
Tragelaphus strepsiceros,307.2755,361.0,,
Tragulus javanicus,,15.8,,
Tragulus napu,,18.5,,
Triaenops persicus,,0.2705,0.2733,
Trichechus manatus,,364.0,350.0,
Trichosurus caninus,,11.9,,
Trichosurus vulpecula,,11.398,12.5225,
Trichys fasciculata,,13.05,,
Tscherskia triton,,1.29,,
Tupaia belangeri,,,2.9207,
Tupaia glis,2.752,3.2,2.8233,
Tupaia javanica,,2.3,,
Tupaia minor,,2.58,2.58,
Tupaia sp.,,3.04,,
Turdus merula,,,1.8872,
Tursiops aduncus,,1498.0,,
Tursiops truncatus,,1572.9968,1250.0,
Tylonycteris minor,,,0.062,
Tylonycteris pachypus,,0.077,0.0743,
Tylonycteris robustula,,0.116,0.1205,
Tyto alba,,,5.6177,
Uncia uncia,,101.5,,
Uranomys ruddi,,0.77,,
Urocyon cinereoargenteus,,37.28,,
Urocyon littoralis,,27.7,,
Uroderma bilobatum,,0.53,0.62,
Urogale everetti,,4.28,4.28,
Uromys caudimaculatus,,,5.888,
Ursus americanus,,248.0,,
Ursus arctos,,335.9667,385.0,
Ursus maritimus,,507.0,472.68,
Ursus sp.,,,350.0,
Ursus thibetanus,,269.0,,
Vampyressa pusilla,,0.394,0.415,
Vampyrodes caraccioli,,0.947,,
Vampyrodes caraccioloi,,,0.947,
Vampyrops brachycephalus,,,0.57,
Vampyrops helleri,,,0.5067,
Vampyrops infuscus,,,1.11,
Vampyrops lineatus,,,0.7463,
Vampyrops vittatus,,,1.175,
Vampyrum spectrum,,2.8685,2.587,
Varecia rubra,,31.0839,,
Varecia variegata,,31.2,31.5767,
Vespadelus pumilus,,0.122,,
Vespertilio murinus,,0.445,,
Vicugna vicugna,,199.9,,
Viverra civettina,,42.1,,
Viverra megaspila,,36.6,,
Viverra tangalunga,,24.1,,
Viverra zibetha,,37.0,,
Viverricula indica,,16.78,,
Vombatus mitchelli (ursinus ?),,,55.4,
Vombatus ursinus,,61.124,,
Vormela peregusna,,4.8,,
Vulpes bengalensis,,24.5,,
Vulpes chama,,33.5,,
Vulpes lagopus,,35.5,,
Vulpes pallida,,25.03,,
Vulpes rueppellii,,25.8,,
Vulpes velox,,32.1,,
Vulpes vulpes,,49.64,45.6283,
Vulpes zerda,,17.3,,
Wallabia bicolor,,32.7,,
Wyulda squamicaudata,,10.1,,
Xerus erythropus,,6.68,,
Xerus inauris,,7.65,,
Xerus rutilus,,5.09,,
Zaedyus pichiy,,7.98,,
Zaglossus bruijni,,37.3468,,
Zaglossus sp.,,,53.0,
Zalophus californianus,,405.0,363.0,
Zapus hudsonius,,0.5494,,
Zapus princeps,,0.5,,
Zapus trinotatus,,0.5,,
Ziphius cavirostris,,2004.0,2004.0,
Zygogeomys trichopus,,3.9472,,
