"Species","n_bases","Brain_Mass_excl_olfactory_bulb","Brain_Mass_from_volume_or_ecv","Brain_Mass_mass_or_volume","Brain_Mass_measured","Brain_size_sum_of_structures","ratio_max_over_min","flag"
"Scotonycteris zenkeri",2,"","","0.71","0.721","",1.015,""
"Scotophilus dinganii",2,"","","0.4385","0.4407","",1.005,""
"Scotozous dormeri",2,"","","0.143","0.145","",1.014,""
"Setifer setosus",2,"","","1.51","1.51","",1,""
"Setonix brachyurus",2,"","","13.9","14.6525","",1.054,""
"Sminthopsis murina",2,"","","0.44","0.44","",1,""
"Solenodon paradoxus",2,"","","4.67","4.67","",1,""
"Sorex araneus",2,"","","0.2275","0.2","",1.138,""
"Sorex cinereus",2,"","","0.17","0.17","",1,""
"Sorex fumeus",3,"0.176","","0.21","0.241","",1.369,""
"Sorex minutus",2,"","","0.13","0.11","",1.182,""
"Sorex palustris",2,"","","0.31","0.28","",1.107,""
"Sotalia fluviatilis",2,"","","688","688","",1,""
"Spermophilus tridecemlineatus",2,"","","2.3228","1.53","",1.518,""
"Sphaerias blanfordi",2,"","","0.832","0.8403","",1.01,""
"Sphaeronycteris toxophyllum",2,"","","0.537","0.55","",1.024,""
"Stenella coeruleoalba",2,"","","883.75","820","",1.078,""
"Sturnira lilium",2,"","","0.5522","0.5967","",1.081,""
"Sturnira ludovici",2,"","","0.676","0.6625","",1.02,""
"Sturnira tildae",2,"","","0.7255","0.733","",1.01,""
"Suncus etruscus",2,"","","0.0705","0.061","",1.156,""
"Suncus murinus",2,"","","0.39","0.38","",1.026,""
"Sus scrofa",2,"","","64.18","112","",1.745,""
"Sus scrofa domesticus",2,"62.5745","","","137.65","",2.2,"DISAGREEMENT>2x"
"Syconycteris australis",2,"","","0.592","0.57","",1.039,""
"Symphalangus syndactylus",2,"","","131.72","138.7","",1.053,""
"Tachyglossus aculeatus",2,"","","20.7322","11","",1.885,""
"Tadarida aegyptiaca",2,"","","0.393","0.3917","",1.003,""
"Talpa europaea",2,"","","1.4017","1.41","",1.006,""
"Taphozous australis",2,"","","0.5035","0.514","",1.021,""
"Taphozous hildegardeae",2,"","","0.5425","0.5393","",1.006,""
"Taphozous mauritianus",2,"","","0.5505","0.5505","",1,""
"Taphozous melanopogon",2,"","","0.536","0.5407","",1.009,""
"Taphozous theobaldi",2,"","","0.681","0.6753","",1.008,""
"Tarsius bancanus",2,"","","2.7","2.411","",1.12,""
"Tarsius syrichta",2,"","","3.3587","3.63","",1.081,""
"Tenrec ecaudatus",2,"","","2.8375","2.585","",1.098,""
"Tonatia bidens",2,"","","0.788","0.7753","",1.016,""
"Trachops cirrhosus",2,"","","0.9115","1.0025","",1.1,""
"Trachypithecus francoisi",2,"","","94.0444","102.1","",1.086,""
"Tragelaphus strepsiceros",2,"307.2755","","361","","",1.175,""
