"Species","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Varecia variegata",10,4,31.5,NA,"","Bauernfeind2013(Zilles,primary)=31.5 | Burger2019(Burger,secondary)=31.2 | Stephan1981(Stephan_collection,primary)=31.5 | Stephan1981(Stephan_collection,primary)=31.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=49.83 | Lewitus2013(Lewitus,secondary)=49.83 | Stephan1970(Stephan_collection,primary)=31.5 | Stephan1970(Stephan_collection,primary)=31.5"
"Alouatta seniculus",9,3,51.6,NA,"","Burger2019(Burger,secondary)=45.5 | Stephan1981(Stephan_collection,primary)=52 | Stephan1981(Stephan_collection,primary)=52 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=54.95 | Stephan1970(Stephan_collection,primary)=51 | Stephan1970(Stephan_collection,primary)=51 | Frahm1998(Stephan_collection,secondary)=52"
"Callithrix pygmaea",9,4,4.2917,NA,"","Jacobs2018(Jacobs,info)=4.1 | Jacobs2018(Jacobs,info)=4.1 | Bauernfeind2013(Zilles,primary)=4.2 | Burger2019(Burger,secondary)=4.64 | Stephan1981(Stephan_collection,primary)=4.5 | Stephan1981(Stephan_collection,primary)=4.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Frahm1998(Stephan_collection,secondary)=4.15"
"Cheirogaleus medius",9,3,3.14,NA,"","Burger2019(Burger,secondary)=3.34 | Stephan1981(Stephan_collection,primary)=3.14 | Stephan1981(Stephan_collection,primary)=3.14 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=3.01 | Lewitus2013(Lewitus,secondary)=3.01 | Stephan1970(Stephan_collection,primary)=3.14 | Stephan1970(Stephan_collection,primary)=3.14"
"Daubentonia madagascariensis",9,3,45.15,NA,"","Burger2019(Burger,secondary)=45.15 | Stephan1981(Stephan_collection,primary)=45.15 | Stephan1981(Stephan_collection,primary)=45.15 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=44.89 | Lewitus2013(Lewitus,secondary)=44.89 | Stephan1970(Stephan_collection,primary)=45.15 | Stephan1970(Stephan_collection,primary)=45.15"
"Echinops telfairi",9,4,1.2593,NA,"","Burger2019(Burger,secondary)=0.62 | Finlay2006(Finlay,primary)=0.62 | Changizi2005(Changizi,primary)=2.54 | Stephan1981(Stephan_collection,primary)=0.62 | Stephan1981(Stephan_collection,primary)=0.62 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=0.62 | Stephan1970(Stephan_collection,primary)=0.62"
"Erythrocebus patas",9,4,108,NA,"","Burger2019(Burger,secondary)=100.2 | Stephan1981(Stephan_collection,primary)=108 | Stephan1981(Stephan_collection,primary)=108 | deSousa2013(Zilles,secondary)=94.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=105.65 | Lewitus2013(Lewitus,secondary)=105.65 | Frahm1998(Stephan_collection,secondary)=108"
"Eulemur fulvus",9,3,23.3,NA,"","Burger2019(Burger,secondary)=25.8 | Stephan1981(Stephan_collection,primary)=23.3 | Stephan1981(Stephan_collection,primary)=23.3 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=28.1 | Lewitus2013(Lewitus,secondary)=28.1 | Stephan1970(Stephan_collection,primary)=23.3 | Stephan1970(Stephan_collection,primary)=23.3"
"Lagothrix lagothricha",9,3,101,NA,"","Burger2019(Burger,secondary)=89.35 | Stephan1981(Stephan_collection,primary)=101 | Stephan1981(Stephan_collection,primary)=101 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=95.58 | Lewitus2013(Lewitus,secondary)=95.58 | Stephan1970(Stephan_collection,primary)=101 | Stephan1970(Stephan_collection,primary)=101"
"Lepilemur ruficaudatus",9,3,7.6,NA,"","Burger2019(Burger,secondary)=8.25 | Stephan1981(Stephan_collection,primary)=7.6 | Stephan1981(Stephan_collection,primary)=7.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=7.5 | Lewitus2013(Lewitus,secondary)=7.5 | Stephan1970(Stephan_collection,primary)=7.6 | Stephan1970(Stephan_collection,primary)=7.6"
"Oryctolagus cuniculus",9,5,9.785,NA,"","Nudo1995(Nudo,primary)=7.57 | Burger2019(Burger,secondary)=11.09 | HerculanoHouzel2015(HerculanoHouzel,secondary)=7.1 | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=9.13 | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=6.5 | Lewitus2013(Lewitus,secondary)=6.5 | Brodmann1913(Brodmann,primary)=12"
"Propithecus verreauxi",9,3,26.7,NA,"","Burger2019(Burger,secondary)=26.7 | Stephan1981(Stephan_collection,primary)=26.7 | Stephan1981(Stephan_collection,primary)=26.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=26.9 | Lewitus2013(Lewitus,secondary)=26.9 | Stephan1970(Stephan_collection,primary)=26.7 | Stephan1970(Stephan_collection,primary)=26.7"
"Sorex araneus",9,3,0.2,NA,"","Burger2019(Burger,secondary)=0.23 | Stephan1981(Stephan_collection,primary)=0.2 | Stephan1981(Stephan_collection,primary)=0.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=0.2 | Lewitus2013(Lewitus,secondary)=0.2 | Stephan1970(Stephan_collection,primary)=0.2 | Stephan1970(Stephan_collection,primary)=0.2"
"Talpa europaea",9,4,1.41,NA,"","Burger2019(Burger,secondary)=1.4 | Stephan1981(Stephan_collection,primary)=1.02 | Stephan1981(Stephan_collection,primary)=1.02 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=1.02 | Stephan1970(Stephan_collection,primary)=1.02 | Stephan1970(Stephan_collection,primary)=1.02 | Brodmann1913(Brodmann,primary)=1.8"
"Ateles geoffroyi",8,3,107.2,NA,"","Bauernfeind2013(Zilles,primary)=106.4 | Burger2019(Burger,secondary)=104.96 | Stephan1981(Stephan_collection,primary)=108 | Stephan1981(Stephan_collection,primary)=108 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=108 | Stephan1970(Stephan_collection,primary)=108"
"Callimico goeldii",8,3,11,NA,"","Burger2019(Burger,secondary)=11.4 | Stephan1981(Stephan_collection,primary)=11 | Stephan1981(Stephan_collection,primary)=11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=10.95 | Lewitus2013(Lewitus,secondary)=10.95 | Frahm1998(Stephan_collection,secondary)=11"
"Elephantulus fuscipes",8,3,1.33,NA,"","Burger2019(Burger,secondary)=1.33 | Stephan1981(Stephan_collection,primary)=1.33 | Stephan1981(Stephan_collection,primary)=1.33 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=1.33 | Stephan1970(Stephan_collection,primary)=1.33 | Stephan1970(Stephan_collection,primary)=1.33"
"Galemys pyrenaicus",8,3,1.33,NA,"","Burger2019(Burger,secondary)=1.33 | Stephan1981(Stephan_collection,primary)=1.33 | Stephan1981(Stephan_collection,primary)=1.33 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=1.33 | Stephan1970(Stephan_collection,primary)=1.33 | Stephan1970(Stephan_collection,primary)=1.33"
"Giraffa camelopardalis",8,4,532.622,NA,"","Karl2024(Karl,secondary)=675 | Burger2019(Burger,secondary)=700 | HerculanoHouzel2015(HerculanoHouzel,secondary)=537 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=537.22 | Kazu2014(Kazu,primary)=528.03 | Kazu2015(Kazu,primary)=537.22"
"Loxodonta africana",8,5,4924.6531,NA,"","Karl2024(Karl,secondary)=4835 | Garwicz2009(Garwicz,secondary)=4480 | Burger2019(Burger,secondary)=5436.4 | HerculanoHouzel2015(HerculanoHouzel,secondary)=4618 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=4618.62 | Lewitus2014(Lewitus,secondary)=5253.56"
"Macaca fascicularis",8,5,47.815,NA,"","Nudo1995(Nudo,primary)=38.03 | deSousa2010(Zilles,primary)=57.6 | deSousa2009(deSousa,secondary)=58 | Burger2019(Burger,secondary)=66.93 | deSousa2013(Zilles,secondary)=57.6 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=46.16"
"Neomys fodiens",8,3,0.32,NA,"","Burger2019(Burger,secondary)=0.31 | Stephan1981(Stephan_collection,primary)=0.32 | Stephan1981(Stephan_collection,primary)=0.32 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=0.32 | Stephan1970(Stephan_collection,primary)=0.32 | Stephan1970(Stephan_collection,primary)=0.32"
"Ovis ammon f. aries",8,1,111.7833,NA,"","Ebinger1974(Ebinger,primary)=125 | Ebinger1974(Ebinger,primary)=120 | Ebinger1974(Ebinger,primary)=113.9 | Ebinger1974(Ebinger,primary)=102.4 | Ebinger1974(Ebinger,primary)=109.6 | Ebinger1974(Ebinger,primary)=99.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Panthera leo",8,4,259,NA,"","Jacobs2018(Jacobs,info)=223.5 | Jacobs2018(Jacobs,info)=223.5 | Burger2019(Burger,secondary)=259.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=247.21 | Lewitus2013(Lewitus,secondary)=24721 | Brodmann1913(Brodmann,primary)=259"
"Papio anubis",8,4,201,NA,"","Karl2024(Karl,secondary)=174.3 | Burger2019(Burger,secondary)=152.4 | Stephan1981(Stephan_collection,primary)=201 | Stephan1981(Stephan_collection,primary)=201 | deSousa2013(Zilles,secondary)=206.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Frahm1998(Stephan_collection,secondary)=201"
"Pithecia monachus",8,2,35,NA,"","Burger2019(Burger,secondary)=35 | Stephan1981(Stephan_collection,primary)=35 | Stephan1981(Stephan_collection,primary)=35 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=35 | Stephan1970(Stephan_collection,primary)=35 | Frahm1998(Stephan_collection,secondary)=35"
"Potamogale velox",8,3,4.13,NA,"","Burger2019(Burger,secondary)=4.05 | Stephan1981(Stephan_collection,primary)=4.16 | Stephan1981(Stephan_collection,primary)=4.16 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=3.88 | Stephan1970(Stephan_collection,primary)=4.1 | Stephan1970(Stephan_collection,primary)=4.1"
"Procavia capensis",8,5,12.42,NA,"","Karl2024(Karl,secondary)=18.1 | Nudo1995(Nudo,primary)=12.42 | Burger2019(Burger,secondary)=19.47 | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=16.85 | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=19.17 | Lewitus2013(Lewitus,secondary)=19.17"
"Procyon lotor",8,4,31.87,NA,"","Jacobs2018(Jacobs,info)=40 | Jacobs2018(Jacobs,info)=40 | Nudo1995(Nudo,primary)=31.87 | Burger2019(Burger,secondary)=41.07 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=40.02 | Lewitus2013(Lewitus,secondary)=40.02"
"Pygathrix nemaeus",8,4,77,NA,"","Burger2019(Burger,secondary)=77 | Stephan1981(Stephan_collection,primary)=77 | Stephan1981(Stephan_collection,primary)=77 | deSousa2013(Zilles,secondary)=69 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=84.83 | Lewitus2013(Lewitus,secondary)=84.83"
"Sciurus carolinensis",8,5,5.817,NA,"","Nudo1995(Nudo,primary)=4.93 | Burger2019(Burger,secondary)=7.41 | Finlay2006(Finlay,primary)=6 | Changizi2005(Changizi,primary)=6.52 | Changizi2005(Changizi,primary)=6.52 | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=5.55 | NANA(NA,NA)=NA"
"Sorex minutus",8,3,0.11,NA,"","Burger2019(Burger,secondary)=0.13 | Stephan1981(Stephan_collection,primary)=0.11 | Stephan1981(Stephan_collection,primary)=0.11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=0.11 | Stephan1970(Stephan_collection,primary)=0.11 | Stephan1970(Stephan_collection,primary)=0.11"
"Tenrec ecaudatus",8,3,2.585,NA,"","Burger2019(Burger,secondary)=2.84 | Stephan1981(Stephan_collection,primary)=2.57 | Stephan1981(Stephan_collection,primary)=2.57 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=2.57 | Stephan1970(Stephan_collection,primary)=2.57 | Brodmann1913(Brodmann,primary)=2.6"
"Atelerix algirus",7,2,3.375,NA,"","Burger2019(Burger,secondary)=3.2 | Stephan1981(Stephan_collection,primary)=3.2 | Stephan1981(Stephan_collection,primary)=3.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=3.55 | Stephan1970(Stephan_collection,primary)=3.55"
"Avahi occidentalis",7,3,9.67,NA,"","Burger2019(Burger,secondary)=7.95 | Stephan1981(Stephan_collection,primary)=9.67 | Stephan1981(Stephan_collection,primary)=9.67 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=9.69 | Lewitus2013(Lewitus,secondary)=9.69"
"Bos taurus",7,5,540,NA,"","Garwicz2009(Garwicz,secondary)=456 | Burger2019(Burger,secondary)=452.8 | HerculanoHouzel2015(HerculanoHouzel,secondary)=486 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2013(Lewitus,secondary)=462 | Brodmann1913(Brodmann,primary)=540"
"Chrysochloris stuhlmanni",7,2,0.74,NA,"","Burger2019(Burger,secondary)=1.06 | Stephan1981(Stephan_collection,primary)=0.74 | Stephan1981(Stephan_collection,primary)=0.74 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=0.74 | Stephan1970(Stephan_collection,primary)=0.74"
"Crocidura flavescens",7,2,0.44,NA,"","Stephan1981(Stephan_collection,primary)=0.44 | Stephan1981(Stephan_collection,primary)=0.44 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=0.41 | Stephan1970(Stephan_collection,primary)=0.44 | Stephan1970(Stephan_collection,primary)=0.44"
"Crocidura russula",7,2,0.19,NA,"","Burger2019(Burger,secondary)=0.19 | Stephan1981(Stephan_collection,primary)=0.19 | Stephan1981(Stephan_collection,primary)=0.19 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=0.19 | Stephan1970(Stephan_collection,primary)=0.19"
"Dasypus novemcinctus",7,4,7.54,NA,"","Nudo1995(Nudo,primary)=7.54 | Garwicz2009(Garwicz,secondary)=12 | Burger2019(Burger,secondary)=8.5 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=10.75 | Lewitus2013(Lewitus,secondary)=10.75"
"Desmana moschata",7,2,4,NA,"","Burger2019(Burger,secondary)=4 | Stephan1981(Stephan_collection,primary)=4 | Stephan1981(Stephan_collection,primary)=4 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=4 | Stephan1970(Stephan_collection,primary)=4"
"Equus caballus",7,4,590,NA,"","Garwicz2009(Garwicz,secondary)=585 | Burger2019(Burger,secondary)=693 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=712 | Lewitus2013(Lewitus,secondary)=712 | Brodmann1913(Brodmann,primary)=590"
"Hemicentetes semispinosus",7,2,0.83,NA,"","Burger2019(Burger,secondary)=0.83 | Stephan1981(Stephan_collection,primary)=0.83 | Stephan1981(Stephan_collection,primary)=0.83 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=0.83 | Stephan1970(Stephan_collection,primary)=0.83"
"Macaca radiata",7,3,51.9233,NA,"","Burger2019(Burger,secondary)=69.4 | HerculanoHouzel2015(HerculanoHouzel,secondary)=61.47 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=61.47 | Turner2016(Turner,info)=25 | Turner2016(Turner,info)=24.8"
"Mesocricetus auratus",7,4,1.0237,NA,"","Garwicz2009(Garwicz,secondary)=1.12 | Burger2019(Burger,secondary)=1 | HerculanoHouzel2015(HerculanoHouzel,secondary)=0.96 | HerculanoHouzel2015(HerculanoHouzel,secondary)=0.96 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=1.01"
"Microgale mergulus",7,2,1.15,NA,"","Burger2019(Burger,secondary)=1.15 | Stephan1981(Stephan_collection,primary)=1.15 | Stephan1981(Stephan_collection,primary)=1.15 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=1.15 | Stephan1970(Stephan_collection,primary)=1.15"
"Mustela putorius",7,4,10.7,NA,"","Jacobs2018(Jacobs,info)=8.3 | Jacobs2018(Jacobs,info)=8.3 | Burger2019(Burger,secondary)=7.87 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=8.25 | Brodmann1913(Brodmann,primary)=10.7"
"Nasalis larvatus",7,3,97,NA,"","Burger2019(Burger,secondary)=83.8 | Stephan1981(Stephan_collection,primary)=97 | Stephan1981(Stephan_collection,primary)=97 | deSousa2013(Zilles,secondary)=64.25 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Frahm1998(Stephan_collection,secondary)=97"
"Nesogale talazaci",7,2,0.79,NA,"","Burger2019(Burger,secondary)=0.79 | Stephan1981(Stephan_collection,primary)=0.79 | Stephan1981(Stephan_collection,primary)=0.79 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=0.79 | Stephan1970(Stephan_collection,primary)=0.79"
"Rhynchocyon cirnei",7,2,6.1,NA,"","Burger2019(Burger,secondary)=5.9 | Stephan1981(Stephan_collection,primary)=6.1 | Stephan1981(Stephan_collection,primary)=6.1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=6.1 | Stephan1970(Stephan_collection,primary)=6.1"
"Setifer setosus",7,2,1.51,NA,"","Burger2019(Burger,secondary)=1.51 | Stephan1981(Stephan_collection,primary)=1.51 | Stephan1981(Stephan_collection,primary)=1.51 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=1.51 | Stephan1970(Stephan_collection,primary)=1.51"
"Solenodon paradoxus",7,2,4.67,NA,"","Burger2019(Burger,secondary)=4.67 | Stephan1981(Stephan_collection,primary)=4.67 | Stephan1981(Stephan_collection,primary)=4.67 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=4.67 | Stephan1970(Stephan_collection,primary)=4.67"
"Suncus murinus",7,2,0.38,NA,"","Burger2019(Burger,secondary)=0.39 | Stephan1981(Stephan_collection,primary)=0.38 | Stephan1981(Stephan_collection,primary)=0.38 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=0.38 | Stephan1970(Stephan_collection,primary)=0.38"
"Urogale everetti",7,2,4.28,NA,"","Burger2019(Burger,secondary)=4.28 | Stephan1981(Stephan_collection,primary)=4.28 | Stephan1981(Stephan_collection,primary)=4.28 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Stephan1970(Stephan_collection,primary)=4.28 | Stephan1970(Stephan_collection,primary)=4.28"
"Antidorcas marsupialis",6,3,104.088,NA,"","Burger2019(Burger,secondary)=135 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=106.07 | Kazu2014(Kazu,primary)=102.1 | Kazu2015(Kazu,primary)=106.07"
"Blarina brevicauda",6,3,0.39,NA,"","Burger2019(Burger,secondary)=0.29 | Finlay2006(Finlay,primary)=0.39 | HerculanoHouzel2015(HerculanoHouzel,secondary)=0.34 | HerculanoHouzel2015(HerculanoHouzel,secondary)=0.35 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Cavia porcellus",6,3,4.162,NA,"","Garwicz2009(Garwicz,secondary)=4 | Burger2019(Burger,secondary)=4.83 | HerculanoHouzel2015(HerculanoHouzel,secondary)=3.66 | HerculanoHouzel2015(HerculanoHouzel,secondary)=3.66 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Choloepus didactylus",6,3,35.5167,NA,"","Karl2024(Karl,secondary)=36 | Burger2019(Burger,secondary)=28.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=7.7 | Lewitus2013(Lewitus,secondary)=77"
"Condylura cristata",6,3,1.077,NA,"","Burger2019(Burger,secondary)=1.37 | HerculanoHouzel2015(HerculanoHouzel,secondary)=0.8 | Changizi2005(Changizi,primary)=1.08 | HerculanoHouzel2015(HerculanoHouzel,secondary)=0.8 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Didelphis marsupialis",6,3,5.736,NA,"","Burger2019(Burger,secondary)=6.35 | Finlay2006(Finlay,primary)=6.3 | Changizi2005(Changizi,primary)=5.17 | Changizi2005(Changizi,primary)=5.17 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Didelphis virginiana",6,3,4.36,NA,"","Nudo1995(Nudo,primary)=4.36 | Burger2019(Burger,secondary)=6.72 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=6.72 | Lewitus2013(Lewitus,secondary)=6.72"
"Hemiechinus auritus",6,3,1.4325,NA,"","Nudo1995(Nudo,primary)=0.96 | Burger2019(Burger,secondary)=1.9 | Stephan1981(Stephan_collection,primary)=1.9 | Stephan1981(Stephan_collection,primary)=1.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Leontopithecus rosalia",6,3,12.7,NA,"","Jacobs2018(Jacobs,info)=12.8 | Jacobs2018(Jacobs,info)=12.8 | Bauernfeind2013(Zilles,primary)=12.7 | Burger2019(Burger,secondary)=13.05 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ovis ammon musimon",6,1,133.025,NA,"","Ebinger1974(Ebinger,primary)=135 | Ebinger1974(Ebinger,primary)=132.4 | Ebinger1974(Ebinger,primary)=132.5 | Ebinger1974(Ebinger,primary)=132.2 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Ovis aries",6,4,118,NA,"","Garwicz2009(Garwicz,secondary)=140 | Burger2019(Burger,secondary)=175 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=125 | Brodmann1913(Brodmann,primary)=118"
"Papio hamadryas",6,3,161.0333,NA,"","Jacobs2018(Jacobs,info)=159.1 | Jacobs2018(Jacobs,info)=159.1 | Burger2019(Burger,secondary)=142 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=182"
"Pteropus poliocephalus",6,3,7.2258,NA,"","Burger2019(Burger,secondary)=7.23 | Finlay2006(Finlay,primary)=7.23 | Changizi2005(Changizi,primary)=7.22 | Changizi2005(Changizi,primary)=7.22 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Scalopus aquaticus",6,3,0.57,NA,"","Nudo1995(Nudo,primary)=0.57 | Burger2019(Burger,secondary)=1.48 | HerculanoHouzel2015(HerculanoHouzel,secondary)=1 | HerculanoHouzel2015(HerculanoHouzel,secondary)=1 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Sus scrofa",6,4,112,NA,"","Burger2019(Burger,secondary)=169.8 | HerculanoHouzel2015(HerculanoHouzel,secondary)=64.18 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2013(Lewitus,secondary)=13765 | Brodmann1913(Brodmann,primary)=112"
"Sus scrofa domesticus",6,3,60.969,NA,"","NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=64.18 | Lewitus2014(Lewitus,secondary)=137.65 | Kazu2014(Kazu,primary)=57.76 | Kazu2015(Kazu,primary)=64.18"
"Tarsius syrichta",6,3,3.63,NA,"","Burger2019(Burger,secondary)=3.36 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=3.83 | Stephan1970(Stephan_collection,primary)=3.63 | Stephan1970(Stephan_collection,primary)=3.63"
"Tragelaphus strepsiceros",6,3,307.691,NA,"","Burger2019(Burger,secondary)=361 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | HerculanoHouzel2015(HerculanoHouzel,secondary)=306.86 | Kazu2014(Kazu,primary)=308.52 | Kazu2015(Kazu,primary)=306.86"
"Trichechus manatus",6,3,365.3333,NA,"","Karl2024(Karl,secondary)=350 | Burger2019(Burger,secondary)=364 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=382 | Lewitus2013(Lewitus,secondary)=382"
"Tupaia belangeri",6,3,2.806,NA,"","Garwicz2009(Garwicz,secondary)=3.15 | Finlay2006(Finlay,primary)=2.5 | Changizi2005(Changizi,primary)=3.11 | Changizi2005(Changizi,primary)=3.11 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Alouatta palliata",5,2,51.395,NA,"","Burger2019(Burger,secondary)=50.04 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=52.75 | Lewitus2013(Lewitus,secondary)=52.75"
"Atelerix albiventris",5,3,2.2865,NA,"","Nudo1995(Nudo,primary)=1.3 | Burger2019(Burger,secondary)=2.24 | Changizi2005(Changizi,primary)=3.27 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Callorhinus ursinus",5,2,331.715,NA,"","Jacobs2018(Jacobs,info)=328.6 | Jacobs2018(Jacobs,info)=328.6 | Burger2019(Burger,secondary)=334.83 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Capra hircus",5,3,105,NA,"","Burger2019(Burger,secondary)=115 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2013(Lewitus,secondary)=106 | Brodmann1913(Brodmann,primary)=105"
"Caracal caracal",5,2,53.6,NA,"","Jacobs2018(Jacobs,info)=55.3 | Jacobs2018(Jacobs,info)=55.3 | Burger2019(Burger,secondary)=51.9 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Castor canadensis",5,2,46.6892,NA,"","Burger2019(Burger,secondary)=52.21 | NANA(NA,NA)=NA | NANA(NA,NA)=NA | Lewitus2014(Lewitus,secondary)=41.17 | Lewitus2013(Lewitus,secondary)=41.17"
"Chlorocebus pygerythrus",5,2,67.1887,NA,"","Jacobs2018(Jacobs,info)=71.8 | Jacobs2018(Jacobs,info)=71.8 | Burger2019(Burger,secondary)=62.58 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
"Chrysochloris asiatica",5,2,0.7,NA,"","Burger2019(Burger,secondary)=0.7 | Stephan1981(Stephan_collection,primary)=0.7 | Stephan1981(Stephan_collection,primary)=0.7 | NANA(NA,NA)=NA | NANA(NA,NA)=NA"
