"source_row","parvorder_printed","family_printed","Species_Navarrete2016","Species_Isler2008","Species_Reader2011","innovator","technical_innovation_count","nontechnical_innovation_count","technical_innovation_plus_extractive_foraging_count","nontechnical_innovation_excluding_extractive_foraging_count","foraging_innovation_count","technical_foraging_innovation_count","nontechnical_foraging_innovation_count","technical_foraging_plus_extractive_foraging_count","nontechnical_foraging_excluding_extractive_foraging_count","life_history_composite"
158,"Catarrhini","Hylobatidae","Hylobates lar","Hylobates lar","Hylobates lar","No",0,0,0,0,0,0,0,0,0,60.82625408
159,"Catarrhini","Hylobatidae","Hylobates moloch","Hylobates moloch","Hylobates moloch","No",0,0,0,0,0,0,0,0,0,
160,"Catarrhini","Hylobatidae","Hylobates muelleri","Hylobates muelleri","Hylobates muelleri","No",0,0,0,0,0,0,0,0,0,
161,"Catarrhini","Hylobatidae","Hylobates pileatus","Hylobates pileatus","Hylobates pileatus","Yes",0,1,0,1,0,0,0,0,0,
162,"Catarrhini","Hylobatidae","Nomascus gabriellae","Nomascus gabriellae","Hylobates gabriellae","Yes",0,1,0,1,0,0,0,0,0,
163,"Catarrhini","Hylobatidae","Symphalangus syndactylus","Symphalangus syndactylus","Hylobates syndactylus","No",0,0,0,0,0,0,0,0,0,78.56959449
164,"Catarrhini","Pongidae","Gorilla gorilla gorilla","Gorilla gorilla","Gorilla gorilla","Yes",17,8,19,6,6,4,2,5,1,104.9139514
165,"Catarrhini","Pongidae","Pan paniscus","Pan paniscus","Pan paniscus","Yes",4,6,6,4,6,2,4,4,2,
166,"Catarrhini","Pongidae","Pan troglodytes troglodytes","Pan troglodytes","Pan troglodytes","Yes",138,183,167,154,140,75,65,100,40,79.42134346
167,"Catarrhini","Pongidae","Pongo pygmaeus","Pongo pygmaeus","Pongo pygmaeus","Yes",49,4,52,1,14,12,2,14,0,107.3392376
