Species,species_as_published,area_as_published,layer,areal_proportion_pct,n_specimens,source,source_location,data_role
Cercopithecus mitis,Cercopithecus mitis,area29_posterior_cingulate,outer_main,33,3,Zilles_etal_1986_Table1,"Table 1, area29",primary
Cercopithecus mitis,Cercopithecus mitis,area29_posterior_cingulate,inner_main,48,3,Zilles_etal_1986_Table1,"Table 1, area29",primary
Cercopithecus mitis,Cercopithecus mitis,area30_posterior_cingulate,molecular,16,3,Zilles_etal_1986_Table1,"Table 1, area30",primary
Cercopithecus mitis,Cercopithecus mitis,area30_posterior_cingulate,outer_main,44,3,Zilles_etal_1986_Table1,"Table 1, area30",primary
Cercopithecus mitis,Cercopithecus mitis,area30_posterior_cingulate,inner_main,40,3,Zilles_etal_1986_Table1,"Table 1, area30",primary
Cercopithecus mitis,Cercopithecus mitis,area23_posterior_cingulate,molecular,17,3,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cercopithecus mitis,Cercopithecus mitis,area23_posterior_cingulate,outer_main,41,3,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cercopithecus mitis,Cercopithecus mitis,area23_posterior_cingulate,granular,12,3,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cercopithecus mitis,Cercopithecus mitis,area23_posterior_cingulate,inner_main,30,3,Zilles_etal_1986_Table1,"Table 1, area23",primary
Cercopithecus mitis,Cercopithecus mitis,area31_posterior_cingulate,molecular,12,3,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cercopithecus mitis,Cercopithecus mitis,area31_posterior_cingulate,outer_main,41,3,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cercopithecus mitis,Cercopithecus mitis,area31_posterior_cingulate,granular,15,3,Zilles_etal_1986_Table1,"Table 1, area31",primary
Cercopithecus mitis,Cercopithecus mitis,area31_posterior_cingulate,inner_main,32,3,Zilles_etal_1986_Table1,"Table 1, area31",primary
Erythrocebus patas,Erythrocebus patas,area29_posterior_cingulate,molecular,19,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Erythrocebus patas,Erythrocebus patas,area29_posterior_cingulate,outer_main,33,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Erythrocebus patas,Erythrocebus patas,area29_posterior_cingulate,inner_main,48,1,Zilles_etal_1986_Table1,"Table 1, area29",primary
Erythrocebus patas,Erythrocebus patas,area30_posterior_cingulate,molecular,16,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Erythrocebus patas,Erythrocebus patas,area30_posterior_cingulate,outer_main,43,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Erythrocebus patas,Erythrocebus patas,area30_posterior_cingulate,inner_main,41,1,Zilles_etal_1986_Table1,"Table 1, area30",primary
Erythrocebus patas,Erythrocebus patas,area23_posterior_cingulate,molecular,16,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Erythrocebus patas,Erythrocebus patas,area23_posterior_cingulate,outer_main,43,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Erythrocebus patas,Erythrocebus patas,area23_posterior_cingulate,granular,11,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Erythrocebus patas,Erythrocebus patas,area23_posterior_cingulate,inner_main,30,1,Zilles_etal_1986_Table1,"Table 1, area23",primary
Erythrocebus patas,Erythrocebus patas,area31_posterior_cingulate,molecular,10,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Erythrocebus patas,Erythrocebus patas,area31_posterior_cingulate,outer_main,45,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Erythrocebus patas,Erythrocebus patas,area31_posterior_cingulate,granular,12,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Erythrocebus patas,Erythrocebus patas,area31_posterior_cingulate,inner_main,33,1,Zilles_etal_1986_Table1,"Table 1, area31",primary
Macaca mulatta,Macaca mulatta,area29_posterior_cingulate,molecular,17,2,Zilles_etal_1986_Table1,"Table 1, area29",primary
Macaca mulatta,Macaca mulatta,area29_posterior_cingulate,outer_main,28,2,Zilles_etal_1986_Table1,"Table 1, area29",primary
Macaca mulatta,Macaca mulatta,area29_posterior_cingulate,inner_main,55,2,Zilles_etal_1986_Table1,"Table 1, area29",primary
Macaca mulatta,Macaca mulatta,area30_posterior_cingulate,molecular,19,2,Zilles_etal_1986_Table1,"Table 1, area30",primary
Macaca mulatta,Macaca mulatta,area30_posterior_cingulate,outer_main,44,2,Zilles_etal_1986_Table1,"Table 1, area30",primary
