"Original_Term","Reference","Standard_old","DosSantos2017_old","JardimMessender2017_old","Standardized_Term"
"Mesencephalon N, n",NA,"Mesencephalon_N_n","NMES",NA,"Mesencephalon_N,n"
"Mesencephalon N/mg",NA,"Mesencephalon_Nmg","DNMES",NA,"Mesencephalon_N/mg"
"Mesencephalon O, n",NA,"Mesencephalon_O_n","",NA,"Mesencephalon_O,n"
"Mesencephalon O/N",NA,"Mesencephalon_ON","O/NMES",NA,"Mesencephalon_O/N"
"Mesencephalon+Diencephalon+Striatum Mass, g",NA,"MesencephalonDiencephalonStriatum_Mass_g","MMES+D+S",NA,"MesencephalonDiencephalonStriatum_Mass,g"
"Mesencephalon+Diencephalon+Striatum N, n",NA,"MesencephalonDiencephalonStriatum_N_n","NMES+D+S",NA,"MesencephalonDiencephalonStriatum_N,n"
"Mesencephalon+Diencephalon+Striatum N/mg",NA,"MesencephalonDiencephalonStriatum_Nmg","DNMES+D+S",NA,"MesencephalonDiencephalonStriatum_N/mg"
"Mesencephalon+Diencephalon+Striatum O, n",NA,"MesencephalonDiencephalonStriatum_O_n","",NA,"MesencephalonDiencephalonStriatum_O,n"
"Mesencephalon+Diencephalon+Striatum O/N",NA,"MesencephalonDiencephalonStriatum_ON","O/NMES+D+S",NA,"MesencephalonDiencephalonStriatum_O/N"
"MHP","DosSantos_etal_2017_TableS1",NA,NA,NA,"Hippocampus_Mass,g"
"MHP.g","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Hippocampus_Mass,g"
"Micro/mega","HerculanoHouzel_etal_2020_Table2",NA,NA,NA,"Micro/mega"
"Micro/mega","HerculanoHouzel_etal_2020_Table1",NA,NA,NA,"Micro/mega"
"MMES","DosSantos_etal_2017_TableS1",NA,NA,NA,"Mesencephalon_Mass,g"
"MMES+D+S","DosSantos_etal_2017_TableS1",NA,NA,NA,"MesencephalonDiencephalonStriatum_Mass,g"
"MOB","DosSantos_etal_2017_TableS1",NA,NA,NA,"OlfactoryBulb_Mass,g"
"MOB.g","JardimMesseder_etal_2017_Table1",NA,NA,NA,"OlfactoryBulb_Mass,g"
"MP+M","DosSantos_etal_2017_TableS1",NA,NA,NA,"PonsMedulla_Mass,g"
"MROB","DosSantos_etal_2017_TableS1",NA,NA,NA,"RoB_Mass,g"
"MRoB.g","JardimMesseder_etal_2017_Table1",NA,NA,NA,"RoB_Mass,g"
"n","HerculanoHouzel_etal_2020_Table1",NA,NA,NA,"WholeBrain_n"
"NBR","DosSantos_etal_2017_TableS1",NA,NA,NA,"WholeBrain_N,n"
"NBR","JardimMesseder_etal_2017_Table1",NA,NA,NA,"WholeBrain_N,n"
"NBRAIN","HerculanoHouzel_etal_2020_Table1",NA,NA,NA,"WholeBrain_N,n"
"NCB","DosSantos_etal_2017_TableS1",NA,NA,NA,"Cerebellum_N,n"
"NCB","HerculanoHouzel_etal_2020_Table2",NA,NA,NA,"Cerebellum_N,n"
"NCB","JardimMesseder_etal_2017_Table1",NA,NA,NA,"Cerebellum_N,n"
"NCX","DosSantos_etal_2017_TableS1",NA,NA,NA,"CerebralCortex_N,n"
"NCX","HerculanoHouzel_etal_2020_Table2",NA,NA,NA,"CerebralCortex_N,n"
"NCxT","JardimMesseder_etal_2017_Table1",NA,NA,NA,"CerebralCortex_N,n"
"ND+S","DosSantos_etal_2017_TableS1",NA,NA,NA,"DiencephalonStriatum_N,n"
"Neocortex_FractionofBrain","Kverkova_etal_2018_TableS1",NA,NA,NA,"Neocortex_FractionofBrain"
"Neocortex_Vol,mm3","Kverkova_etal_2018_TableS1",NA,NA,NA,"Neocortex_Vol,mm3"
"Neocortex_Vol,mm3_SD","Kverkova_etal_2018_TableS1",NA,NA,NA,"Neocortex_Vol,mm3"
"NGM","DosSantos_etal_2017_TableS1",NA,NA,NA,"CerebralCortexGrey_N,n"
