species_as_printed,block,item_index,data_item,ref_numbers,citations,alignment
Talpa europaea,81,2,Brain weight (1.02 g),12,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29",one_to_one
Tarsius bancanus,82,1,Weight at birth (28.5 g),81,Smith RJ & Leigh SR (1998) Sexual dimorphism in primate neonatal body mass. J. Hum. Evol. 34(2):173-201.,one_to_one
Tarsius bancanus,82,2,Lifespan (12 years),44,"Roberts M (1994) Growth, Development, and Parental Care in the Western Tarsier (Tarsius-Bancanus) in Captivity - Evidence for a Slow Life-History and Nonmonogamous Mating System. Int J Primatol 15(1):1-28",one_to_one
Tarsius syrichta,83,1,"Max home range (0.6-2 ha, mean 1.3 ha), group size (<9)",82,"Dagosto M, Gebo D, & Dolino C (2001) Positional behavior and social organization of the philippine tarsier (&lt;i&gt;Tarsius syrichta&lt;/i&gt;). Primates 42(3):233-243.",one_to_one
Tarsius syrichta,83,2,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Trichechus manatus,84,1,"Body size, brain size, sexual maturity, litter size, interbirth interval, longevity, neonate brain mass, neonate body mass, precocial",83,Reep RL & O'Shea TJ (1990) Regional brain morphometry and lissencephaly in the Sirenia. Brain Behav. Evol. 35(4):185-194,one_to_one
Trichechus manatus,84,2,Social system (multi-male),84,Edwards H (2000) Trichechus manatus (On-line). in Animal Diversity Web).,one_to_one
Trichechus manatus,84,3,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",one_to_one
Trichechus manatus,84,4,Cortical thickness,83,Reep RL & O'Shea TJ (1990) Regional brain morphometry and lissencephaly in the Sirenia. Brain Behav. Evol. 35(4):185-194,one_to_one
Tupaia glis,85,1,"Age at first breeding (4.5 months), gestation length (40-52 days), weaning (25-35 days), home range (7255-10174 m2, taken the mean of 0.08715 km2)",12; 85; 86; 11; 87; 19,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29 | Herculano-Houzel S, Collins CE, Wong P, & Kaas JH (2007) Cellular scaling rules for primate brains. Proc. Natl. Acad. Sci. U. S. A. 104(9):3562-3567 | Kawamichi T & Kawamichi M (1979) Spatial-Organization and Territory of Tree Shrews (Tupaia-Glis). Animal Behaviour 27(May):381-393 | Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Cisneros L (2005) Tupaia glis (On-line). in Animal Diversity Web). | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Tupaia glis,85,2,"Body weight (170 g), brain weight (3.2 g)",12; 85; 86; 11; 87; 19,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29 | Herculano-Houzel S, Collins CE, Wong P, & Kaas JH (2007) Cellular scaling rules for primate brains. Proc. Natl. Acad. Sci. U. S. A. 104(9):3562-3567 | Kawamichi T & Kawamichi M (1979) Spatial-Organization and Territory of Tree Shrews (Tupaia-Glis). Animal Behaviour 27(May):381-393 | Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Cisneros L (2005) Tupaia glis (On-line). in Animal Diversity Web). | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Tupaia glis,85,3,Brain weight (2.752 g),12; 85; 86; 11; 87; 19,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29 | Herculano-Houzel S, Collins CE, Wong P, & Kaas JH (2007) Cellular scaling rules for primate brains. Proc. Natl. Acad. Sci. U. S. A. 104(9):3562-3567 | Kawamichi T & Kawamichi M (1979) Spatial-Organization and Territory of Tree Shrews (Tupaia-Glis). Animal Behaviour 27(May):381-393 | Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Cisneros L (2005) Tupaia glis (On-line). in Animal Diversity Web). | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Tupaia glis,85,4,Group size (1-solitary),12; 85; 86; 11; 87; 19,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29 | Herculano-Houzel S, Collins CE, Wong P, & Kaas JH (2007) Cellular scaling rules for primate brains. Proc. Natl. Acad. Sci. U. S. A. 104(9):3562-3567 | Kawamichi T & Kawamichi M (1979) Spatial-Organization and Territory of Tree Shrews (Tupaia-Glis). Animal Behaviour 27(May):381-393 | Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Cisneros L (2005) Tupaia glis (On-line). in Animal Diversity Web). | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Tupaia glis,85,5,"Adult body (150 g) and brain (3.15 g) weight, neonate body (9.20 g) and brain (0.530 g) weight",12; 85; 86; 11; 87; 19,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29 | Herculano-Houzel S, Collins CE, Wong P, & Kaas JH (2007) Cellular scaling rules for primate brains. Proc. Natl. Acad. Sci. U. S. A. 104(9):3562-3567 | Kawamichi T & Kawamichi M (1979) Spatial-Organization and Territory of Tree Shrews (Tupaia-Glis). Animal Behaviour 27(May):381-393 | Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Cisneros L (2005) Tupaia glis (On-line). in Animal Diversity Web). | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Tupaia glis,85,6,"Social system (monogamous), altricial offspring, age of eye opening (10 days)",12; 85; 86; 11; 87; 19,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29 | Herculano-Houzel S, Collins CE, Wong P, & Kaas JH (2007) Cellular scaling rules for primate brains. Proc. Natl. Acad. Sci. U. S. A. 104(9):3562-3567 | Kawamichi T & Kawamichi M (1979) Spatial-Organization and Territory of Tree Shrews (Tupaia-Glis). Animal Behaviour 27(May):381-393 | Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Cisneros L (2005) Tupaia glis (On-line). in Animal Diversity Web). | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Tupaia glis,85,7,Cortical thickness,12; 85; 86; 11; 87; 19,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29 | Herculano-Houzel S, Collins CE, Wong P, & Kaas JH (2007) Cellular scaling rules for primate brains. Proc. Natl. Acad. Sci. U. S. A. 104(9):3562-3567 | Kawamichi T & Kawamichi M (1979) Spatial-Organization and Territory of Tree Shrews (Tupaia-Glis). Animal Behaviour 27(May):381-393 | Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Cisneros L (2005) Tupaia glis (On-line). in Animal Diversity Web). | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Tupaia glis,85,8,Wikipedia,12; 85; 86; 11; 87; 19,"Stephan H, Frahm H, & Baron G (1981) New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel) 35(1):1-29 | Herculano-Houzel S, Collins CE, Wong P, & Kaas JH (2007) Cellular scaling rules for primate brains. Proc. Natl. Acad. Sci. U. S. A. 104(9):3562-3567 | Kawamichi T & Kawamichi M (1979) Spatial-Organization and Territory of Tree Shrews (Tupaia-Glis). Animal Behaviour 27(May):381-393 | Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615 | Cisneros L (2005) Tupaia glis (On-line). in Animal Diversity Web). | Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.",block_level
Tursiops truncates,86,1,Brain weight (1378 g),37,"Marino L, Murphy TL, Gozal L, & Johnson JI (2001) Magnetic resonance imaging and three-dimensional reconstructions of the brain of a fetal common dolphin, Delphinus delphis. Anat. Embryol. 203(5):393-402",one_to_one
Tursiops truncates,86,2,"Adult body (155000 g) and brain (1600 g) weight, neonate body (20000 g) and brain (770 g) weight",46,Manger PR (2006) An examination of cetacean brain structure with a novel hypothesis correlating thermogenesis to the evolution of a big brain. Biological Reviews 81(2):293-338,one_to_one
Tursiops truncates,86,3,Social system (polygamous=multi-male),88,Jenkins J (2009) Tursiops truncatus (On-line). in Animal Diversity Web).,one_to_one
Tursiops truncates,86,4,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Ursus maritimus,87,1,"Adult body (250000 g) and brain (500 g) weight, neonate body (590 g) and brain (11.100 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Ursus maritimus,87,2,"Neonatal brain size (11.09 g), neonatal body mass (668.01 g), maternal body mass (272500 g), litter size (1.33), altricial",23,"Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98",one_to_one
Ursus maritimus,87,3,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",one_to_one
Varecia variegate,88,1,Resting metabolic rate,28,"Barrickman NL & Lin MJ (2010) Encephalization, expensive tissues, and energetics: An examination of the relative costs of brain size in strepsirrhines. Am. J. Phys. Anthropol. 143(4):579-590",one_to_one
Varecia variegate,88,2,Weight at weaning (2500 g),22,"Godfrey LR, Samonds KE, Jungers WL, Sutherland MR, & Irwin MT (2004) Ontogenetic correlates of diet in Malagasy lemurs. Am. J. Phys. Anthropol. 123(3):250-276",one_to_one
Vulpes vulpes,89,1,"Adult body (6000 g) and brain (48 g) weight, neonate body (105 g) and brain (3.820 g) weight",11,Sacher GA & Staffeld EF (1974) Relation of Gestation Time to Brain Weight for Placental Mammals - Implications for Theory of Vertebrate Growth. Am. Nat. 108(963):593-615,one_to_one
Vulpes vulpes,89,2,"Neonatal brain size (3.82 g), neonatal body mass (103.06267 g), maternal body mass (3900 g), litter size (4.875), altricial",23,"Capellini I, Venditti C, & Barton RA (2011) Placentation and maternal investment in mammals. Am. Nat. 177(1):86-98",one_to_one
Vulpes vulpes,89,3,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",one_to_one
Vulpes vulpes,89,4,Cortical thickness,19,Hofman MA (1985) Size and shape of the cerebral cortex in mammals. I. The cortical surface. Brain Behav. Evol. 27(1):28-40.,one_to_one
Zalophus californianus,90,1,Neocortex volume (- corpus callosum),17,Bush EC & Allman JM (2003) The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav. Evol. 61(1):1-5,one_to_one
Zalophus californianus,90,2,"Medulla, cerebellum, mesencephalon, diencephalon, striatum, septum, amygdala, paleocortex, hippocampus, schizocortex, isocortex volume",24,"Reep RL, Finlay BL, & Darlington RB (2007) The limbic system in Mammalian brain evolution. Brain Behav. Evol. 70(1):57-70",one_to_one
